"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR-LBD","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.6752728894199628","0.6682850589644191","0.6551206548663855","0.7024129544290836"
"NR-AR-LBD","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8659192313405008","0.8532202082529781","0.8807907774077646","0.8637467083607597"
"NR-AR-LBD","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8597170201243894","0.847823086447297","0.8824599320854871","0.8488680418403839"
"NR-AR-LBD","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.8394045555373113","0.8287880325572933","0.8648722912121279","0.8245533428425128"
"NR-AR-LBD","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6657381778278167","0.6519495808553399","0.6438097737823782","0.701455178845732"
"NR-AR-LBD","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8752184185314232","0.8591430369212625","0.8948678620056131","0.871644356667394"
"NR-AR-LBD","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8673720267363484","0.8549089654332525","0.894059941928166","0.853147172847627"
"NR-AR-LBD","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.8474545151338436","0.8363651125499751","0.8765030594333754","0.8294953734181807"
"NR-AR-LBD","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6752218587385128","0.6683053565266819","0.6550181269377777","0.7023420927510791"
"NR-AR-LBD","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.833750613081687","0.8260925162887732","0.8303326826227448","0.8448266403335429"
"NR-AR-LBD","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.816442498176894","0.810298983092119","0.8125481881264495","0.8264803233121135"
"NR-AR-LBD","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.7903530402128957","0.7827308340268332","0.7822081234928486","0.8061201631190048"
"NR-AR-LBD","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.6657253371249469","0.6519658189051502","0.6437092964123426","0.7015008960573478"
"NR-AR-LBD","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.8383783819259144","0.8256926543122153","0.8406018799521094","0.8488406115134185"
"NR-AR-LBD","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.8213315402943441","0.8106399821381429","0.8222637346413179","0.8310909041035711"
"NR-AR-LBD","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.7936383423450363","0.7850082205127128","0.7873796322118128","0.808527174310583"
