"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR-LBD","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8826419727050636","0.8661741124890965","0.891941714923143","0.8898100907029514"
"NR-AR-LBD","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8727862912549055","0.8588263949499487","0.8759124985646102","0.8836199802501574"
"NR-AR-LBD","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8775293328897763","0.853208029715623","0.8763164586033293","0.9030635103503765"
"NR-AR-LBD","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8794003254516851","0.8638886069783035","0.8817135287652346","0.8925988406115173"
"NR-AR-LBD","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8793969167135943","0.8597621125702581","0.883073049098582","0.8953555884719432"
"NR-AR-LBD","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.882468672128207","0.8576085412141989","0.8856916123952067","0.9041058627752154"
"NR-AR-LBD","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8780625600139782","0.8573487324172249","0.8902930658311348","0.8865458817935747"
"NR-AR-LBD","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8869465452164977","0.8727992368116532","0.8888125625420354","0.8992278362958045"
"NR-AR-LBD","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8880216996062118","0.8732133070818159","0.8848303777949053","0.9060214139419142"
"NR-AR-LBD","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8886415950499645","0.8813526295491751","0.8923436244032931","0.8922285311974255"
"NR-AR-LBD","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.892955379192384","0.882676030608713","0.8916956478944928","0.9044944590739462"
"NR-AR-LBD","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8907006311314324","0.8813607485740834","0.8893005954822023","0.9014405493380115"
"NR-AR-LBD","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.9005490648038368","0.8872064465057584","0.9091828113978171","0.9052579365079351"
"NR-AR-LBD","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8922652586613179","0.8835001116365839","0.8901864367853829","0.9031092275619872"
"NR-AR-LBD","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8915380189833684","0.8826070188970178","0.8884680687019074","0.9035389693511802"
"NR-AR-LBD","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8895534373886752","0.8669454198550788","0.8902028412539634","0.9115120510569832"
"NR-AR-LBD","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.8831073169405143","0.8681267379787636","0.8767921881920637","0.9044030246507156"
"NR-AR-LBD","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.8796047040584231","0.8507845007814572","0.8801017897275156","0.907927821666296"
"NR-AR-LBD","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8932576671154808","0.8646761523941103","0.8972301054807446","0.9178667434715874"
"NR-AR-LBD","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.8862020169190159","0.8561227596565568","0.8844428222247701","0.918040468875721"
"NR-AR-LBD","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.8901390556094003","0.8702661010412542","0.8819185846224393","0.9182324811645074"
"NR-AR-LBD","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8941078568492088","0.8632512635232501","0.9001952131760883","0.9188770938482879"
