"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.8363724286955284","0.8346966529319741","0.8532640791351624","0.8211565540194486"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.8397380619756589","0.8388332961211351","0.8560241309732824","0.8243567588325594"
"NR-AR-LBD","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.8530429085820278","0.8405504698885709","0.8840265588346249","0.8345516970228877"
"NR-AR-LBD","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.8984224488017465","0.8719142630969778","0.9188860545612759","0.9044670287469856"
"NR-AR-LBD","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.9031026625697273","0.8802504719183208","0.9189352679670032","0.9101222478238579"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.8738546844653071","0.8502445856252608","0.8709029839728402","0.9004164837978204"
"NR-AR-LBD","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.8996174546963817","0.8623784683459474","0.9110775275184891","0.9253963682247084"
"NR-AR-LBD","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.8106692061333959","0.7849026731889561","0.8080020997719795","0.8391028454392518"
"NR-AR-LBD","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7709589989404299","0.7493920880102244","0.7515563739562576","0.8119285348548076"
"NR-AR-LBD","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7631210822944633","0.7422554651186293","0.7385988943388189","0.808508887425942"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.8481719278260283","0.8356749954330412","0.873187306222216","0.8356534818228282"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.8533354302385999","0.8400714474191661","0.883001279548562","0.836933563748072"
"NR-AR-LBD","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.8659956149704628","0.8409848377209755","0.8979047392509834","0.8590972679394294"
"NR-AR-LBD","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.8985725264671744","0.8685529867862947","0.9298934529765843","0.8972711396386446"
"NR-AR-LBD","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.9012800731971051","0.8826273164592872","0.916142407191722","0.9050704959403064"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.8527046220381417","0.837554549698574","0.8915234009744136","0.8290359154414373"
"NR-AR-LBD","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.8902711529851768","0.8716788113747425","0.9058957660066531","0.8932388815741348"
"NR-AR-LBD","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.8138716546860061","0.7886658412324588","0.8191243294673556","0.833824793358204"
"NR-AR-LBD","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7680300629443666","0.7514624393610367","0.7533034498597455","0.7993242996123177"
"NR-AR-LBD","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7644567255279928","0.7475916942375201","0.7469959316917841","0.7987825506546741"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.6326547351498516","0.5","0.8979642054495548","0.5"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.8593767368087546","0.8479631396269273","0.8665209403041301","0.8636461304952062"
"NR-AR-LBD","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.8639019275005083","0.8274747802788833","0.8771182270050301","0.8871127752176113"
"NR-AR-LBD","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.8800935429541134","0.8649846753404727","0.8889786577863695","0.8863172957354978"
"NR-AR-LBD","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8961323179949557","0.8700225302941145","0.9126913171147928","0.9056831065759597"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.8651688944842523","0.8495828850954753","0.8727136271920456","0.8732101711652361"
"NR-AR-LBD","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.8741687435254312","0.857661314876084","0.8843977099361852","0.8804472057640247"
"NR-AR-LBD","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.890770983293932","0.8565124728520078","0.9125723847175973","0.9032280923121914"
"NR-AR-LBD","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.9113050145004387","0.8748452310877421","0.9350998211912805","0.9239699912222931"
"NR-AR-LBD","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.897015528884411","0.8751415754967717","0.8999881067602992","0.915916904396162"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.8492952225942707","0.812495179328951","0.8543078134483805","0.8810826750054803"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.8541018100315276","0.8295207745549664","0.8488492265293054","0.883935429010311"
"NR-AR-LBD","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.8586749788097848","0.8361905535145169","0.8485293393920472","0.8913050435227903"
"NR-AR-LBD","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.8595770856837284","0.8414841577526545","0.8604389835791284","0.8768081157194019"
"NR-AR-LBD","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.8918228655664177","0.8640509874763833","0.9128389573320055","0.8985786518908644"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.8539438862451915","0.825526214301665","0.856214832920489","0.8800906115134206"
"NR-AR-LBD","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.8594377607217455","0.8411878133436058","0.8577937630210369","0.8793317058005938"
"NR-AR-LBD","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.8920964300169256","0.864907544603881","0.9043865548975601","0.9069951905493359"
"NR-AR-LBD","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.9047684021658914","0.8802281445998222","0.9087378401876635","0.9253392217101885"
"NR-AR-LBD","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.001","0.8845896384488694","0.8527249477337779","0.8831612231171828","0.9178827444956476"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.01","0.8364799398572355","0.836531552560528","0.8531369445036894","0.8197713225074889"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.01","0.8412581986839212","0.8386262609860554","0.8600555291261344","0.8250928059395738"
"NR-AR-LBD","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.01","0.853346171149045","0.8410213733330676","0.8837476828688114","0.835269457245256"
"NR-AR-LBD","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.01","0.898099326559274","0.8711226581687329","0.9181642579438748","0.9050110635652144"
"NR-AR-LBD","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.01","0.9053534328284899","0.8876509631193219","0.9176516183008305","0.9107577170653175"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.01","0.861204200583887","0.8500294314652747","0.8805160025590872","0.8530671677272991"
"NR-AR-LBD","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.01","0.9049803428716258","0.8778228834716767","0.9129332830263045","0.9241848621168959"
"NR-AR-LBD","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.01","0.815825825600163","0.7949235796780756","0.8074689545432266","0.8450849425791865"
"NR-AR-LBD","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.01","0.7714249248618089","0.7506018227210861","0.7508140717531544","0.812858880111186"
"NR-AR-LBD","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.01","0.7640188323157311","0.740241946942176","0.7423821749044387","0.8094323751005787"
"NR-AR-LBD","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.01","0.8471528745346197","0.8363001603507358","0.8717314096359882","0.833427053617135"
"NR-AR-LBD","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.01","0.8526896556534584","0.8373799906631203","0.8832022342886322","0.8374867420086228"
