"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8858419198907322","0.8657194470943977","0.8961535622303518","0.8956527503474474"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8887289874646868","0.8721700123815058","0.8986019291655062","0.8954150208470482"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.883639495505942","0.8640306899141347","0.8914864909201308","0.8954013056835605"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8940093878639493","0.8766151785170497","0.9019197329352369","0.9034932521395613"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8977268181758076","0.8859439381330286","0.9075423645401085","0.8996941518542854"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8900110363426235","0.871025229869885","0.9047495037648219","0.8942583753931634"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8855049559216521","0.8574908153530771","0.8963217080332706","0.9027023443786086"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8897038470483868","0.868853390707766","0.8969614823077814","0.9032966681296127"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8983198197915074","0.8831428745407435","0.9105771912268797","0.9012393936068988"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8895446686936616","0.8717559421113509","0.9052621434078638","0.8916159205617699"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8884439948517359","0.8719589177339616","0.8957270460473451","0.8976460207739009"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8872911424909335","0.8676111798972882","0.8902889647139857","0.9039732828615267"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8911893351270948","0.8740089715225116","0.9028547876441607","0.8967042462146119"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.9003569824553712","0.8856800698235896","0.9144486458111264","0.9009422317313979"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.898235867564685","0.8780644244626159","0.9102285962696273","0.9064145819618119"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.890405579326034","0.8741104593338259","0.8951856985842986","0.9019205800599773"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8899730205710111","0.8688858668073948","0.8978965370166822","0.9031366578889567"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8961058454933828","0.8851807497919377","0.8964570448990254","0.9066797417891853"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8948669939775132","0.8806584529197923","0.9089572499548896","0.8949852790578579"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8986165014999844","0.8752308847707347","0.9084528125461311","0.9121658071830874"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.8889031803997979","0.8582458846692584","0.8987208615626917","0.9097427949674436"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8862355829693255","0.851632938884032","0.9055738283108312","0.9014999817131132"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8846683544764172","0.8547871800596795","0.8973018750307578","0.9019160083388146"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8985637185634858","0.8717397040615402","0.9027153496612476","0.9212361019676697"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.9094136973016512","0.895171209937671","0.9213795337850025","0.9116903481822801"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.895884493638497","0.8671971096271226","0.9028547876441607","0.9176015836442079"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8919937454785046","0.8630320498508058","0.8985158057054765","0.9144333808792318"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8936159060907595","0.864757342643134","0.9022970357125369","0.9137933399166076"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.9063871742011514","0.8861834493677161","0.9104664610639883","0.92251161217175"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.9117143039693222","0.8882213246188978","0.920030266244519","0.9268913210445501"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8946070933591868","0.8704081839770872","0.9026005183812156","0.9108125777192577"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.892620898498889","0.862954919114211","0.9015670368608465","0.9133407395216095"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.8951905573064773","0.8729900338969154","0.8997666464344856","0.912814991588031"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.9085030961852523","0.893311953234403","0.9155969586115311","0.9166003767098225"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.9061970773657365","0.8874134816408398","0.9087850030348198","0.92239274742155"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.894148295304415","0.8675299896482415","0.8996723207401693","0.915242575524834"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.892287239910292","0.8674325613493761","0.8971993471021528","0.9122298112793471"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.894597615830425","0.8712322650049568","0.8962847979789692","0.9162757845073493"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.9053701188239708","0.8887247041630124","0.9116721895044276","0.9157134628044722"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","2","0.9130221309267861","0.8858911644711263","0.9191977394642311","0.9339774888450009"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","3","0.887523915480824","0.868134857003669","0.9024323725782949","0.8920045168605083"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","3","0.8907167724515744","0.8748533501126439","0.9011733296149864","0.8961236376270931"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","3","0.8891786985225485","0.8651308177887808","0.9060987713053128","0.896306506473552"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","3","0.8943088940136064","0.8723608094667734","0.9076120835315478","0.902953789042498"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","3","0.8984518285764675","0.8769034039011911","0.9048233238734212","0.9136287579547899"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","3","0.8893246473934605","0.8670469076663861","0.8972280549221642","0.9036989795918313"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","3","0.8880026729957531","0.8607506038524753","0.9009436670549101","0.902313748079874"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","3","0.8902697627233117","0.873939959810816","0.9065334897225961","0.8903358386365232"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","3","0.8954225800281955","0.8843526092516314","0.9163064518775089","0.8856086789554461"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","3","0.896152614942849","0.8742647208070307","0.9059224232681025","0.9082707007534139"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","3","0.8890918068583425","0.8690157712058714","0.900791925720562","0.8974677236485945"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","3","0.8886197813264709","0.8660604461404144","0.8980154694138666","0.9017834284251317"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","3","0.897292493061228","0.8748533501126282","0.9156338686658229","0.901390260405233"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","3","0.8993056144358654","0.8768222136521268","0.912193031381754","0.9089015982737159"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","3","0.8918597222532195","0.8751253374469647","0.9072880952771497","0.8931657340355441"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","3","0.8923046907067415","0.8720685245701855","0.9001316458603343","0.9047139016897046"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","3","0.8933119091981946","0.8764243814317789","0.9006032743319271","0.9029080718308778"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","3","0.8982310845725333","0.8831591125905499","0.9090146655949035","0.9025194755321463"
"NR-AR-LBD","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","3","0.9037937857525898","0.8820062110540546","0.9083584868518052","0.9210166593519097"
"NR-AR-LBD","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","3","0.8976908830434773","0.8796679318813695","0.9097651700323295","0.9036395472167331"
"NR-AR-LBD","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","3","0.8819269426169635","0.8410497899202394","0.8958705851473903","0.9088604527832609"
