"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.6961009414817637","0.6677074519613969","0.6723170376462928","0.7482783348376015"
"NR-AR","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8025119036365723","0.8468712062686118","0.7888500488356603","0.7718144558054449"
"NR-AR","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8038275830125688","0.8316150412635374","0.8005963090525833","0.7792713987215857"
"NR-AR","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.7955887136574747","0.8137653435357811","0.7924141948971061","0.7805866025395368"
"NR-AR","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6927832999135477","0.6661562373542284","0.6644933372173387","0.747700325169076"
"NR-AR","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.7960226390427039","0.8357030742253015","0.7827156051337423","0.7696492377690678"
"NR-AR","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8007604133964191","0.8249043519846921","0.796328187026279","0.7810487011782861"
"NR-AR","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7974887558529152","0.8149517468025258","0.7918772882788742","0.7856372324773457"
"NR-AR","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6961102354220651","0.6678484714711395","0.6723584479971669","0.7481237867978888"
"NR-AR","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.7456693708142978","0.7797857729708267","0.7323920332196703","0.7248303062523964"
"NR-AR","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.7355407361932449","0.7670786888864164","0.7215967831297105","0.717946736563608"
"NR-AR","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.7227085546744371","0.7518133269567836","0.7048241630825199","0.7114881739840077"
"NR-AR","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.6927454664821684","0.6663049209677613","0.6643177002119067","0.747613778266837"
"NR-AR","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.7393103172811307","0.7680183080111066","0.7294390468193896","0.7204735970128957"
"NR-AR","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.7311504048357046","0.7609657997032191","0.7185538363120286","0.7139315784918661"
"NR-AR","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.7205157210457868","0.7491937362812323","0.7040844885393318","0.7082689383167963"
