"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.804928057414064","0.8281232755766337","0.8157010915197245","0.7709598051458341"
"NR-AR","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8069300341564222","0.8051462924131463","0.8120898233348852","0.803553986721235"
"NR-AR","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8038204738292274","0.7967157782437313","0.8123368574969836","0.8024087857469674"
"NR-AR","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8165616922788365","0.8430636795055713","0.8134592207999833","0.7931621765309546"
"NR-AR","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8049395562307908","0.7953055831463197","0.8115714799773831","0.8079416055686696"
"NR-AR","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8093772868447998","0.811108965162021","0.8137733682893821","0.8032495270829964"
"NR-AR","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8154924091261657","0.830361193883421","0.8137505211992354","0.8023655122958407"
"NR-AR","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8098757955399557","0.8155265545867942","0.8138619007636692","0.8002389312694038"
"NR-AR","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.809821689894135","0.8021756857839999","0.8288895743015839","0.7983998095968217"
"NR-AR","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8080814996862706","0.8243801272854312","0.804054787322143","0.7958095844512376"
"NR-AR","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.806216650707063","0.8078931072115955","0.8191138756090188","0.791642969300575"
"NR-AR","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8060527124269554","0.8074516548332842","0.812853772911354","0.7978527095362283"
"NR-AR","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.812427389550769","0.8322956136801196","0.8118599244903717","0.7931266304818154"
"NR-AR","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8041628949526741","0.8173260861567925","0.8071391444907139","0.788023454210516"
"NR-AR","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8026312704580918","0.8167129578535448","0.8022270201111505","0.7889538334095801"
"NR-AR","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.7996536841444182","0.8258010521281623","0.7955870845399448","0.7775729157651473"
