"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.7863366385933744","0.7844961311603816","0.7887158221811054","0.7857979624386362"
"NR-AR","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.7931007685850581","0.8073750137953941","0.7861169656779609","0.7858103262818189"
"NR-AR","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.8018401180968464","0.825284491532698","0.78972109414715","0.7905147686106911"
"NR-AR","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.8261172102309713","0.8341595237219139","0.8209873370002906","0.8232047699707093"
"NR-AR","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8143676977536515","0.8269522005174611","0.7972549221199792","0.8188959706235138"
"NR-AR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.7686860228151727","0.7903315797863781","0.7495344905384487","0.7661919981206915"
"NR-AR","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7996308749397657","0.7993215735324724","0.7879975667848964","0.8115734845019285"
"NR-AR","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7517525566910944","0.750789402690404","0.7333987331288532","0.7710695342540264"
"NR-AR","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7145305769203655","0.7082704876822546","0.6905418758603267","0.744779367218515"
"NR-AR","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7122154583362422","0.7081524604838743","0.6882814418798582","0.7402124726449941"
"NR-AR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.7860564810370153","0.8034555911169792","0.7750189916436668","0.7796948603503998"
"NR-AR","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.7920320367201857","0.817030251750464","0.767884987748241","0.791180870661852"
