"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8102694714310119","0.8348860807612564","0.809738000993848","0.7861843325379313"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8075665543305051","0.831044831941521","0.8018386195788113","0.789816211471183"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8098110745997932","0.8418052336631807","0.8002907292220094","0.7873372609141891"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8148958003455956","0.8485772357723476","0.8031751743518629","0.7929349909125766"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8142986774514861","0.8400148990177493","0.8161466097774168","0.7867345235592923"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8107181292560875","0.8385127346748548","0.8028981533839482","0.7907434997094595"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8132622325871096","0.8458058958417639","0.806025348846521","0.787955453073044"
"NR-AR","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8150556926809368","0.8358548234803611","0.8118799156942363","0.7974323388682131"
"NR-AR","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.818024444222377","0.8437703098750329","0.8113715679386762","0.7989314548534219"
"NR-AR","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8172375323294038","0.8364158358777952","0.8092839150773586","0.8060128460330577"
"NR-AR","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8153184753360665","0.8431295907981688","0.8081815429782403","0.7946442922317902"
"NR-AR","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8206391876274802","0.8535987565758048","0.8108061024577704","0.7975127038488659"
"NR-AR","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8157890944392507","0.8418757434180519","0.8158638770369643","0.7896276628627362"
"NR-AR","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.8249410768368691","0.8454625439919393","0.8312885187660324","0.7980721677526357"
"NR-AR","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.8169932213686243","0.8248736955695117","0.8142017512294586","0.8119042173069024"
"NR-AR","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8198868293481243","0.849512256434782","0.8075818068621227","0.8025664247474682"
"NR-AR","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8110068681152697","0.8422558829660701","0.7978946406438444","0.7928700807358942"
"NR-AR","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8179271359622614","0.8416304920967639","0.8141189305277172","0.7980319852623031"
"NR-AR","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8259238654902229","0.8396163656206633","0.8202390947982874","0.8179161360517176"
"NR-AR","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8244472851094188","0.8471425155428071","0.8098379570132181","0.8163613827722308"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.8106489088145544","0.8546395418705216","0.795278648823091","0.7820285357500512"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8078914250475657","0.857453800782339","0.7933566373652682","0.7728638369950899"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8090227473861179","0.8588149456155105","0.7927683247942293","0.7754849717486135"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.809819615775011","0.8388361598547955","0.7974234194097396","0.7931992680604981"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8169947718313636","0.836080148131795","0.8126452932138408","0.8022588741484551"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8074681776839897","0.8506695361071115","0.7963953003535633","0.7753396965912941"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8110469600356905","0.8579902880476706","0.799511072271065","0.7756395197883359"
"NR-AR","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8118494457815973","0.8587475015021604","0.7979003524163679","0.7789004834262634"
"NR-AR","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.8032475668857447","0.8352677531300072","0.7887558045888396","0.7857191429383874"
"NR-AR","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.7985645151878948","0.8265306748089926","0.7898667443467655","0.7792961264079264"
"NR-AR","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8122351516587231","0.8564819924217151","0.8021699023858034","0.7780535601686505"
"NR-AR","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.8129918217698271","0.8623557615666507","0.7994625222045209","0.7771571815383095"
"NR-AR","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.810770850494086","0.8510098223154031","0.7999480228699488","0.7813547062969062"
"NR-AR","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.8128148696064633","0.8399367251591","0.8069220971344023","0.791585786525888"
"NR-AR","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.8002941883351539","0.8278213098872985","0.7847889785637174","0.7882722765544457"
"NR-AR","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8085800635968802","0.855678794344496","0.796937918744327","0.7731234777018174"
"NR-AR","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8092264921139134","0.8554458055892729","0.7987485506377211","0.773485120114746"
"NR-AR","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.8125402961047601","0.857554966952382","0.7967237272742912","0.7833421940876071"
"NR-AR","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.8083622750107956","0.8321622582741561","0.8194394466434846","0.7734851201147459"
"NR-AR","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","2","0.8118066461895417","0.8354578229039967","0.8069792148597466","0.7929829008048818"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","3","0.807985780474005","0.8361859127640962","0.8023783820833177","0.7853930465746016"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","3","0.8103401105627127","0.8399811769610904","0.8017329517869263","0.7893062029401214"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","3","0.8093053671487797","0.8345212694208334","0.8016158604499738","0.791778971575532"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","3","0.8194235129529241","0.844867809537814","0.8250655425898203","0.788337186731138"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","3","0.817420735559906","0.8381479233344207","0.7998794815995258","0.8142348017457715"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","3","0.8102875321525266","0.8307045457332419","0.8086356288947212","0.7915224218296164"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","3","0.8148512464551123","0.8451713080479151","0.8053285125973187","0.7940539187201028"
"NR-AR","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","3","0.8213786491408185","0.8502694698892629","0.8171033316769221","0.7967631458562705"
"NR-AR","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","3","0.8285547078565217","0.8500763344737527","0.8176716530440882","0.8179161360517244"
"NR-AR","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","3","0.8194604396013968","0.8407843750383099","0.8138590448773968","0.8037378988884835"
"NR-AR","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","3","0.8180422404738449","0.8485373824326431","0.8086299171221882","0.796959421866703"
"NR-AR","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","3","0.8125311752532229","0.8377463242958204","0.8040005254830769","0.7958466759807714"
"NR-AR","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","3","0.8145881530091773","0.8476820684496398","0.805239980123028","0.7908424104548639"
"NR-AR","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","3","0.8261411637487629","0.8451099952175876","0.8198792531286382","0.8134342429000633"
"NR-AR","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","3","0.8214680187519509","0.8327217378508556","0.8210330311805626","0.810649287224434"
"NR-AR","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","3","0.810772587150299","0.8359897117070649","0.7997395431724477","0.7965885065713842"
"NR-AR","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","3","0.8160555766350136","0.8473356509583113","0.8105604962387987","0.7902705827079306"
"NR-AR","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","3","0.8194732321369732","0.8406249616794645","0.8246742861712234","0.7931204485602316"
"NR-AR","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","3","0.8202574763657019","0.8410572171332529","0.8045345762150407","0.8151806357488124"
"NR-AR","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","3","0.8247793155168682","0.8591659615691063","0.8138790360812624","0.801292948900236"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","3","0.8115497851586883","0.854854136776652","0.7938164350542963","0.7859787836451162"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","3","0.8117898140261951","0.8559240456657985","0.7909691164459207","0.7884762799668662"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","3","0.8106719988782377","0.8518804645059935","0.7984315472620551","0.7817039848666643"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","3","0.8069631908646014","0.8270824902819022","0.7974148517509456","0.7963922305609565"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","3","0.8119651773259035","0.8239279451617929","0.8180172152824265","0.793950371533491"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","3","0.811679996095625","0.8638548602680468","0.8022869937227599","0.7688981342960686"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","3","0.8082296873047227","0.8525395774319594","0.7891442051211738","0.7830052793610348"
"NR-AR","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","3","0.8041818923803241","0.844360445866889","0.781221976616013","0.7869632546580705"
"NR-AR","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","3","0.8118600183813388","0.8336920133907034","0.8022070289072825","0.7996810128460308"
"NR-AR","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","3","0.8072199075830929","0.8314387668763493","0.8008019328638194","0.7894190230091099"
"NR-AR","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","3","0.8043887233621048","0.8470459478350303","0.7952129634389485","0.7709072588123352"
"NR-AR","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","3","0.8127877281502854","0.857794086990632","0.8071334327181853","0.7734356647420388"
"NR-AR","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","3","0.8076988160411643","0.8447559136224808","0.7879818594104406","0.7903586750905716"
"NR-AR","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","3","0.808311097640115","0.8179591411298553","0.8040290843457365","0.8029450674447529"
"NR-AR","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","3","0.8037245635528983","0.8194490429067083","0.7920343620235628","0.7996902857284239"
"NR-AR","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","3","0.8135933372976053","0.8595231088057298","0.8035464395665952","0.7777104635204909"
"NR-AR","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","3","0.809199339366096","0.8483948301021347","0.7971035601478272","0.7820996278483261"
"NR-AR","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","3","0.8036259522905457","0.8338391641834885","0.7921942916545213","0.7848444010336272"
"NR-AR","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","3","0.8062019771886316","0.8436400201105879","0.7763698258480571","0.7985960856072499"
"NR-AR","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","3","0.7991549860273945","0.8189493433395753","0.8059825105525036","0.7725331041901046"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","4","0.8136552212108193","0.8356616880648473","0.8080787310726097","0.7972252444950011"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","4","0.8154931224618435","0.8377248648052066","0.8091554001953405","0.7995991023849833"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","4","0.8200033713264764","0.8437519160259461","0.8132250381260846","0.8030331598273984"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","4","0.822756819215782","0.8359682522164404","0.8223267476595998","0.8099754577713058"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","4","0.8140821771320074","0.833570920550831","0.8134934914351959","0.7951821194099952"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","4","0.8170950851979866","0.8491781015095324","0.8037320721739616","0.7983750819104654"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","4","0.82046676006469","0.8642671890519815","0.8072705152590018","0.7898625758830867"
"NR-AR","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","4","0.8235725762812689","0.8370013734073851","0.8214814053245197","0.8122349501119016"
"NR-AR","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","4","0.8109186918008762","0.8294139106549375","0.8002564585867957","0.8030857061608956"
"NR-AR","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","4","0.8215041427883958","0.8382552207874827","0.8200249033282535","0.806232304249451"
"NR-AR","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","4","0.8126574116232789","0.8401988375087326","0.8029838299719664","0.7947895673891376"
"NR-AR","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","4","0.8141630561641993","0.8375010729745315","0.8117285537220806","0.793259541795986"
"NR-AR","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","4","0.8220551772294821","0.8364372953684179","0.8204018803155231","0.8093263560045054"
"NR-AR","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","4","0.8241165220125951","0.8449383192926935","0.8093467445752375","0.8180645021698545"
"NR-AR","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","4","0.817159783626891","0.8377524555788494","0.8197378867583971","0.7939890085434262"
"NR-AR","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","4","0.813085370687966","0.8446470833486586","0.8030495153561064","0.7915595133591329"
"NR-AR","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","4","0.8216154881884888","0.8489083250560896","0.8111802235587796","0.8047579159505976"
"NR-AR","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","4","0.8133760602752588","0.8235340102269821","0.8069278089069283","0.8096663616918656"
"NR-AR","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","4","0.8204796818878827","0.843503599063128","0.8087327290277975","0.8092027175727226"
"NR-AR","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","4","0.8201093015281353","0.8444171602349471","0.8144045191544217","0.8015062251950372"
"NR-AR","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","4","0.8053788242466693","0.847009160136843","0.7841778189025459","0.7849494937006192"
"NR-AR","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","4","0.8139613706266801","0.8514757998258785","0.8048344442731001","0.7855738677810613"
"NR-AR","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","4","0.8133278191934052","0.8537903591705494","0.7918687206200713","0.7943243777895953"
"NR-AR","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","4","0.8215785912445522","0.8448049638867375","0.8028353238860615","0.8170954859608577"
"NR-AR","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","4","0.8074434987018814","0.8341242688444791","0.7956127875163527","0.7925934397448126"
"NR-AR","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","4","0.8087972649548428","0.8565463708935599","0.7976090520171152","0.7722363719538533"
"NR-AR","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","4","0.8118952910678683","0.8578216777642672","0.7997395431724246","0.7781246522669127"
