"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Weka RF classification","30","rdkit_fp","15","0.7922899346801461","0.8175207543930595","0.7615906144153725","0.7977584352320065"
"NR-AR","Weka RF classification","40","rdkit_fp","15","0.7930298951763931","0.8131445511287626","0.7676179623822662","0.7983271720181503"
"NR-AR","Weka RF classification","50","rdkit_fp","15","0.7908250482185842","0.8076110681921223","0.771344893960945","0.7935191825026859"
"NR-AR","Weka RF classification","60","rdkit_fp","15","0.7910061700937031","0.814971673472394","0.777392233131703","0.7806546036770127"
"NR-AR","Weka RF classification","70","rdkit_fp","15","0.7896502410168322","0.815115758623639","0.7786930893264044","0.7751418751004534"
"NR-AR","Weka RF classification","30","cdk_fp","15","0.7717048461557144","0.7899223166439787","0.7773079844868265","0.7478842373363382"
"NR-AR","Weka RF classification","40","cdk_fp","15","0.7686252508609206","0.7771983715312183","0.7804423196650626","0.748235061386481"
"NR-AR","Weka RF classification","50","cdk_fp","15","0.7672959624586891","0.7789595825822401","0.774000868189427","0.7489274366044005"
"NR-AR","Weka RF classification","60","cdk_fp","15","0.7720415688980843","0.7805782413027642","0.7821015895862988","0.7534448758051898"
"NR-AR","Weka RF classification","70","cdk_fp","15","0.7742047630130982","0.7832085617236112","0.792275684413149","0.7471300429025342"
"NR-AR","Weka RF classification","30","rdkit_desc","15","0.8304848041608714","0.8284390366528089","0.8399404262124665","0.8230749496173391"
"NR-AR","Weka RF classification","40","rdkit_desc","15","0.8349241402524058","0.8204469092202196","0.8464804057643209","0.8378451057726768"
"NR-AR","Weka RF classification","50","rdkit_desc","15","0.8343759362614521","0.8178211872616498","0.8464461351291155","0.8388604863935911"
"NR-AR","Weka RF classification","60","rdkit_desc","15","0.8347905604479197","0.8245793939839887","0.8417153595275225","0.8380769278322479"
"NR-AR","Weka RF classification","70","rdkit_desc","15","0.8350337646427443","0.8266333737998067","0.8379213146215666","0.8405466055068591"
"NR-AR","Weka RF classification","30","cdk_desc","15","0.8403037259056095","0.8499000600865743","0.8371873518508994","0.8338237657793552"
"NR-AR","Weka RF classification","40","cdk_desc","15","0.8361729050334877","0.8488592747918442","0.8298662874049697","0.8297931529036493"
"NR-AR","Weka RF classification","50","cdk_desc","15","0.836242343318928","0.845598965039428","0.8319810711858229","0.8311469937315332"
"NR-AR","Weka RF classification","60","cdk_desc","15","0.8357794152871262","0.8451682424064103","0.8293507999337455","0.8328192035212229"
"NR-AR","Weka RF classification","70","cdk_desc","15","0.8411444106475722","0.8480376828655205","0.8301475922022846","0.8452479568749113"
"NR-AR","Weka RF classification","30","rdkit_fp","20","0.8047619030862911","0.8438822057903779","0.7857971064160341","0.7846063970524614"
"NR-AR","Weka RF classification","40","rdkit_fp","20","0.8005284574313162","0.8268924205079045","0.7858256652787068","0.788867286507337"
"NR-AR","Weka RF classification","50","rdkit_fp","20","0.7947776891880212","0.8170440471372983","0.780769318642658","0.7865197017841075"
"NR-AR","Weka RF classification","60","rdkit_fp","20","0.7871990259425825","0.813670308648781","0.7762313153640996","0.7716954538148667"
"NR-AR","Weka RF classification","70","rdkit_fp","20","0.7880952348008572","0.8058529227826143","0.7776978129622943","0.7807349686576627"
"NR-AR","Weka RF classification","30","cdk_fp","20","0.7708649479525317","0.7742952090154318","0.7945418301661538","0.7437578046760096"
"NR-AR","Weka RF classification","40","cdk_fp","20","0.768914886275926","0.7654523660621126","0.7941777046670938","0.7471145880985716"
"NR-AR","Weka RF classification","50","cdk_fp","20","0.7712326046327584","0.7815500496633787","0.7815218446740594","0.7506259195608369"
"NR-AR","Weka RF classification","60","cdk_fp","20","0.7737261802147328","0.7763154667745668","0.7869965786482529","0.757866495221379"
"NR-AR","Weka RF classification","70","cdk_fp","20","0.7742693462727609","0.771896344529044","0.7913760802389743","0.7595356140502644"
"NR-AR","Weka RF classification","30","rdkit_desc","20","0.8315675414272659","0.8435741088180111","0.8359293339502047","0.8151991815135818"
"NR-AR","Weka RF classification","40","rdkit_desc","20","0.8382814908572627","0.8434100969968976","0.8442870851111228","0.8271472904637678"
"NR-AR","Weka RF classification","50","rdkit_desc","20","0.8436430883636388","0.8438776073281095","0.8438715536592469","0.8431801041035597"
"NR-AR","Weka RF classification","60","rdkit_desc","20","0.841992011065179","0.8392791450538941","0.8425864048390134","0.8441104833026294"
"NR-AR","Weka RF classification","70","rdkit_desc","20","0.8432330830840256","0.8415446541343248","0.8448168520136855","0.8433377431040663"
"NR-AR","Weka RF classification","30","cdk_desc","20","0.8252500724625765","0.8333578584654624","0.8280756467154452","0.8143167122068223"
"NR-AR","Weka RF classification","40","cdk_desc","20","0.83209532125891","0.830255429251125","0.8321681317363218","0.8338624027892831"
"NR-AR","Weka RF classification","50","cdk_desc","20","0.8334358212404993","0.8266318409790431","0.8335061144524982","0.8401695082899568"
"NR-AR","Weka RF classification","60","cdk_desc","20","0.8324401895801167","0.8295733240137833","0.8339744798003168","0.83377276492625"
"NR-AR","Weka RF classification","70","cdk_desc","20","0.8356837144318837","0.8312042453003718","0.8279499877196888","0.8478969102755904"
"NR-AR","Weka RF classification","30","rdkit_fp","30","0.7885314993829572","0.8253044182025374","0.7722002318979636","0.7680898480483708"
"NR-AR","Weka RF classification","40","rdkit_fp","30","0.7866336084353461","0.8114845062477536","0.7709222227934067","0.7774940962648782"
"NR-AR","Weka RF classification","50","rdkit_fp","30","0.7934381390152758","0.8158837018234422","0.7792571268641765","0.7851735883582089"
"NR-AR","Weka RF classification","60","rdkit_fp","30","0.7901440336205727","0.8156875007664033","0.7778748779108576","0.7768697221844572"
"NR-AR","Weka RF classification","70","rdkit_fp","30","0.7889834698310004","0.8114308575212332","0.7759328752491763","0.779586676722592"
"NR-AR","Weka RF classification","30","cdk_fp","30","0.7800707605697688","0.7819593128057825","0.7763712537911888","0.7818817151123348"
"NR-AR","Weka RF classification","40","cdk_fp","30","0.7725093000207423","0.7794623477908889","0.7598528076217874","0.7782127446495501"
"NR-AR","Weka RF classification","50","cdk_fp","30","0.7756561953435198","0.7897996909833231","0.7618276529755464","0.77534124207169"
"NR-AR","Weka RF classification","60","cdk_fp","30","0.7771386107440791","0.7843689070374663","0.7624930744758067","0.7845538507189639"
"NR-AR","Weka RF classification","70","cdk_fp","30","0.7815383126298037","0.783968840819616","0.7777706380621127","0.7828754590076824"
"NR-AR","Weka RF classification","30","rdkit_desc","30","0.828043496323365","0.845490134765601","0.8348298177373383","0.8038105364671555"
"NR-AR","Weka RF classification","40","rdkit_desc","30","0.8330832083234703","0.8533994898772519","0.8401232029335663","0.8057269321595927"
"NR-AR","Weka RF classification","50","rdkit_desc","30","0.8411221331586548","0.8515309813731623","0.8386638450510346","0.8331715730517674"
"NR-AR","Weka RF classification","60","rdkit_desc","30","0.838722577612273","0.8462580779653952","0.8379327381666353","0.8319769167047883"
"NR-AR","Weka RF classification","70","rdkit_desc","30","0.8402091629631571","0.8486784019423905","0.8415825608160982","0.8303665261309825"
