"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.8143017852604367","0.8398079682154271","0.8024040850597264","0.8006933025061569"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.8124947305457376","0.8384560203068055","0.8001693540556399","0.7988588172747674"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.8142740273099838","0.8424781419759902","0.8008947491675027","0.7994491907864585"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.8165601159158765","0.8500625390869053","0.8020371036743777","0.7975807049863465"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8203914865560736","0.8507952274092839","0.8049443958943877","0.8054348363645494"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","500","15","0.8178313103710734","0.8344323658168665","0.7917659087144526","0.8272956565819013"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","500","15","0.8254190079009249","0.8374673509178361","0.8060724709699202","0.8327172018150185"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","500","15","0.8223506005356067","0.8300025138260302","0.8139604288398765","0.8230888589409132"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8246628644954211","0.8420320911353752","0.8088398247628242","0.8231166775880641"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8233813205990832","0.8403827759997007","0.812096963050543","0.8176642227470059"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8243954205619984","0.8730793755901394","0.8257423876351533","0.7743644984607027"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8220638670620687","0.8706713141791994","0.8127823757546667","0.7827379112523397"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8208260856451733","0.86830770457026","0.8080573119256095","0.7861132404396505"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8217414781131117","0.8690894431568611","0.8116043226694559","0.7845306685130182"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8225443492685546","0.8635130412389985","0.8197964324268728","0.7843235741397925"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.8396597215223892","0.870350954640757","0.8277772066005313","0.8208510033258795"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8289959186452166","0.8545491054457911","0.8220397310897556","0.810398919400103"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.8306271327063364","0.8545583023703464","0.8230635663165368","0.8142595294321262"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8292989964877937","0.855628211259475","0.816123762687278","0.816145015516628"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.8268709577883079","0.85762087824496","0.8102192178298793","0.8127727772900847"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.8335936705250409","0.837657420691854","0.827360247205521","0.8357633436777476"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8344831123366099","0.8406632821984403","0.8345213820204912","0.8282646727908981"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.8362017685387132","0.8477817017989189","0.8266505594681127","0.8341730443491081"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8384415884112286","0.8563946216385023","0.8250012851488218","0.8339288584463617"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8361591857010763","0.8551101178432652","0.8205389628563509","0.832828476403613"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8160985301873792","0.844109063262566","0.8049815224158549","0.799205004883717"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.8166674513616804","0.8408242283780227","0.8112187780233794","0.7979593476836394"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.8195010649539621","0.8431985677322908","0.8120798277329424","0.8032247993966531"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.8164755068878651","0.8383502556744948","0.8126610005883125","0.7984152644007878"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.8205840249949299","0.835142061827859","0.8231363914163543","0.8034736217405761"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.8150776749556154","0.8405038688395924","0.7950658852961792","0.8096632707310751"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.8115914969922245","0.8338759518816802","0.7876605722053658","0.8132379668896276"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.8152065273249134","0.8329087419833241","0.8040119490281538","0.8086988909632625"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.8173039396802434","0.8292115783148781","0.8076803349383402","0.8150199057875123"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","500","20","0.8211115764190486","0.8457813707096342","0.8024283600929888","0.815124998454523"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","500","20","0.8100415980458067","0.819919618879454","0.815526882457423","0.7946782928005429"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","500","20","0.8121048328242116","0.8278764914345974","0.8084942625244872","0.7999437445135503"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","500","20","0.8144384198146571","0.8260677629400707","0.8209959046590923","0.7962515918448084"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","500","20","0.815543333739122","0.822079363327565","0.8135891636251493","0.8109614742646518"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","500","20","0.8140105390594417","0.8259895890813985","0.808641340667248","0.8074006874296785"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","1000","20","0.8180519192934362","0.8465631092962488","0.7902251580733108","0.8173674905107491"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","1000","20","0.8244053418482777","0.8531082539332213","0.8042903979391863","0.8158173736724255"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","1000","20","0.8216591546134658","0.8471133919483925","0.7989727377096973","0.8188913341823074"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","1000","20","0.8218718239637278","0.84630099694662","0.8093467445752457","0.8099677303693177"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","1000","20","0.8242512157411436","0.8479257869501773","0.8210173238060935","0.8038105364671598"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","1000","20","0.8353783382495261","0.8591567646445661","0.8365005112036481","0.810477738900364"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","1000","20","0.8317614147476471","0.85659542115782","0.827350251603567","0.8113385714815543"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","1000","20","0.8291646089624453","0.8562413395627092","0.8258794701759792","0.8053730171486472"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","1000","20","0.8237802845331693","0.850724717654397","0.816420774859067","0.8041953610860443"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","1000","20","0.8245077114639514","0.8506388796919624","0.8238075246891302","0.7990767300107613"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","2000","20","0.801587904031309","0.8222050546297186","0.774644870542678","0.8079137869215303"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","2000","20","0.8078199225411229","0.8199671363229448","0.7908805839716291","0.8126120473287949"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","2000","20","0.8138524360424036","0.8339771180517161","0.7944133152841234","0.8131668747913711"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","2000","20","0.815334216286549","0.8433779077609648","0.7917173586479115","0.8109073824507707"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","2000","20","0.8152262838096846","0.8437028657616872","0.7893098465246688","0.8126661391426979"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","2000","20","0.8226250608236932","0.8203932604936786","0.8162808364319701","0.8312010855454312"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","2000","20","0.821958775189982","0.8212225165238022","0.8140075509632893","0.8306462580828546"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","2000","20","0.8201220364843061","0.8179836662619919","0.8185641175025746","0.8238183256883519"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","2000","20","0.8145726497466567","0.8185845319991576","0.812216910273772","0.8129165069670407"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","2000","20","0.8160902096307155","0.814099498461039","0.8192609537517868","0.814910176679321"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","500","30","0.8116563403547173","0.8079145667022176","0.7828326964706963","0.8442217578912381"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","500","30","0.8147570353055972","0.7994472648346309","0.7960011880486886","0.8488226530334718"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","500","30","0.8244084989028","0.8176862990349347","0.8139818479868819","0.8415573496865832"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","500","30","0.8261089813500327","0.8172034604961245","0.8187640295412878","0.8423594540126857"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","500","30","0.8262944172441425","0.8228319783197818","0.8207160278049037","0.8353352456077416"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","500","30","0.8115738036449401","0.8327968460680067","0.8134606487431205","0.7884639161236933"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","500","30","0.8175952019912245","0.8349673202614364","0.8174974439817915","0.8003208417304455"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","500","30","0.8218595021694588","0.8360341635090581","0.8177730370065696","0.8117713059927487"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","500","30","0.8218065101074847","0.8443757740744712","0.8117514008122179","0.8092923554357652"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","500","30","0.8242111710165743","0.8533259144808668","0.8078531160575119","0.8114544825113439"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","1000","30","0.8005302645479179","0.8241272118603434","0.807835980739893","0.7696276010435171"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","1000","30","0.8104519333250554","0.8190535751511258","0.8150970715742176","0.7972051532498224"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","1000","30","0.8110456423108089","0.8203595384370038","0.813192195434012","0.7995851930614108"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","1000","30","0.8098333864168502","0.8312149750456678","0.8024740542732615","0.7958111299316215"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","1000","30","0.8080265631447464","0.8308501637052458","0.8063466360515591","0.7868828896774345"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","1000","30","0.8100656667522519","0.797563428122964","0.8199720694323044","0.8126615027014875"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","1000","30","0.8151757370196643","0.8050206011109884","0.8286796666609536","0.8118269432870507"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","1000","30","0.813862937126693","0.8227798624140001","0.8168777166618191","0.8019312323042599"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","1000","30","0.8121412455937108","0.8173107579492133","0.8161694568675524","0.802943521964367"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","1000","30","0.8169600620443686","0.81974027885075","0.8161694568675493","0.8149704504148064"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","2000","30","0.8079402947460806","0.8141669425743998","0.8101321132987181","0.7995218283651242"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","2000","30","0.8094184074892742","0.8111043666997618","0.8125567607395535","0.8045940950285071"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","2000","30","0.8080416170376674","0.8123950017780628","0.8054341803892054","0.8062956689457339"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","2000","30","0.8023469875116594","0.8141316876969542","0.7991783615209208","0.7937309133171031"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","2000","30","0.8020459704339272","0.823619848189427","0.7927497615334939","0.7897683015788608"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","2000","30","0.7944873308050084","0.7907791634477205","0.8099279174306082","0.7827549115366967"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","2000","30","0.7988940271865203","0.8052995744889424","0.8103291694511497","0.7810533376194683"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","2000","30","0.7981320961504582","0.8081475554574445","0.8020827978546532","0.784165935139277"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","2000","30","0.812272931912949","0.8140673092251199","0.8128594846838776","0.8098920018298494"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","2000","30","0.820358009676209","0.826280825025437","0.8237575466794661","0.8110356573237238"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","500","40","0.8025513216913689","0.7924484052532803","0.8101478206731896","0.8050577391476369"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","500","40","0.7955837561990119","0.782086536928709","0.8133664044963083","0.7912983271720183"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","500","40","0.7918090149747744","0.781818293296048","0.80532565671105","0.7882830949172248"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","500","40","0.8028711683713409","0.7978929845859439","0.8104676799351116","0.800252840592967"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","500","40","0.8043577904465152","0.8141316876969682","0.8017458032751287","0.7971958803674488"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","500","40","0.796691307558548","0.8194030582839772","0.7900780799305447","0.7805927844611221"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","500","40","0.8162557840103823","0.8271897877349805","0.8026939575158358","0.8188836067803308"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","500","40","0.8208665809269736","0.8336705539001101","0.8087612878904675","0.8201679009903431"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","500","40","0.8257169309892899","0.8398186979607462","0.8054927260576756","0.8318393689494478"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","500","40","0.8266354102236338","0.8527250487437014","0.8011203641826132","0.8260608177445871"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","1000","40","0.8021777249164899","0.7696231713448207","0.830785882783","0.8061241206216485"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","1000","40","0.8009212554330345","0.7786683466381991","0.8169791006242911","0.8071163190366135"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","1000","40","0.8038978104794934","0.7936562680106306","0.8132236101829496","0.8048135532448997"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","1000","40","0.8078401544699565","0.7977534978969488","0.8095894949079564","0.816177470604964"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","1000","40","0.8035515861835458","0.7940011526811859","0.8083086299171203","0.8083449759523311"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","1000","40","0.8184359867995967","0.8213849955241666","0.8112544766017159","0.8226684882729075"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","1000","40","0.8189391631378938","0.8203825307483802","0.8054456039342696","0.830989354731032"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","1000","40","0.8189134948085909","0.8140673092251262","0.815351245452003","0.8273219297486437"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","1000","40","0.8154196075889106","0.813034188034178","0.8123782678478652","0.8208463668846887"
"NR-AR","Weka RF on folded fp classification","70","cdk_fp","1000","40","0.817469313192127","0.8173000282038955","0.8197464544172027","0.8153614569552828"
"NR-AR","Weka RF on folded fp classification","30","rdkit_fp","2000","40","0.7997733666540437","0.7943215122196224","0.8088598159666814","0.7961387717758273"
"NR-AR","Weka RF on folded fp classification","40","rdkit_fp","2000","40","0.8029617824540941","0.80820580264625","0.8049286885198964","0.7957508561961356"
"NR-AR","Weka RF on folded fp classification","50","rdkit_fp","2000","40","0.8120361613211241","0.8184557750554792","0.8181571537095081","0.7994955551983849"
"NR-AR","Weka RF on folded fp classification","60","rdkit_fp","2000","40","0.8071912295159126","0.8090151320065136","0.8160009595777843","0.7965575969634399"
"NR-AR","Weka RF on folded fp classification","70","rdkit_fp","2000","40","0.8143982288180385","0.815557211001972","0.8174131953369058","0.8102242801152375"
"NR-AR","Weka RF on folded fp classification","30","cdk_fp","2000","40","0.8177994807398035","0.8271882549142111","0.8115086504794982","0.8147015368257011"
"NR-AR","Weka RF on folded fp classification","40","cdk_fp","2000","40","0.8183092814593514","0.8361935768679047","0.8085285331596953","0.8102057343504541"
"NR-AR","Weka RF on folded fp classification","50","cdk_fp","2000","40","0.8151130053770541","0.8338790175232117","0.7943490578431168","0.8171109407648338"
"NR-AR","Weka RF on folded fp classification","60","cdk_fp","2000","40","0.8184420978683652","0.8363100712454975","0.8042018654648997","0.8148143568946984"
