"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.6357979496975381","0.655911876774867","0.6451605384054664","0.6063214339122811"
"NR-AhR","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8926410042363023","0.9065364499083334","0.8807772070498971","0.8906093557506765"
"NR-AhR","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8793580890093438","0.8966368908539726","0.8694170382048596","0.872020337969199"
"NR-AhR","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.8536313855157845","0.8727982673712265","0.8455072132092506","0.8425886759668765"
"NR-AhR","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6490121321596755","0.6540800951388142","0.6649445941898776","0.6280117071503345"
"NR-AhR","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8898504838874574","0.8954431623470726","0.8877509648691494","0.8863573244461501"
"NR-AhR","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8764279095919094","0.8847505302131569","0.8765363033785879","0.8679968951839836"
"NR-AhR","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.8499913592289582","0.8602955713720869","0.8515754349681033","0.8381030713466843"
"NR-AhR","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6351467518991337","0.6552640880932704","0.64434965276012","0.6058265148440107"
"NR-AhR","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.8776509590927684","0.8885526378853711","0.8646499064797409","0.8797503329131929"
"NR-AhR","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.8648110250044918","0.8769171549420648","0.8523389954059203","0.8651769246654902"
"NR-AhR","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.8379553061485715","0.8521588961980533","0.8252816909367251","0.8364253313109362"
"NR-AhR","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.64852417988483","0.6538599218759363","0.6641132244994833","0.6275993932790704"
"NR-AhR","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.8696825324055321","0.8715401344404982","0.8660731944373823","0.8714342683387155"
"NR-AhR","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.8557758592497399","0.858259343134785","0.852847564800216","0.856220669814219"
"NR-AhR","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.8273897442372841","0.833540775489182","0.8230870727310771","0.8255413844915932"
