"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8889567742497636","0.9012605293744086","0.8800920510603693","0.8855177423145127"
"NR-AhR","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8734788431657127","0.8906697460967883","0.8659863138325298","0.86378046956782"
"NR-AhR","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8731609753773348","0.8926475610194395","0.8678616634739837","0.8589737016385811"
"NR-AhR","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8895844119221897","0.9015196448470516","0.880419089434752","0.8868145014847654"
"NR-AhR","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8812749314680562","0.8961628443390045","0.8747386518390383","0.8729232982261258"
"NR-AhR","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8764604334137265","0.8900519129611734","0.8786779456056883","0.8606514416743177"
"NR-AhR","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8956705110961543","0.9110290329151569","0.8895041165867127","0.8864783837865929"
"NR-AhR","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8864045822787784","0.8986851013096482","0.8879678132081098","0.872560832318577"
"NR-AhR","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8774083541920197","0.8869904561630564","0.8835164183152734","0.8617181880977292"
"NR-AhR","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.89188702291644","0.8983608325245426","0.8976624172868292","0.8796378189379483"
"NR-AhR","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.884294075519101","0.8951683202128057","0.8871526894844837","0.8705612168600139"
"NR-AhR","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8732709577119255","0.883220550702762","0.8830890787548009","0.853503243678214"
"NR-AhR","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8873083525976989","0.9011324694153887","0.8882602406098264","0.8725323477678815"
"NR-AhR","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8829595595196419","0.8944418982230435","0.8832254036063226","0.8712113767295597"
"NR-AhR","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8724453621435289","0.8864302874534147","0.8709151988788909","0.8599906000982811"
"NR-AhR","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8862371585616075","0.8995912565752407","0.874171455695124","0.8849487634144576"
"NR-AhR","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.8651556935861159","0.877488556981443","0.853505879627276","0.864472644149629"
"NR-AhR","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.8587588901819729","0.874686215655977","0.8480352269067166","0.8535552279832254"
"NR-AhR","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.886639072288579","0.9030968043423608","0.8736960845807428","0.8831243279426335"
"NR-AhR","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.874227771231851","0.8919705656805461","0.8608066758209207","0.8699060721940861"
"NR-AhR","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.8635291522618931","0.8776450747091434","0.8572650550667711","0.8556773270097645"
"NR-AhR","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8913098136518043","0.9055471680026842","0.8839896703905291","0.8843926025621993"
"NR-AhR","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.8746686597457883","0.8852979678157754","0.8725362638232018","0.8661717475983877"
"NR-AhR","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.8598299197259848","0.8690995063326159","0.8572544598710475","0.8531357929742911"
"NR-AhR","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.8798096103086914","0.8888297266855968","0.8831498245435583","0.8674492796969192"
"NR-AhR","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.8681818868994705","0.8775050325317202","0.8671426028581637","0.8598980253085278"
"NR-AhR","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.8583017761007","0.8663181338893101","0.8576888628953412","0.8508983315174485"
"NR-AhR","Smile SVC Poly classification","2","1.0","cdk_fp","MaxMin","0.0","0.87509807444733","0.8845281102843324","0.8769728254420325","0.8637932876156251"
"NR-AhR","Smile SVC Poly classification","3","1.0","cdk_fp","MaxMin","0.0","0.8615796402999557","0.8722987586421697","0.8640897737996294","0.8483503884580682"
"NR-AhR","Smile SVC Poly classification","4","1.0","cdk_fp","MaxMin","0.0","0.8527204602736024","0.8647933965994357","0.8504396299875072","0.8429283542338643"
