"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.7095550750326508","0.7178614436176786","0.7106727525470868","0.7001310289331875"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.7082594647674805","0.7350559270043237","0.7054274243220506","0.6842950429760675"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.71617189257404","0.746688414393043","0.6938800736860558","0.7079471896430214"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7678534998767946","0.7878555723306664","0.7576348980318339","0.7580700292678835"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8470349281784384","0.844723180799686","0.8598644097487099","0.8365171939869191"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.6096660934627963","0.6220561187198195","0.6137563783078189","0.5931857833607505"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7963624774098808","0.8112688270606416","0.7997267852198437","0.7780918199491571"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7778416712484622","0.7786322597265575","0.7774945328790163","0.7773982211398126"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7410752251174358","0.7481442539271795","0.7315029073217092","0.7435785141034189"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7295952416704466","0.7392137567849308","0.7195684788689427","0.7300034893574664"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.6444708736258581","0.6397883041566288","0.6391226895409878","0.6545016271799576"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6408095303103525","0.6373379404963044","0.6267008820853606","0.6583897683493924"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6572382437094026","0.6501559186167749","0.6567771109867954","0.6647817015246378"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7183949339507899","0.7032296571887358","0.6958790339441839","0.7560761107194496"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.8295412248760162","0.8243646428699866","0.8308886685088254","0.8333703632492365"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.5765550539163352","0.5718700947793466","0.5856550938875619","0.5721399730820973"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7640502619443906","0.7631220269120608","0.7695608503280353","0.7594679085930757"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7638836587975176","0.7709524066285669","0.7587318539614718","0.761966715802514"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7409428778532517","0.7502269132607196","0.7298606519859607","0.742741068313075"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7295522503723065","0.743777484213423","0.7155408918046894","0.7293383750988075"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.6266690231696138","0.8800070695088413","0.5","0.5"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.8475506889102906","0.8694746995458764","0.8364921143490004","0.8366852528359949"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.8499784867267598","0.8678346334040242","0.8336186972712393","0.8484821295050158"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.8561068348536067","0.8794513941311263","0.8353195793566005","0.8535495310730935"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8641153901865284","0.8920057634470617","0.8526928749427898","0.8476475321697337"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.8471794095411166","0.8638745102268213","0.8302084569439523","0.8474552614525762"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.8644626916469768","0.8850141390176876","0.847700418722133","0.8606735172011097"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.880949402750551","0.8996594054423239","0.8796668305390326","0.8635219722702965"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.9036971892430125","0.9196719568160815","0.9098362971627577","0.8815833137501982"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8668729558490406","0.8835493128197901","0.8633120864341908","0.8537574682931405"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.7430390151812681","0.877710976910276","0.5","0.8514060686335284"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.8647056126861165","0.8864085696825851","0.8507334700819944","0.8569747982937697"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.8596665940138081","0.8780195190337495","0.8510767544231417","0.849903508584533"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.8638166602212576","0.883741028313994","0.8614642843016034","0.8462446680481753"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.8780719096298323","0.9057838168158384","0.8713517209423259","0.8570801911313326"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.8534362488667685","0.8753040487915954","0.844274638774471","0.8407300590342391"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.8679124691608529","0.8907581149574053","0.8516107522871501","0.861368540238003"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.8816186081916778","0.9025606000695143","0.8793899427576989","0.8629052817478201"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.8913407043949881","0.9008463939513733","0.8882376375256396","0.8849380817079515"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.001","0.8528314605054949","0.879049989815106","0.8494352054337804","0.8300091862675985"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.01","0.7029853460609171","0.7333065231196838","0.6855621387038229","0.6900873763592443"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.01","0.7117259426209307","0.7498562133793444","0.6902508659806655","0.6950707485027825"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.01","0.7122800865444713","0.7484078627317098","0.6910900054812485","0.6973423914204556"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.01","0.76205311326438","0.7858844974058528","0.7438554928319959","0.7564193495552911"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.01","0.8472955217399235","0.8431737301844013","0.8638171240965823","0.8348957109387868"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.01","0.598912950315413","0.5927116658878231","0.6126587160318034","0.5913684690266129"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.01","0.7990439896222418","0.8147346837293478","0.8035029129724827","0.7788943721648949"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.01","0.7809258146609835","0.7828485028218107","0.778875440053795","0.7810535011073451"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.01","0.7421801419501847","0.7494742801682298","0.7348093147310008","0.7422568309513231"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.01","0.7288615670213826","0.737902452760109","0.7188190453587404","0.7298632029452984"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.01","0.6464394580630336","0.6373918604790461","0.6455306639090899","0.656395849800965"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.01","0.646108569455544","0.6376869226068467","0.643116371978959","0.6575224137808261"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.01","0.6879361632509858","0.6478463460225038","0.6533089502562609","0.7626531934741929"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.01","0.7008212038724962","0.7020718753370031","0.6991013861341444","0.7012903501463416"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.01","0.8258342790128687","0.8203086619456743","0.82242593251849","0.8347682425744412"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.01","0.5964532955424096","0.5605663695076522","0.6215007600287042","0.6072927570908723"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.01","0.7525673220311634","0.7368667397581964","0.7635371283911649","0.757298097944129"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.01","0.7659323601992662","0.7771906490767709","0.7580678883633676","0.7625385431576603"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.01","0.7398756650342563","0.7497259067543762","0.7296353274904376","0.7402657608579554"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.01","0.7292437536870655","0.7419906358963304","0.7168857753140468","0.728854849850819"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.01","0.8441783331076849","0.8663188827779641","0.8340043623952472","0.832211754149843"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.01","0.849356624157363","0.8839567082449697","0.8290429854153564","0.8350701788117634"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.01","0.8518854414408733","0.883270726242262","0.828281544016684","0.8441040540636736"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.01","0.8606633315646435","0.8805402782271179","0.8445147965439975","0.856934919922815"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.01","0.8622852793742787","0.8981151970475901","0.8419832511146226","0.8467573899606232"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.01","0.847790717317057","0.8633278215128755","0.8390151836218066","0.8410291468164891"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.01","0.862008954874773","0.8857001210204142","0.8419818384218501","0.8583449051820548"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.01","0.8829916098944558","0.9042530884167909","0.8750741663700008","0.8696475748965757"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.01","0.9051092928656423","0.9205930898546533","0.9114580684534481","0.8832767202888258"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.01","0.8670820939952891","0.8851227278718378","0.8629144134217016","0.853209140692328"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.01","0.8562596284030158","0.8805597493319945","0.8491639684234966","0.8390551674535565"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.01","0.8579840363659867","0.8814674023748763","0.8535235382868102","0.8389611684362737"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.01","0.8581054995557803","0.874147764717163","0.8489492391236844","0.8512194948264936"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.01","0.8672119970930708","0.8993149166636829","0.8545774070871971","0.8477436675283326"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.01","0.8769488282211433","0.9019060713900575","0.866548565551768","0.8623918477216044"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.01","0.8615092077889548","0.8886088045340693","0.8505215661677096","0.8453972526650854"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.01","0.8682621576601096","0.8897665863858059","0.8569705086259007","0.8580493779686224"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.01","0.8806104676723381","0.9052371281019026","0.8779659484536725","0.8586283264614393"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.01","0.8938118912311221","0.9008643672789718","0.8912551492651185","0.8893161571492764"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.01","0.8548322800891127","0.8805612471092914","0.852151107268581","0.8317844858894656"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.1","0.7055872407352023","0.7296489509567754","0.6979895969305014","0.6891231743183298"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.1","0.7164949272464777","0.7454901925542495","0.7015976142444613","0.7023969749407222"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.1","0.7096122076108187","0.724826108055642","0.7113338927596777","0.6926766220171364"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.1","0.7582611475434282","0.7857324730100554","0.751647906106796","0.7374030635134333"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.1","0.847856372221908","0.8483597840804163","0.8578746319935421","0.8373347005917656"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.1","0.605690607958961","0.6063893681776247","0.622444438793676","0.5882380169055822"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.1","0.7998065795217918","0.8152192146854063","0.8069710737030111","0.7772294501769581"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.1","0.7811681186982796","0.7826185940064913","0.7807387818067805","0.7801469802815669"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.1","0.7416139123456421","0.7487261404076342","0.7322650550667682","0.7438505415625238"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.1","0.7300732161015259","0.7392721700995734","0.7194300349782777","0.7315174432267263"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.1","0.6420779527820104","0.6360049187006449","0.6366829691411396","0.6535459705042468"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.1","0.6465325209669179","0.6394483087098706","0.6404506207372003","0.659698633453683"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.1","0.6547738681783235","0.6512373138262805","0.6498450276040147","0.6632392631046754"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.1","0.7170185504755794","0.7034438393424173","0.6979034226720251","0.7497083894122957"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.1","0.8282925854966585","0.8282685993985008","0.8243902818039525","0.8322188752875219"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.1","0.5679288309013255","0.5624565644583462","0.5770645092022831","0.5642654190433471"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.1","0.7611896283720961","0.7754614651856694","0.756148038899907","0.7519593810307122"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.1","0.7667621393113798","0.773203565908197","0.7599305237699715","0.7671523282559711"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.1","0.7411564792516017","0.7493439735432644","0.7318885724457136","0.7422368917658272"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.1","0.7306833260264413","0.7411099428448202","0.7204288087609574","0.7305112264735459"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.1","0.8462941177378784","0.8747603556322412","0.8101694101160083","0.8539525874653859"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.1","0.8486420035863889","0.8735441604658707","0.8313569761593964","0.8410248741338996"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.1","0.8464151345027778","0.8717303521574122","0.8282434013121112","0.83927165003881"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.1","0.8575854206147929","0.8846756413482472","0.8312425480456728","0.8568380724504587"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.1","0.8659078151264231","0.8889652755311147","0.8519243700803014","0.8568337997678533"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.1","0.855219618875783","0.8773964436775861","0.8382819960783555","0.8499804168714075"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.1","0.8636502038088442","0.8826102064536325","0.8514581814688711","0.8568822235040288"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.1","0.8854941230160239","0.9041257773464193","0.8819299643436499","0.8704266273580026"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.1","0.9057850414529843","0.9201804522089249","0.9098659637107609","0.887308708439267"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.1","0.8674163006791282","0.8834070239764223","0.8638510287228679","0.8549908493380947"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.1","0.8568459626101196","0.8780524701343159","0.8525643199014502","0.8399210977945927"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.1","0.8628457257524395","0.8811004469367276","0.8574762526346773","0.8499604776859133"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.1","0.867107106502267","0.8923083144613239","0.8538555210858525","0.8551574839596243"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.1","0.8641913782776944","0.8850006590220211","0.8545957720931011","0.8529777037179609"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.1","0.8788091089280018","0.9046934349425488","0.8647346680454525","0.866999223796004"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.1","0.8629647896502409","0.888153480235325","0.8544036458774821","0.8463372428379158"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.1","0.8645465115433687","0.8941041494422297","0.8536930614182296","0.8458423237696466"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.1","0.8842448332243681","0.9075122518183123","0.8765702080048915","0.8686520398499006"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.1","0.8913275147240615","0.8996721365493636","0.8914289104748325","0.8828814971479882"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.1","0.855653281844997","0.8803058760798946","0.8512498092864749","0.8354041601686217"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","1.0","0.7086354638898958","0.7456938902668495","0.6868123717981348","0.6934001296047029"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","1.0","0.7079779125868478","0.7157825287273715","0.7062185322687302","0.7019326767644418"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","1.0","0.706608907639959","0.7191001054435202","0.6973341074889625","0.7033925099873943"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","1.0","0.7271982553446571","0.7580707729729136","0.7201257861635245","0.7033982068975333"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","1.0","0.8490105037931718","0.847485831026754","0.8633339831720103","0.8362116971807508"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","1.0","0.6029551918073842","0.6039015600848373","0.6126968587363744","0.5922671566009406"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","rdkit_fp","1.0","0.7941093529399902","0.811012707142606","0.7980979504653438","0.7732174012120206"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","rdkit_fp","1.0","0.7836966782076158","0.7843492756749053","0.7821345222555641","0.784606236692378"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","rdkit_fp","1.0","0.742620006689504","0.74891560923589","0.7331006628354474","0.7458437479971746"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","rdkit_fp","1.0","0.730562223258293","0.7386678169596279","0.7210200206818238","0.7319988321334271"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","1.0","0.6445860587563228","0.6386814467330487","0.6388104844406043","0.6562662450953155"
"NR-AhR","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","1.0","0.644383079836019","0.6391337754771917","0.6370926500421004","0.6569228139887648"
"NR-AhR","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","1.0","0.6510572807096509","0.6466930575026695","0.6510585306865129","0.6554202539397702"
"NR-AhR","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","1.0","0.6732236623485895","0.6757469415387579","0.6758922567484367","0.6680317887585739"
"NR-AhR","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","1.0","0.8279634437685576","0.8236494542099586","0.8257930857165504","0.834447791379164"
"NR-AhR","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","1.0","0.5794228021466737","0.5593322010136978","0.6221223448439538","0.5568138605823696"
"NR-AhR","Smile SVC RBF classification","0.001","Standard","cdk_fp","1.0","0.7615742775711839","0.7718286063481802","0.762081348500005","0.7508128778653665"
"NR-AhR","Smile SVC RBF classification","0.01","Standard","cdk_fp","1.0","0.771070633744111","0.7779470266125025","0.7648346866930019","0.7704301879268288"
"NR-AhR","Smile SVC RBF classification","0.1","Standard","cdk_fp","1.0","0.7438062583679607","0.7548745162179289","0.7346235456328007","0.7419207132531526"
"NR-AhR","Smile SVC RBF classification","1.0","Standard","cdk_fp","1.0","0.7309055896400031","0.7446304683849189","0.7176740578751986","0.7304122426598919"
"NR-AhR","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","1.0","0.8560081816243704","0.8815782378949673","0.8428435810066323","0.843602725971512"
