"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8809441435081989","0.9113952394646356","0.8695879740290554","0.8618492170309056"
"NR-AhR","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8771276859866806","0.9104621242076686","0.866680652325011","0.8542402814273622"
"NR-AhR","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8768812426232367","0.9137677187054387","0.8667823662038653","0.8500936429604062"
"NR-AhR","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8986405794462055","0.9245127730448072","0.8959996779060602","0.8754092873877493"
"NR-AhR","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.9077523017411494","0.9200134500401402","0.9116791548706847","0.8915643003126232"
"NR-AhR","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8747746849782039","0.9060406856225353","0.8676271564755099","0.8506562128365663"
"NR-AhR","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8750758249842964","0.9103782486789483","0.862260336672933","0.852588889601008"
"NR-AhR","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8767941482643824","0.9067581209485249","0.8690101826894308","0.8546141411551916"
"NR-AhR","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.9078906781117171","0.9246700396611434","0.9092507360129224","0.8897512586610852"
"NR-AhR","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.9072493105847291","0.9170014198928913","0.9112694739697244","0.8934770378915715"
"NR-AhR","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8787145568323481","0.909800106641736","0.8703578915843128","0.8559856722709954"
"NR-AhR","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8747592853379779","0.9045668727608208","0.8666891284815862","0.8530218547715269"
"NR-AhR","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8814243226128203","0.9058924056699915","0.8746143348759973","0.8637662272924718"
"NR-AhR","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.9086949167929731","0.9214962495656518","0.9126553255691784","0.8919331752440891"
"NR-AhR","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.9043069125768057","0.9168216866170729","0.908598071956919","0.8875009791564256"
"NR-AhR","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8726958200315593","0.9027335933474729","0.8608080885136806","0.8545457782335242"
"NR-AhR","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8757462126183585","0.9063312544184584","0.8682529793690236","0.8526544040675939"
"NR-AhR","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8830980121990178","0.9105474975136906","0.8796788384275013","0.8590677006558617"
"NR-AhR","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.9086084141684557","0.920477761002667","0.9158112811993266","0.8895362003033735"
"NR-AhR","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.904219391295161","0.9184962016367761","0.9100093520260948","0.884152620222612"
"NR-AhR","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.8779111036220462","0.9046881927220044","0.8881747726977419","0.840870345446392"
"NR-AhR","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8797847027269728","0.9063102855362596","0.8891113879988976","0.8439324346457614"
"NR-AhR","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8809436174709905","0.9084476137412024","0.8911258878774031","0.8432573507943661"
"NR-AhR","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8964360828563822","0.9184497705405171","0.9072531884475582","0.8636052895810712"
"NR-AhR","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.9044108152904983","0.9144926429179081","0.9131045618674675","0.8856352410861191"
"NR-AhR","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8811516891625654","0.9107706663311593","0.8907444608316701","0.8419399403248667"
"NR-AhR","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8846995932904939","0.9108320752004067","0.8945460170540244","0.8487206876170507"
"NR-AhR","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8803453477703639","0.9060197167403515","0.8919085196675082","0.843107806903232"
"NR-AhR","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.9103242620759974","0.9296681225061927","0.9131257522589019","0.8881789114628975"
"NR-AhR","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.9033731683306052","0.915425758174857","0.9123855012516479","0.8823082455653108"
"NR-AhR","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.882305919822612","0.9083667337670787","0.8903672718642429","0.8481837538365142"
"NR-AhR","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.8815186653775053","0.9096593155756773","0.8915609972480677","0.8433356833087712"
"NR-AhR","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.883828316217408","0.9087112225457468","0.8912558556114929","0.8515178704949842"
"NR-AhR","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.9119896050588522","0.9271308877625577","0.9165501195137982","0.8922878079002009"
"NR-AhR","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.9018587509135992","0.9104606264303774","0.9078126147812942","0.887303011529126"
"NR-AhR","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8796658886404796","0.9094975556274523","0.8879190753078335","0.8415810349861526"
"NR-AhR","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8799006760915672","0.909030249110322","0.8865812552622749","0.8440905239021044"
"NR-AhR","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.8894264074552828","0.912160603664155","0.8966777704317778","0.8594408482699157"
"NR-AhR","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.9108239558939112","0.924145817606671","0.9150512524934034","0.8932747975816591"
