"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Weka RF classification","30","rdkit_fp","15","0.836868721012736","0.8289530836239033","0.8324638209383676","0.8491892584759372"
"NR-AhR","Weka RF classification","40","rdkit_fp","15","0.8573849341337351","0.8429265969301585","0.8521461628439182","0.8770820426271285"
"NR-AhR","Weka RF classification","50","rdkit_fp","15","0.86714287645425","0.8590898606468027","0.8642889634790648","0.8780498052368828"
"NR-AhR","Weka RF classification","60","rdkit_fp","15","0.8726768426145757","0.8738669314736928","0.8642409319251577","0.8799226644448763"
"NR-AhR","Weka RF classification","70","rdkit_fp","15","0.8729000090509903","0.8773912014570385","0.8651888487684126","0.8761199769275201"
"NR-AhR","Weka RF classification","30","cdk_fp","15","0.844207065646389","0.8365797656278077","0.8557386405375038","0.8403027907738554"
"NR-AhR","Weka RF classification","40","cdk_fp","15","0.8565318060311083","0.8537008579268371","0.8654932840586106","0.8504012761078773"
"NR-AhR","Weka RF classification","50","cdk_fp","15","0.8612647077817178","0.8583866542051585","0.8732821656014949","0.8521253035385001"
"NR-AhR","Weka RF classification","60","cdk_fp","15","0.8621710302392698","0.8608999245120257","0.8732948798363496","0.8523182863694339"
"NR-AhR","Weka RF classification","70","cdk_fp","15","0.8696324115878102","0.8736070671124","0.880697389908854","0.8545927777421766"
"NR-AhR","Weka RF classification","30","rdkit_desc","15","0.9137558771540132","0.9285859784080386","0.9097797894522717","0.9029018636017292"
"NR-AhR","Weka RF classification","40","rdkit_desc","15","0.9168888553986921","0.9280677474627652","0.9122760175625964","0.9103228011707152"
"NR-AhR","Weka RF classification","50","rdkit_desc","15","0.9179292583905729","0.9296748625040423","0.914526437132346","0.9095864755353307"
"NR-AhR","Weka RF classification","60","rdkit_desc","15","0.9197925643523438","0.9317792396084192","0.9174358778755387","0.9101625755730737"
"NR-AhR","Weka RF classification","70","rdkit_desc","15","0.9200018505483641","0.9313321530848224","0.9178271937705946","0.9108462047896753"
"NR-AhR","Weka RF classification","30","cdk_desc","15","0.9113627697490528","0.9206896964904062","0.9116282979312526","0.9017703148254994"
"NR-AhR","Weka RF classification","40","cdk_desc","15","0.9151127206222127","0.9254398971925679","0.9136110122226153","0.906287252451455"
"NR-AhR","Weka RF classification","50","cdk_desc","15","0.9182735629080735","0.929421738140598","0.9156650674984615","0.9097338830851607"
"NR-AhR","Weka RF classification","60","cdk_desc","15","0.9196751301312642","0.9302949423056195","0.9179917724773553","0.9107386756108178"
"NR-AhR","Weka RF classification","70","cdk_desc","15","0.9202985253051134","0.9311966042393063","0.9180730023111672","0.9116259693648663"
"NR-AhR","Weka RF classification","30","rdkit_fp","20","0.849114556335676","0.8596320560288542","0.8343985036758285","0.8533131093023455"
"NR-AhR","Weka RF classification","40","rdkit_fp","20","0.8628977102411985","0.8638977257749493","0.8531795475992727","0.8716158573493733"
"NR-AhR","Weka RF classification","50","rdkit_fp","20","0.8675235321456586","0.8735007249242162","0.8567112795040921","0.8723585920086677"
"NR-AhR","Weka RF classification","60","rdkit_fp","20","0.8727791841414487","0.8806069293169014","0.8609818497233994","0.8767487733840454"
"NR-AhR","Weka RF classification","70","rdkit_fp","20","0.8759891853557217","0.8857285787890822","0.8629052309187638","0.879333746359319"
"NR-AhR","Weka RF classification","30","cdk_fp","20","0.8585998581393944","0.852894304851603","0.8648017709516383","0.8581034986149418"
"NR-AhR","Weka RF classification","40","cdk_fp","20","0.8679084431755598","0.8672579891441127","0.8713594907525102","0.8651078496300567"
"NR-AhR","Weka RF classification","50","cdk_fp","20","0.8735795827146675","0.8730903339444184","0.8778790678488083","0.869769346350776"
"NR-AhR","Weka RF classification","60","cdk_fp","20","0.8762992525886242","0.8754478354122561","0.8837325603078497","0.8697173620457669"
"NR-AhR","Weka RF classification","70","cdk_fp","20","0.8795921606511112","0.8820695088488651","0.8847984369967319","0.8719085361077368"
"NR-AhR","Weka RF classification","30","rdkit_desc","20","0.9164919985490245","0.9275397809650481","0.9175503059892522","0.904385908692773"
"NR-AhR","Weka RF classification","40","rdkit_desc","20","0.9197196992110644","0.9330441125369946","0.9173652432374393","0.9087497418587596"
"NR-AhR","Weka RF classification","50","rdkit_desc","20","0.9202738264430886","0.9329272859077135","0.9177586781716363","0.9101355152499166"
"NR-AhR","Weka RF classification","60","rdkit_desc","20","0.9222766452485733","0.9354817450902864","0.9191240457260397","0.912224144929394"
"NR-AhR","Weka RF classification","70","rdkit_desc","20","0.922678177209772","0.9361849515319274","0.9186804601987941","0.9131691198985945"
"NR-AhR","Weka RF classification","30","cdk_desc","20","0.9124232787813206","0.9235564422397164","0.9110144829261952","0.9026989111780499"
"NR-AhR","Weka RF classification","40","cdk_desc","20","0.916147616460591","0.9282856740596946","0.9146069606197771","0.9055502147023013"
"NR-AhR","Weka RF classification","50","cdk_desc","20","0.9186086753158694","0.9308303976898271","0.9160464945441801","0.9089491337136014"
"NR-AhR","Weka RF classification","60","cdk_desc","20","0.9204127250792896","0.9312827264339709","0.9191925613249945","0.9107628874789032"
"NR-AhR","Weka RF classification","70","cdk_desc","20","0.9214883100614412","0.9325401104760519","0.9199313996394818","0.9119934200687896"
"NR-AhR","Weka RF classification","30","rdkit_fp","30","0.8729131084464946","0.882342853205846","0.8618111003746429","0.8745853717589948"
"NR-AhR","Weka RF classification","40","rdkit_fp","30","0.8814166016047885","0.8873529182692957","0.8683419790130383","0.8885549075320314"
"NR-AhR","Weka RF classification","50","rdkit_fp","30","0.883218899239525","0.8909513282289069","0.8734354427661676","0.8852699267235006"
"NR-AhR","Weka RF classification","60","rdkit_fp","30","0.8873496089412892","0.8965889619804106","0.8728131516045382","0.8926467132389184"
"NR-AhR","Weka RF classification","70","rdkit_fp","30","0.889097871000534","0.8996916076542375","0.8768124848135529","0.8907895205338114"
"NR-AhR","Weka RF classification","30","cdk_fp","30","0.8730062589537404","0.8662634650179146","0.8756583148270556","0.8770969970162508"
"NR-AhR","Weka RF classification","40","cdk_fp","30","0.8811193214120326","0.8831898462681304","0.8811021263851406","0.8790659915828274"
"NR-AhR","Weka RF classification","50","cdk_fp","30","0.8895999484003996","0.8954955845525338","0.8879317895426762","0.8853724711059885"
"NR-AhR","Weka RF classification","60","cdk_fp","30","0.8919597965172407","0.8968480774530485","0.8916535286239783","0.8873777834746953"
"NR-AhR","Weka RF classification","70","cdk_fp","30","0.892995052263264","0.902554608960308","0.8921048839614163","0.884325663868068"
"NR-AhR","Weka RF classification","30","rdkit_desc","30","0.9132735490414786","0.9234688222677547","0.9140609548672916","0.9022908699893895"
"NR-AhR","Weka RF classification","40","rdkit_desc","30","0.9155452866146314","0.9255874282564676","0.9139472330999565","0.9071011984874703"
"NR-AhR","Weka RF classification","50","rdkit_desc","30","0.917055632930229","0.9275442742969433","0.9141337085445309","0.9094889159492123"
"NR-AhR","Weka RF classification","60","rdkit_desc","30","0.9205174439066096","0.9322510394574453","0.9180249707572601","0.9112763215051237"
"NR-AhR","Weka RF classification","70","rdkit_desc","30","0.9213193327767254","0.9339375366955434","0.9175969248503961","0.9124235367842368"
"NR-AhR","Weka RF classification","30","cdk_desc","30","0.9095179199204214","0.9194113435661477","0.9080393519695763","0.9011030642255407"
"NR-AhR","Weka RF classification","40","cdk_desc","30","0.9148632376949797","0.9245442263680698","0.9141570179751026","0.9058884687417665"
"NR-AhR","Weka RF classification","50","cdk_desc","30","0.9182017236429479","0.929859089111758","0.9166073335706657","0.90813874824642"
"NR-AhR","Weka RF classification","60","cdk_desc","30","0.9206547511752387","0.9310123776315946","0.9201298829725318","0.9108219929215892"
"NR-AhR","Weka RF classification","70","cdk_desc","30","0.9215426265816514","0.932644954886948","0.9214493380121715","0.9105335868458345"
"NR-AhR","Weka RF classification","30","rdkit_fp","40","0.8821040883198576","0.8940367494637931","0.8655208315674712","0.8867546839283087"
"NR-AhR","Weka RF classification","40","rdkit_fp","40","0.8895886921385197","0.8954603867860124","0.8773782682647037","0.8959274213648427"
"NR-AhR","Weka RF classification","50","rdkit_fp","40","0.892661015452657","0.9016881447931387","0.8818557979736334","0.8944391035911988"
"NR-AhR","Weka RF classification","60","rdkit_fp","40","0.8978367853360448","0.9064525743796178","0.8875256403736257","0.8995321412548909"
"NR-AhR","Weka RF classification","70","rdkit_fp","40","0.8997833357916614","0.9104269264411612","0.889410878864416","0.8995122020694071"
"NR-AhR","Weka RF classification","30","cdk_fp","40","0.8835947043040807","0.8921465545131106","0.8854906564500732","0.8731469019490585"
"NR-AhR","Weka RF classification","40","cdk_fp","40","0.8896050933762867","0.9004517296332335","0.8902945181870133","0.8780690323086129"
"NR-AhR","Weka RF classification","50","cdk_fp","40","0.893348485144209","0.9021906490767684","0.895676877609953","0.8821779287459054"
"NR-AhR","Weka RF classification","60","cdk_fp","40","0.8969026314927309","0.9055509124459303","0.9006283657405108","0.8845286162917512"
"NR-AhR","Weka RF classification","70","cdk_fp","40","0.9002302158189592","0.9151127227194945","0.9007053574960342","0.884872567241349"
"NR-AhR","Weka RF classification","30","rdkit_desc","40","0.9132735490414786","0.9234688222677547","0.9140609548672916","0.9022908699893895"
"NR-AhR","Weka RF classification","40","rdkit_desc","40","0.9155452866146314","0.9255874282564676","0.9139472330999565","0.9071011984874703"
"NR-AhR","Weka RF classification","50","rdkit_desc","40","0.917055632930229","0.9275442742969433","0.9141337085445309","0.9094889159492123"
"NR-AhR","Weka RF classification","60","rdkit_desc","40","0.9205174439066096","0.9322510394574453","0.9180249707572601","0.9112763215051237"
"NR-AhR","Weka RF classification","70","rdkit_desc","40","0.9213193327767254","0.9339375366955434","0.9175969248503961","0.9124235367842368"
"NR-AhR","Weka RF classification","30","cdk_desc","40","0.90951318061525","0.9191859280827251","0.9082505495374843","0.9011030642255407"
"NR-AhR","Weka RF classification","40","cdk_desc","40","0.9149699292604399","0.9247449285260674","0.9142763905134856","0.9058884687417665"
"NR-AhR","Weka RF classification","50","cdk_desc","40","0.9183066423726839","0.9300283379464872","0.9167528409251443","0.90813874824642"
"NR-AhR","Weka RF classification","60","cdk_desc","40","0.9207420990214105","0.9312235642306814","0.920180739911961","0.9108219929215892"
"NR-AhR","Weka RF classification","70","cdk_desc","40","0.9215633942418212","0.932659932659933","0.9214966632196961","0.9105335868458345"
"NR-AhR","Weka RF classification","30","rdkit_fp","50","0.8891635627937505","0.9036622152725359","0.882137630179641","0.8816908429290748"
"NR-AhR","Weka RF classification","40","rdkit_fp","50","0.8954965513955417","0.9064338521633912","0.8898516390061411","0.8902041630170928"
"NR-AhR","Weka RF classification","50","rdkit_fp","50","0.8968340526417192","0.9122339947517866","0.8881359236467792","0.8901322395265923"
"NR-AhR","Weka RF classification","60","rdkit_fp","50","0.900252771430353","0.9133093988521034","0.8913406171772168","0.8961082982617387"
"NR-AhR","Weka RF classification","70","rdkit_fp","50","0.9025512721314247","0.9148820650155107","0.8935472432713516","0.8992245081074117"
"NR-AhR","Weka RF classification","30","cdk_fp","50","0.8907851320482996","0.895202020202015","0.8979442494928417","0.879209126450042"
"NR-AhR","Weka RF classification","40","cdk_fp","50","0.8925926097274046","0.8973782906167229","0.8951979747636528","0.8852015638018381"
"NR-AhR","Weka RF classification","50","cdk_fp","50","0.8955154863503246","0.9029687443833417","0.896330248012348","0.8872474666552841"
"NR-AhR","Weka RF classification","60","cdk_fp","50","0.8976962176754063","0.9050394214984991","0.9001487565478254","0.8879004749798942"
"NR-AhR","Weka RF classification","70","cdk_fp","50","0.9002285628873695","0.9115892016247763","0.9009659993105986","0.888130487726734"
"NR-AhR","Weka RF classification","30","rdkit_desc","50","0.9132735490414786","0.9234688222677547","0.9140609548672916","0.9022908699893895"
"NR-AhR","Weka RF classification","40","rdkit_desc","50","0.9155452866146314","0.9255874282564676","0.9139472330999565","0.9071011984874703"
"NR-AhR","Weka RF classification","50","rdkit_desc","50","0.917055632930229","0.9275442742969433","0.9141337085445309","0.9094889159492123"
"NR-AhR","Weka RF classification","60","rdkit_desc","50","0.9205174439066096","0.9322510394574453","0.9180249707572601","0.9112763215051237"
"NR-AhR","Weka RF classification","70","rdkit_desc","50","0.9213193327767254","0.9339375366955434","0.9175969248503961","0.9124235367842368"
"NR-AhR","Weka RF classification","30","cdk_desc","50","0.90951318061525","0.9191859280827251","0.9082505495374843","0.9011030642255407"
"NR-AhR","Weka RF classification","40","cdk_desc","50","0.9149699292604399","0.9247449285260674","0.9142763905134856","0.9058884687417665"
"NR-AhR","Weka RF classification","50","cdk_desc","50","0.9183066423726839","0.9300283379464872","0.9167528409251443","0.90813874824642"
"NR-AhR","Weka RF classification","60","cdk_desc","50","0.9207420990214105","0.9312235642306814","0.920180739911961","0.9108219929215892"
"NR-AhR","Weka RF classification","70","cdk_desc","50","0.9215633942418212","0.932659932659933","0.9214966632196961","0.9105335868458345"
