"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.9004405520127188","0.9122459769701868","0.9015084733311846","0.8875672057367852"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.9027920963718388","0.9148865583474248","0.9022480179920555","0.8912417127760359"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.9038791094339568","0.916722833315367","0.9020078602225331","0.8929066347639701"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.9051096818154728","0.9165221311573758","0.9021816214322492","0.8966252928567933"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.9051816777107144","0.9167857399618914","0.9015600366170107","0.8971992565532413"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","500","15","0.8900645199755838","0.9018386714116254","0.8910065153390178","0.8773483731761084"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","500","15","0.893354595787856","0.905105323699641","0.8909888566795003","0.8839696069844268"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","500","15","0.8958078145337668","0.9088984447080447","0.8918279961800871","0.8866970027131685"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8979240515079437","0.9085389781564174","0.8968783728039839","0.8883548035634298"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8994129346076201","0.910471110871455","0.8985227471788653","0.8892449457725399"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8938465478419299","0.9016836514612263","0.8914727039504471","0.8883832881141162"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8965646257561571","0.9043654217141714","0.8952389428537502","0.8900895127005499"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.897810037192715","0.9044807505661573","0.8951753716794565","0.8937739893325314"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.89936894025818","0.9073744563068422","0.8965866517486353","0.8941457127190622"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.9014142806725315","0.9114963394322851","0.897773313668651","0.8949731889166587"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.886373840809918","0.8973970128329494","0.8862831770895226","0.8754413325072822"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8906212088258963","0.9042059084318855","0.8891763718659323","0.878481346179871"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.890556003730918","0.9030406376936588","0.8899039086383458","0.8787234648607496"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8928676499482995","0.9060893633847396","0.8911866336661693","0.8813269527939896"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.8932677816151982","0.9085951448051081","0.8902373041301553","0.8809708959103308"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.889514964007425","0.9055172124567243","0.8789569524261657","0.8840707271393852"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8936579931143717","0.9107159974597834","0.8832918001661364","0.8869661817171954"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.8955797872529973","0.9158241669362863","0.8842594947080581","0.8866557001146474"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8967339071887069","0.9142170518950015","0.8872325066255399","0.8887521630455792"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8974436439826299","0.9152729848904321","0.8883513592929817","0.8887065877644755"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8847444107594212","0.8970877218208135","0.8883895019975395","0.8687560084599109"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.8873067353660155","0.8980313215188606","0.8916584730486423","0.8722304115305435"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.8874588098499014","0.8952739135123373","0.889843869195952","0.8772586468414149"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.8892166080646667","0.8983982769569938","0.8905572790407206","0.8786942681962856"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.8912702237484261","0.8969723929688341","0.8949338012171846","0.8819044770592599"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.9055163534448739","0.9118071282217058","0.9057253612255423","0.8990165708873739"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.910742791879828","0.9189290592760416","0.9107072222504758","0.9025920941129667"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.9132404758936019","0.9219350983140997","0.9114940921188677","0.9062922372478385"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.9135068498923342","0.9226016092119297","0.9102537478738899","0.9076651925911834"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","500","20","0.9129405883553466","0.9239930443222286","0.9089893878519765","0.9058393328918347"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","500","20","0.893928526052605","0.9003805852115572","0.8974717037639841","0.8839332891822737"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","500","20","0.8972225663818135","0.9044111039217847","0.8995448303921109","0.887711764831545"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","500","20","0.900665179761627","0.9082064715961352","0.9031768634830051","0.8906122042057406"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","500","20","0.9020604569207693","0.9105684663958699","0.9058666305017277","0.8897462738647102"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","500","20","0.9030303159820211","0.9115644882993654","0.9064641995400204","0.8910622601066774"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","1000","20","0.9026614745036334","0.9229513402111289","0.8972258952234105","0.887807188076361"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","1000","20","0.90384772929491","0.9231340690415529","0.8960166302192006","0.8923924886239761"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","1000","20","0.9058283124821237","0.9259483925854073","0.8969977453423528","0.8945387995186109"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","1000","20","0.9071877665157703","0.9277232586841063","0.8995504811631572","0.8942895597000472"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","1000","20","0.9089672318586599","0.9282939118348367","0.9027601191182538","0.8958476646228893"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","1000","20","0.8933194522313341","0.909707993337875","0.8936440127255372","0.8766063506305899"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","1000","20","0.894375211995742","0.9129364523047774","0.8911944034763569","0.8789947802060916"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","1000","20","0.8961178786684704","0.9146004828833938","0.8951386416676581","0.8786145114543594"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","1000","20","0.8978467217165177","0.9152887115520584","0.8973339662197067","0.8809174873777882"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","1000","20","0.8991712736118336","0.9153471248666974","0.8986371752925821","0.8835295206762209"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","2000","20","0.8957498697673595","0.9116700815988948","0.8862669311227517","0.8893125965804323"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","2000","20","0.8988577475876885","0.9188107348694494","0.8863983115496067","0.8913641963440092"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","2000","20","0.8998597257979356","0.9189013503960053","0.8862330264964696","0.894444800501332"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","2000","20","0.9012316819329779","0.9195154390883957","0.8898572897771835","0.8943223169333546"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","2000","20","0.9023751165261432","0.9203571899301454","0.8902909864550989","0.8964771731931853"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","2000","20","0.8871904018044261","0.8995605521406186","0.8874324026513379","0.8745782506213217"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","2000","20","0.8903259174265412","0.9008576272811174","0.8917156871055061","0.8784044378930004"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","2000","20","0.8925852296821181","0.9029065866254509","0.8933063791554293","0.8815427232654737"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","2000","20","0.8955471202425612","0.9065791365613375","0.8969143964693945","0.8831478276969515"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","2000","20","0.8955110020212912","0.9053988880501197","0.8978538371560857","0.8832802808576681"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","500","30","0.9051750073566888","0.914598985106102","0.8995808540575352","0.9013451829064292"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","500","30","0.9068314578962618","0.9170568376529216","0.9023871682290998","0.9010503678067644"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","500","30","0.9075421489456437","0.9172575398109132","0.9054251640136303","0.8999437430123874"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","500","30","0.9095119552232633","0.9209795163976631","0.906056637678214","0.901499711593913"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","500","30","0.9115728080021223","0.9232164467929549","0.9083480253380567","0.9031539518753554"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","500","30","0.897184812981204","0.9043167439519706","0.9005513739849841","0.8866863210066572"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","500","30","0.9027480438077541","0.9106223863786019","0.9029925070775964","0.8946292379670637"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","500","30","0.9055944259735084","0.916885342152255","0.9054880288415373","0.8944099069267326"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","500","30","0.9069867582190945","0.9177196041075177","0.906700119231278","0.8965405513184878"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","500","30","0.9079206620792016","0.9174133086499712","0.9085768815654964","0.8977717960221372"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","1000","30","0.90233256688174","0.9169624776831176","0.9010323958704323","0.8890028270916701"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","1000","30","0.9060446267477085","0.9219425872006025","0.902969903993412","0.8932213890491106"
"NR-AhR","Weka RF on folded fp classification","50","rdkit_fp","1000","30","0.9096958451527123","0.9247584085217646","0.9079658919459537","0.8963632349904185"
"NR-AhR","Weka RF on folded fp classification","60","rdkit_fp","1000","30","0.9113354173854294","0.9266246390356738","0.909316426226361","0.8980651868942533"
"NR-AhR","Weka RF on folded fp classification","70","rdkit_fp","1000","30","0.913244688320607","0.9292337670896355","0.9118041781801067","0.8986961196920789"
"NR-AhR","Weka RF on folded fp classification","30","cdk_fp","1000","30","0.9041655947458297","0.9158391447092576","0.9069925466329768","0.8896650928952544"
"NR-AhR","Weka RF on folded fp classification","40","cdk_fp","1000","30","0.9066959506742812","0.9177592952059177","0.9081700260500437","0.8941585307668823"
"NR-AhR","Weka RF on folded fp classification","50","cdk_fp","1000","30","0.9072669909578739","0.9161431935008448","0.9090310622884497","0.8966267170843274"
"NR-AhR","Weka RF on folded fp classification","60","cdk_fp","1000","30","0.908678983074775","0.9187822771007825","0.907856408256909","0.8993982638666336"
"NR-AhR","Weka RF on folded fp classification","70","cdk_fp","1000","30","0.9106155194649178","0.9201167966737231","0.9113245689874402","0.9004051927335901"
"NR-AhR","Weka RF on folded fp classification","30","rdkit_fp","2000","30","0.8991611579389015","0.9198749056400245","0.8891170387699495","0.8884915294067306"
"NR-AhR","Weka RF on folded fp classification","40","rdkit_fp","2000","30","0.9047954104516164","0.9282280096336999","0.8947840557844154","0.8913741659367342"
