"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.5936396233420842","0.5944989750867234","0.6167569555912247","0.5696629393483047"
"NR-Aromatase","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8305815274161672","0.783816225165569","0.8542669876939502","0.8536613693889822"
"NR-Aromatase","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8104234173533355","0.7658684169031837","0.8351797179545776","0.8302221172022449"
"NR-Aromatase","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.7891606684869931","0.7508711762850866","0.8132141901704331","0.8033966390054593"
"NR-Aromatase","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.5958255537379928","0.6207742037212244","0.6037438851945265","0.5629585722982275"
"NR-Aromatase","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8255838491797537","0.7767167297382522","0.8550122296109626","0.8450225881900462"
"NR-Aromatase","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8053047711603796","0.7564352727846101","0.8342171138117965","0.8252619268847321"
"NR-Aromatase","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7857915985611199","0.7400543992431375","0.8150271344492717","0.8022932619909503"
"NR-Aromatase","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.5936135446297112","0.5947512614317251","0.6163102881602073","0.569779084297201"
"NR-Aromatase","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.7140497070038639","0.7025800220750555","0.7107935870977649","0.7287755118387714"
"NR-Aromatase","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.6294474541815157","0.6091808577735681","0.6353760605365768","0.6437854442344021"
"NR-Aromatase","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.5067535823751591","0.466461684011354","0.5259162653825573","0.5278827977315662"
"NR-Aromatase","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.5955073931823488","0.6205849889624732","0.6029986432775349","0.5629385473070385"
"NR-Aromatase","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.6923912429184655","0.6616800693787388","0.698272567453948","0.71722109192271"
"NR-Aromatase","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.6098048819123669","0.5728831598864708","0.6245127264388908","0.6320187594117392"
"NR-Aromatase","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.48621874951833816","0.44217912330495296","0.5105337078651676","0.505943417384894"
