"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8389284966247343","0.8237503941974049","0.857434265841167","0.8356008298356312"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8189290835271216","0.8184129612109703","0.847569364824561","0.7908049245458337"
"NR-Aromatase","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8121891763625996","0.8128744875433714","0.8361662080562503","0.7875268334881766"
"NR-Aromatase","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8467434040242244","0.8280589719331398","0.8700102231903911","0.8421610169491425"
"NR-Aromatase","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8257201651450042","0.8209870703248077","0.844626614690808","0.8115468104193968"
"NR-Aromatase","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8167959636558612","0.8148533585619655","0.8334575403195017","0.802076992086116"
"NR-Aromatase","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8414898091001367","0.8296475875118182","0.8608690667278198","0.8339527730607719"
"NR-Aromatase","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8330992813417812","0.8236557868180427","0.8516777497516012","0.8239643074556997"
"NR-Aromatase","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8135793693138339","0.8114080731630431","0.8371694183291271","0.7921606164493313"
"NR-Aromatase","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8442047374384871","0.835938978240309","0.8623499961782799","0.8343252378968723"
"NR-Aromatase","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.8307263158872308","0.8246255124566289","0.843064472980214","0.824488962224849"
"NR-Aromatase","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.806302398536577","0.801568905707977","0.8194985859512279","0.7978397039505261"
"NR-Aromatase","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8427559341122359","0.8381070640176486","0.86221145761675","0.8279492807023094"
"NR-Aromatase","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8251169535665929","0.8167888678650296","0.8373891691508054","0.8211728236839435"
"NR-Aromatase","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8035127163687784","0.7927940712708927","0.814105136436593","0.8036389413988492"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8298817788063957","0.8312598549353379","0.8491936100282812","0.8091918714555677"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.8113105312325807","0.8222563859981006","0.825345868684558","0.7863293390150833"
"NR-Aromatase","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.8051464190897094","0.811145931882679","0.8057307192539922","0.798562606132457"
"NR-Aromatase","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8374940783421398","0.8443038473667615","0.8550576129328047","0.8131207747268534"
"NR-Aromatase","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.8201535328528027","0.8204351939451161","0.8283984942291477","0.8116269103841443"
"NR-Aromatase","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.813845534669286","0.8154131188899456","0.8263013070396708","0.7998221780782417"
"NR-Aromatase","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8352063275215107","0.8304911699779244","0.8496856607811596","0.825442151805448"
"NR-Aromatase","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.8300861235037552","0.8389821822768828","0.8345849575785407","0.816691230655842"
"NR-Aromatase","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.8074777483828554","0.8103043204036587","0.825154781013524","0.7869741437313836"
"NR-Aromatase","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.829340882704078","0.8339877010406807","0.8311119391576877","0.8229230079138656"
"NR-Aromatase","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.8136652891095801","0.8103792179123339","0.8101687304135013","0.8204479190029051"
"NR-Aromatase","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.7950074007245793","0.7904525386313356","0.804655851104492","0.7899138124379105"
"NR-Aromatase","Smile SVC Poly classification","2","1.0","cdk_fp","MaxMin","0.0","0.8121108966328183","0.8054359823399576","0.8116783230145957","0.8192183845439014"
"NR-Aromatase","Smile SVC Poly classification","3","1.0","cdk_fp","MaxMin","0.0","0.7942923085794366","0.7904328287606489","0.7833543529771434","0.8090897440005175"
"NR-Aromatase","Smile SVC Poly classification","4","1.0","cdk_fp","MaxMin","0.0","0.7839865757263998","0.7733759066540447","0.7931475961170973","0.7854362244080577"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","rdkit_desc","MaxMin","0.0","0.7350663675445093","0.7446507410911344","0.7802873958572192","0.6802609656851742"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","rdkit_desc","MaxMin","0.0","0.6952575254026446","0.728691658782721","0.6773245815179987","0.6797563359072141"
"NR-Aromatase","Smile SVC Poly classification","4","1.0E-4","rdkit_desc","MaxMin","0.0","0.6986785566543839","0.7369540365815177","0.7098333715508722","0.6492482618307618"
"NR-Aromatase","Smile SVC Poly classification","2","0.001","rdkit_desc","MaxMin","0.0","0.7652429283896414","0.7754828918322308","0.7816441183214812","0.7386017750152118"
"NR-Aromatase","Smile SVC Poly classification","3","0.001","rdkit_desc","MaxMin","0.0","0.6840473104912715","0.7287251655629173","0.6648608881754872","0.6585558777354105"
"NR-Aromatase","Smile SVC Poly classification","4","0.001","rdkit_desc","MaxMin","0.0","0.7139058970057492","0.7359409492273765","0.7086987885041667","0.6970779532857043"
"NR-Aromatase","Smile SVC Poly classification","2","0.01","rdkit_desc","MaxMin","0.0","0.7407493191450351","0.748982970671705","0.7607677902621739","0.7124971965012262"
"NR-Aromatase","Smile SVC Poly classification","3","0.01","rdkit_desc","MaxMin","0.0","0.7281022677576187","0.7359843109429179","0.7269882672170005","0.7213342251129379"
"NR-Aromatase","Smile SVC Poly classification","4","0.01","rdkit_desc","MaxMin","0.0","0.7407666628427009","0.7353319142226384","0.7611021936864596","0.7258658806190046"
"NR-Aromatase","Smile SVC Poly classification","2","0.1","rdkit_desc","MaxMin","0.0","0.7449446971479711","0.7600914538000613","0.7544236795841945","0.720318958059657"
"NR-Aromatase","Smile SVC Poly classification","3","0.1","rdkit_desc","MaxMin","0.0","0.7556386576854607","0.762868574582151","0.7574476419781345","0.7465997564960966"
"NR-Aromatase","Smile SVC Poly classification","4","0.1","rdkit_desc","MaxMin","0.0","0.7743652171142549","0.7599948754336223","0.7864595276312879","0.7766412482778543"
"NR-Aromatase","Smile SVC Poly classification","2","1.0","rdkit_desc","MaxMin","0.0","0.7634728157680982","0.7587373856827534","0.7731263853856073","0.7585546762359342"
"NR-Aromatase","Smile SVC Poly classification","3","1.0","rdkit_desc","MaxMin","0.0","0.7727849865588335","0.7688012456638225","0.7805740273637481","0.7689796866489299"
"NR-Aromatase","Smile SVC Poly classification","4","1.0","rdkit_desc","MaxMin","0.0","0.7536597788105303","0.7315614159571129","0.7326635710463948","0.7967543494280833"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","cdk_desc","MaxMin","0.0","0.7885893415606601","0.8194832071901533","0.7727394328517981","0.7735453846400286"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","cdk_desc","MaxMin","0.0","0.7683120536681641","0.7975185272784586","0.7718556523733116","0.7355619813527222"
"NR-Aromatase","Smile SVC Poly classification","4","1.0E-4","cdk_desc","MaxMin","0.0","0.7542324924649456","0.8010150583412303","0.7483662004127423","0.713316218640864"
"NR-Aromatase","Smile SVC Poly classification","2","0.001","cdk_desc","MaxMin","0.0","0.7803360727735313","0.7936829864396078","0.7864356416724053","0.760889590208581"
"NR-Aromatase","Smile SVC Poly classification","3","0.001","cdk_desc","MaxMin","0.0","0.7589935968451914","0.8006721065909809","0.7542755866391545","0.722033097305439"
"NR-Aromatase","Smile SVC Poly classification","4","0.001","cdk_desc","MaxMin","0.0","0.779334626820631","0.8140314569536427","0.769775185355041","0.7541972381532094"
"NR-Aromatase","Smile SVC Poly classification","2","0.01","cdk_desc","MaxMin","0.0","0.7838039194525975","0.8116997792494414","0.7811472903768155","0.7585646887315359"
"NR-Aromatase","Smile SVC Poly classification","3","0.01","cdk_desc","MaxMin","0.0","0.7845392362255931","0.8115874329864383","0.7845008790032859","0.7575293966870551"
"NR-Aromatase","Smile SVC Poly classification","4","0.01","cdk_desc","MaxMin","0.0","0.7904058634837853","0.7723253705455638","0.8000793013834737","0.7988129185223185"
"NR-Aromatase","Smile SVC Poly classification","2","0.1","cdk_desc","MaxMin","0.0","0.7798569219160356","0.8115085935036227","0.7759114881907807","0.7521506840537034"
"NR-Aromatase","Smile SVC Poly classification","3","0.1","cdk_desc","MaxMin","0.0","0.7837180656080983","0.7731866918952981","0.7843050141404974","0.7936624907884993"
"NR-Aromatase","Smile SVC Poly classification","4","0.1","cdk_desc","MaxMin","0.0","0.7647981937590932","0.7341236991485306","0.7666604563173511","0.7936104258113978"
"NR-Aromatase","Smile SVC Poly classification","2","1.0","cdk_desc","MaxMin","0.0","0.7828953067909286","0.7675122201198352","0.7851362455094416","0.7960374547435085"
"NR-Aromatase","Smile SVC Poly classification","3","1.0","cdk_desc","MaxMin","0.0","0.776915539792349","0.7302408546199921","0.7941794695406271","0.8063262952164275"
"NR-Aromatase","Smile SVC Poly classification","4","1.0","cdk_desc","MaxMin","0.0","0.7649785798539749","0.7192348628192968","0.7877254834518089","0.7879753932908189"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","Standard","0.0","0.789854153082152","0.762752286345001","0.7976763739203427","0.8091337989811125"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","Standard","0.0","0.7556700443145145","0.7030471460107255","0.7691350416571128","0.7948279452757052"
"NR-Aromatase","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","Standard","0.0","0.7506867344825036","0.7017187007253296","0.7643005235802157","0.7860409791419649"
"NR-Aromatase","Smile SVC Poly classification","2","0.001","rdkit_fp","Standard","0.0","0.7642752403084634","0.7242983286029675","0.7678881946036832","0.8006391977187395"
"NR-Aromatase","Smile SVC Poly classification","3","0.001","rdkit_fp","Standard","0.0","0.7531130463686377","0.7033270261747102","0.7679646296720941","0.7880474832591089"
"NR-Aromatase","Smile SVC Poly classification","4","0.001","rdkit_fp","Standard","0.0","0.7485270711899542","0.7024479659413476","0.7712178972712739","0.7719153503572416"
"NR-Aromatase","Smile SVC Poly classification","2","0.01","rdkit_fp","Standard","0.0","0.7529685012811335","0.7233640807316295","0.7700140449438148","0.7655273781679562"
"NR-Aromatase","Smile SVC Poly classification","3","0.01","rdkit_fp","Standard","0.0","0.7546660304225861","0.7061218858404315","0.7674056982343489","0.7904705071929777"
"NR-Aromatase","Smile SVC Poly classification","4","0.01","rdkit_fp","Standard","0.0","0.7454037167100558","0.7008908861557892","0.7520947985935885","0.7832254653807896"
"NR-Aromatase","Smile SVC Poly classification","2","0.1","rdkit_fp","Standard","0.0","0.7687326739164648","0.7236991485335849","0.7970386188183209","0.7854602543974887"
"NR-Aromatase","Smile SVC Poly classification","3","0.1","rdkit_fp","Standard","0.0","0.7540946530237003","0.7037645853043233","0.7675442367958388","0.7909751369709384"
"NR-Aromatase","Smile SVC Poly classification","4","0.1","rdkit_fp","Standard","0.0","0.7462013001361179","0.6980290129296816","0.7779871780172705","0.7625877094614018"
"NR-Aromatase","Smile SVC Poly classification","2","1.0","rdkit_fp","Standard","0.0","0.7622375710888057","0.7218543046357574","0.7625090766643713","0.8023493319662882"
"NR-Aromatase","Smile SVC Poly classification","3","1.0","rdkit_fp","Standard","0.0","0.7572364893953814","0.7086920529801344","0.7689343996025371","0.7940830156034726"
"NR-Aromatase","Smile SVC Poly classification","4","1.0","rdkit_fp","Standard","0.0","0.7434029933714257","0.682485808893097","0.7871259458839672","0.760597225337213"
"NR-Aromatase","Smile SVC Poly classification","2","1.0E-4","cdk_fp","Standard","0.0","0.7760523485980548","0.7544268369599454","0.7666389589543712","0.8070912498798478"
"NR-Aromatase","Smile SVC Poly classification","3","1.0E-4","cdk_fp","Standard","0.0","0.7266805988279401","0.7116091138442111","0.7264747191011164","0.7419579635384927"
