"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6926912018627176","0.6780392620624455","0.7489537950011498","0.6510805485245578"
"NR-Aromatase","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.7111377958255126","0.6932414853358577","0.7686358251165568","0.6715360770241232"
"NR-Aromatase","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.7358016119634057","0.713749605802598","0.7924501261178754","0.7012051039697438"
"NR-Aromatase","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7859288608938982","0.7879809208451654","0.7987273561109922","0.7710783057255373"
"NR-Aromatase","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8012050919009246","0.7810036266162035","0.8141887372926633","0.8084229117939069"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.7268971490541926","0.7295687480290104","0.7218886149965658","0.7292340841370014"
"NR-Aromatase","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.779991717278909","0.7621944970041028","0.7774999044561676","0.8002807503764566"
"NR-Aromatase","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7505823038416718","0.7321073793755913","0.7724790759000242","0.7471604562493998"
"NR-Aromatase","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7018793742492613","0.6854718543046303","0.7269691584498914","0.6931971099932621"
"NR-Aromatase","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.6977696249271669","0.6814116209397673","0.7199777382863206","0.6919195155554124"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.6458029098681393","0.6635249132765675","0.65774287242987","0.6161409438979802"
"NR-Aromatase","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6938210982604796","0.6969883317565481","0.7027201329970221","0.6817548300278685"
"NR-Aromatase","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.7056997686212368","0.6972406181015391","0.7090355805243506","0.7108231072378207"
"NR-Aromatase","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7950437912867546","0.7578011668243442","0.8314129022395469","0.795917304796373"
"NR-Aromatase","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.7969849627690028","0.7796475875118231","0.8110405679125536","0.8002667328826314"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.7237078077265551","0.6741347366761259","0.7369081059390029","0.7600805805645363"
"NR-Aromatase","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7709076939540059","0.7511352885525059","0.7798001222961102","0.781787671013402"
"NR-Aromatase","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7442463745131785","0.7226505834121734","0.7570487464648745","0.7530397936624873"
"NR-Aromatase","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7031626500007128","0.6892009618416871","0.716380512879303","0.7039064752811482"
"NR-Aromatase","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.6960783406799459","0.6871471933144094","0.7070817090881304","0.694006119637298"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.65025786793502","0.6382115263323884","0.5","0.8125620774726716"
"NR-Aromatase","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.5684977136549986","0.7054931409649958","0.5","0.5"
"NR-Aromatase","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.6238633076160051","0.5936356827499224","0.5024984712986329","0.7754557687994595"
"NR-Aromatase","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.7459465521005179","0.7469134342478764","0.748547733700219","0.7423784883534584"
"NR-Aromatase","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.788804136227673","0.8023632134973215","0.7993388366582638","0.7647103585274335"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.6012286765767967","0.4382627719962161","0.7889197813957108","0.576503476338463"
"NR-Aromatase","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.7917924831972307","0.7476919741406451","0.8308109760758244","0.7968744993752227"
"NR-Aromatase","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.8007563093164686","0.8192545726900091","0.8040061530230087","0.779008202236388"
"NR-Aromatase","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.8619834287436069","0.8513225323241842","0.8812867843766716","0.8533409695299651"
"NR-Aromatase","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8262278567355912","0.8291114790286923","0.8331852403883053","0.8163868507897758"
"NR-Aromatase","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.6611382900530275","0.7441402554399245","0.5","0.7392746147191578"
"NR-Aromatase","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.6655329655678153","0.7213714128035411","0.5","0.7752274838999048"
"NR-Aromatase","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.722882122062861","0.6615204194260462","0.7260471604372091","0.7810787863253276"
