"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8583812753620412","0.8493653421633536","0.8619964839868589","0.8637819999359112"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8493947498716601","0.854340113528856","0.8608165176182846","0.8330276184678393"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8552592034144896","0.8499329864396094","0.8614423297408926","0.854402294062967"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8549280960943034","0.8437637969094922","0.8681160666513777","0.8529044247220402"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8638399174867203","0.8471814884894288","0.8711925781548457","0.8731456858158865"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8604748269598633","0.8574542730999686","0.864523618436131","0.8594465893434906"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8628170417289235","0.8538710186061252","0.8837422609493143","0.8508378456313308"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8586506368447901","0.8472898927783141","0.8669886493923407","0.8616733683637157"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8599600111968618","0.8456244087038882","0.8622353435756338","0.8720202813110638"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8676556179840577","0.8603003784295122","0.8722722234961376","0.8703942520265228"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8543169775840052","0.8508534374014478","0.8592591530994456","0.852838342251122"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8608776870163583","0.8449897508672353","0.8752770771229835","0.8623662330588558"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8611081672968872","0.85379612109745","0.8718900481540899","0.8576383326391217"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.8653649551286543","0.850709555345318","0.8760844225330503","0.8693008875075946"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.8702506926454422","0.8647035635446204","0.871837499044557","0.8742110153471493"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.859677550043534","0.8615618101545249","0.8651972024764965","0.8522736374995805"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8572711297629888","0.856516083254493","0.8643373079568801","0.8509599980775934"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8589438745296177","0.853228476821196","0.8755828173966171","0.8480203293710401"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8627889432556808","0.8493771680857753","0.8838664679354831","0.8551231937457837"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8645705414069064","0.8486636707663201","0.8738486967820798","0.8711992566723191"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.846630149449826","0.8621609902239082","0.8366678131927121","0.8410616449328575"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8505068525104282","0.8506208609271605","0.8515917602996393","0.849307936304485"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8487030367783187","0.8442959634184778","0.8633627608346708","0.8384503860818079"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8513455943979983","0.8488844213181963","0.8574103798822822","0.8477419819935164"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8539712572790633","0.8348509933774755","0.8728407093174415","0.8542220691422727"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8531214528684113","0.8576395458845741","0.8536363983795815","0.8480884143410784"
"NR-Aromatase","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8511878717042581","0.8465074109113807","0.8565027134449438","0.8505534907564498"
"NR-Aromatase","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8571995990555156","0.8623304951119479","0.8497716502331404","0.8594966518214586"
"NR-Aromatase","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.860277264101731","0.857052191737622","0.8658469005579674","0.8579327000096033"
"NR-Aromatase","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.8598961484528931","0.8485138757489655","0.8652258656271631","0.8659487039825507"
"NR-Aromatase","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8596717461281286","0.8560193945127709","0.8687657647328589","0.8542300791387557"
