"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Weka RF classification","30","rdkit_fp","15","0.7816865534405338","0.7542317092399858","0.7696270924099954","0.8212008586716201"
"NR-Aromatase","Weka RF classification","40","rdkit_fp","15","0.7839284929750622","0.7662212235887732","0.7706111939157647","0.8149530614206487"
"NR-Aromatase","Weka RF classification","50","rdkit_fp","15","0.8070196027641577","0.8060095395774185","0.7808702132538422","0.8341790554612126"
"NR-Aromatase","Weka RF classification","60","rdkit_fp","15","0.8118636414074126","0.8133554083885198","0.7896244171826059","0.8326110986511123"
"NR-Aromatase","Weka RF classification","70","rdkit_fp","15","0.8153286835848172","0.8208944339325154","0.794583142245669","0.8305084745762674"
"NR-Aromatase","Weka RF classification","30","cdk_fp","15","0.7710475563578071","0.8014999211605179","0.7231306848582121","0.788512063054691"
"NR-Aromatase","Weka RF classification","40","cdk_fp","15","0.7832088032207704","0.8105487228003777","0.7358332377894963","0.8032444490724371"
"NR-Aromatase","Weka RF classification","50","cdk_fp","15","0.8207490955175425","0.8500729265215974","0.8071256592524637","0.8050487007785664"
"NR-Aromatase","Weka RF classification","60","cdk_fp","15","0.8260826534024636","0.8430640964995237","0.8187509554383545","0.8164329082695122"
"NR-Aromatase","Weka RF classification","70","cdk_fp","15","0.836260629578666","0.848005361084827","0.8322465222043834","0.8285300054467878"
"NR-Aromatase","Weka RF classification","30","rdkit_desc","15","0.8469756526664339","0.8329036581520028","0.8591779408392572","0.8488453590080416"
"NR-Aromatase","Weka RF classification","40","rdkit_desc","15","0.8540226905875304","0.8495821507410912","0.8541547236872281","0.8583311973342724"
"NR-Aromatase","Weka RF classification","50","rdkit_desc","15","0.8586625554058016","0.849800930305897","0.8630355231980427","0.8631512127134652"
"NR-Aromatase","Weka RF classification","60","rdkit_desc","15","0.8624049599604211","0.8572827972248509","0.8685030191852021","0.8614290634712103"
"NR-Aromatase","Weka RF classification","70","rdkit_desc","15","0.8638863706578027","0.8612582781456959","0.8700030574027355","0.8603977764249766"
"NR-Aromatase","Weka RF classification","30","cdk_desc","15","0.8614895585699142","0.8525070955534516","0.8669480432622487","0.8650135368940423"
"NR-Aromatase","Weka RF classification","40","cdk_desc","15","0.863063219663151","0.8526371807000941","0.8752555797599951","0.8612968985293635"
"NR-Aromatase","Weka RF classification","50","cdk_desc","15","0.8672702136928686","0.8580002365184497","0.8808233967744399","0.8629870077857158"
"NR-Aromatase","Weka RF classification","60","cdk_desc","15","0.8701464841630161","0.8649775307473979","0.8787883130780401","0.8666736086636105"
"NR-Aromatase","Weka RF classification","70","cdk_desc","15","0.8712320053397313","0.8663749605802569","0.880180864480623","0.8671401909583141"
"NR-Aromatase","Weka RF classification","30","rdkit_fp","20","0.7828816174576181","0.7680562125512481","0.7735013949399966","0.8070872448816093"
"NR-Aromatase","Weka RF classification","40","rdkit_fp","20","0.7973374507311939","0.7803729107537076","0.7925552243369313","0.819084217102943"
