"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.8383781949985397","0.842898533585623","0.8478512191393326","0.8243848322706637"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.843050574109399","0.8499546672973801","0.8416217610639671","0.8375752939668499"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.845589164927416","0.8483108640807316","0.849389474891079","0.8390671558104373"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.848103928316394","0.843336092715234","0.854663494611322","0.846312197622626"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8477868577802083","0.8434622358877393","0.8535360773522924","0.8463622601005932"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","500","15","0.8302144918004978","0.8334318826868469","0.83053389895284","0.8266776937618063"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","500","15","0.8419864340632298","0.8371866130558134","0.8478512191393294","0.8409214699945466"
"NR-Aromatase","Weka RF on folded fp classification","50","cdk_fp","500","15","0.8507145831910802","0.8435647272153841","0.850239815027131","0.8583392073307256"
"NR-Aromatase","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8532005033275781","0.847258356985173","0.8521936864633515","0.8601494665342099"
"NR-Aromatase","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8526979897486431","0.8468602175969617","0.8484770312619422","0.862756720387025"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8503773887995153","0.8478260012614359","0.8459021248949096","0.8574040402422004"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8580060236969304","0.8606216493219789","0.8443638691431635","0.8690325526256487"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8604388229796912","0.8593030589719306","0.8552176488573008","0.866795761109842"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8598008501993822","0.8618889940081906","0.8561205381028888","0.8613930184870668"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8632283293110924","0.8651766004414873","0.862612741725891","0.8618956457658989"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.8355681284989878","0.8313820561337082","0.8420684284949802","0.8332539008682751"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8407171269431885","0.8311691895301107","0.8454029083543518","0.8455792829451028"
"NR-Aromatase","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.8411279328938002","0.8318550930305845","0.8549286287548598","0.8366000768959562"
"NR-Aromatase","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8401697335279037","0.8275642541784902","0.8538537606053501","0.8390911857998707"
"NR-Aromatase","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.8434665782603191","0.8314786345001568","0.8553323014598899","0.8435887988209108"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.8386618187202105","0.8283329391359182","0.8437953833218615","0.8438571337028519"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8408116736267234","0.8272548092084517","0.8544389665978721","0.8407412450738464"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.8440604707076255","0.825739120151368","0.8600139493999907","0.8464283425715179"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8483382982707425","0.8279367707347858","0.8562017503630652","0.8608763737143764"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8509839950616648","0.8299846263008439","0.8603387984407319","0.8626285604434181"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8340107660432693","0.8569063386944186","0.8441082893831695","0.80101767005222"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.841416629196264","0.8583727530747415","0.8480805243445733","0.817796610169477"
"NR-Aromatase","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.8459443396082488","0.861285871964678","0.8519500496828022","0.8245970971772658"
"NR-Aromatase","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.8493816495347714","0.8651273257647343","0.8484961400290453","0.8345214828105341"
"NR-Aromatase","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.8483990321670186","0.8595021286660272","0.8470343193457297","0.8386606484892989"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.8412156939035144","0.840629927467684","0.8552821409462733","0.8277350132965858"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.8413010754596394","0.8456835383159963","0.8534023159825651","0.8248173720803568"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.8500681691567924","0.8535398927783118","0.8590632882366441","0.8376013264554213"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.8522884979300119","0.8523218227688546","0.8612512420698631","0.8432924289513178"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","500","20","0.8531066301941684","0.8544268369599544","0.859101505770851","0.8457915478517003"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","500","20","0.8226706027812497","0.8158132292652167","0.8119960062676711","0.8402025728108613"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","500","20","0.8391092928742854","0.8366643014821781","0.8263634105327543","0.854300166607924"
"NR-Aromatase","Weka RF on folded fp classification","50","cdk_fp","500","20","0.8381478396756806","0.8351032797224732","0.8263777421080825","0.8529624971964859"
"NR-Aromatase","Weka RF on folded fp classification","60","cdk_fp","500","20","0.8402293279273519","0.84238410596026","0.8300752885423898","0.848228589279406"
"NR-Aromatase","Weka RF on folded fp classification","70","cdk_fp","500","20","0.8411657727816385","0.8445994954273067","0.8347903768248881","0.8441074460927208"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","1000","20","0.834507748472963","0.8376734468621878","0.8251165634793265","0.8407332350773747"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","1000","20","0.8428355340422403","0.8429261274046024","0.8355356187418741","0.8500448559802443"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","1000","20","0.845966850303172","0.8467596972563898","0.840078728120465","0.8510621255326609"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","1000","20","0.8481220170373142","0.8438091296121063","0.8441441183214821","0.8564128031783541"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","1000","20","0.8533205681669989","0.8463457899716118","0.8535265229687291","0.860089391560656"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","1000","20","0.8312083554062143","0.8333707820876752","0.8440676832530715","0.8161866008778959"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","1000","20","0.8492119430606128","0.8436376537369797","0.8629805854926159","0.8410175899522427"
"NR-Aromatase","Weka RF on folded fp classification","50","cdk_fp","1000","20","0.8509310212849556","0.8473785871964579","0.8638882519299718","0.8415262247284367"
"NR-Aromatase","Weka RF on folded fp classification","60","cdk_fp","1000","20","0.8519852703017579","0.8470829391359054","0.8688565313765829","0.8400163403927853"
"NR-Aromatase","Weka RF on folded fp classification","70","cdk_fp","1000","20","0.8511286963482064","0.8498659728792082","0.8624264312466445","0.8410936849187667"
"NR-Aromatase","Weka RF on folded fp classification","30","rdkit_fp","2000","20","0.8323796095917347","0.8347879217912338","0.8363620729190642","0.8259888340649061"
"NR-Aromatase","Weka RF on folded fp classification","40","rdkit_fp","2000","20","0.8353657285532131","0.8344528539892765","0.83778567606818","0.8338586556021825"
"NR-Aromatase","Weka RF on folded fp classification","50","rdkit_fp","2000","20","0.8457548126419024","0.8427428256070646","0.8490885118092183","0.8454331005094242"
"NR-Aromatase","Weka RF on folded fp classification","60","rdkit_fp","2000","20","0.8563358944732178","0.8493318353831549","0.8672800580906476","0.8523957899458509"
"NR-Aromatase","Weka RF on folded fp classification","70","rdkit_fp","2000","20","0.8550183461447368","0.851777830337432","0.8624073224795457","0.8508698856172328"
"NR-Aromatase","Weka RF on folded fp classification","30","cdk_fp","2000","20","0.8270615685568544","0.8179123304951118","0.8476004165711205","0.8156719586043308"
"NR-Aromatase","Weka RF on folded fp classification","40","cdk_fp","2000","20","0.8404335316913957","0.8373186691895197","0.842667966062824","0.8413139598218433"
