"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER-LBD","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8174687914207039","0.810702345088321","0.8325081064688399","0.8091959227049511"
"NR-ER-LBD","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8142967173962874","0.7965243074015063","0.8281793104252733","0.8181865343620828"
"NR-ER-LBD","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8107265267924886","0.7897442258845782","0.8173726292952754","0.8250627251976123"
"NR-ER-LBD","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8275226516139083","0.82390217969166","0.8383255184640966","0.8203402566859682"
"NR-ER-LBD","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8186936837357653","0.8017047669679271","0.8208747404763641","0.8335015437630046"
"NR-ER-LBD","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8187106771795536","0.7854592710733181","0.8277608650010571","0.8429118954642856"
"NR-ER-LBD","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8257545280837001","0.8172626853328643","0.8331554575780915","0.8268454413401444"
"NR-ER-LBD","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8261583837838491","0.804913462106452","0.8306812349826195","0.8428804542624756"
"NR-ER-LBD","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8213651474669966","0.8017496603461575","0.8266527865257761","0.8356929955290562"
"NR-ER-LBD","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8258419865565898","0.8223911630929236","0.8272549396972065","0.8278798568796392"
"NR-ER-LBD","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.8255166371225294","0.8097713981924524","0.8300951197891167","0.8366833933860193"
"NR-ER-LBD","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8237907350401005","0.8097454072892688","0.830156355704858","0.8314704421261744"
"NR-ER-LBD","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8244441152417329","0.8244184535412649","0.8269166841626502","0.8219972080212838"
