"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER-LBD","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.8467890684567397","0.8244775237757771","0.86602456435022","0.8498651172442224"
"NR-ER-LBD","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.8458990913290476","0.8222612085769955","0.8659954043903301","0.8494406610198172"
"NR-ER-LBD","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.8463975012253502","0.8257487152223975","0.8671268108335133","0.8463169776201398"
"NR-ER-LBD","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.8462993816814287","0.8232275976135583","0.8704131383115317","0.8452574091191961"
"NR-ER-LBD","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8465395615339634","0.8271215074723812","0.8717515804698351","0.8407455966596736"
"NR-ER-LBD","Weka RF on folded fp classification","30","cdk_fp","500","15","0.842122779219363","0.8218193632228771","0.865359717265039","0.8391892571701727"
"NR-ER-LBD","Weka RF on folded fp classification","40","cdk_fp","500","15","0.842549150893008","0.8198913107685036","0.8710444514428535","0.8367116904676668"
"NR-ER-LBD","Weka RF on folded fp classification","50","cdk_fp","500","15","0.8431130112481898","0.8163825388386784","0.8740187673501916","0.8389377275556996"
"NR-ER-LBD","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8454798763574924","0.8249926162206966","0.8692802738703594","0.8421667389814209"
"NR-ER-LBD","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8448929600844725","0.826034615157426","0.8657606667133382","0.8428835983826533"
"NR-ER-LBD","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8349781034431228","0.8204383011400551","0.8423481349289754","0.8421478742603378"
"NR-ER-LBD","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8373491943016029","0.8239269891901467","0.8512375486971495","0.8368830450175124"
"NR-ER-LBD","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8363788316811771","0.8208671510425875","0.8517274360230562","0.8365419079778875"
"NR-ER-LBD","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8362071382156807","0.8200708842814088","0.8504239858165971","0.8381265445490363"
"NR-ER-LBD","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8364840046772904","0.8193809439423505","0.8495754309842163","0.8404956391053046"
"NR-ER-LBD","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.832977495909907","0.8379833421938702","0.8379945529194973","0.8229545926163534"
"NR-ER-LBD","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8359979076921578","0.8323882095812001","0.8498699465789618","0.8257355669163114"
"NR-ER-LBD","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.8390771928609203","0.8343895091263578","0.8478156274056922","0.8350264420507111"
"NR-ER-LBD","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8422574109983049","0.8445448638431217","0.8478360393776123","0.8343913297741808"
"NR-ER-LBD","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.8411227800260379","0.8426593419575827","0.8463459654279657","0.8343630326925654"
"NR-ER-LBD","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.8245571315612","0.8256329375627706","0.8358964938064254","0.8121419633144041"
"NR-ER-LBD","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8335438832005831","0.8278941461397562","0.8455367765414155","0.827200726920578"
"NR-ER-LBD","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.834413189903414","0.8305263157894823","0.8442391583269359","0.8284740955938237"
"NR-ER-LBD","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8342276165466999","0.8253919310059783","0.8453064128583845","0.8319845057757368"
"NR-ER-LBD","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8330212446848049","0.8197944355839212","0.8464626052674588","0.8328066932030348"
"NR-ER-LBD","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8190142607160453","0.8069868273377095","0.8372961718804801","0.8127597829299464"
"NR-ER-LBD","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.8226881930482226","0.8109575285013947","0.8377933491963562","0.8193137014469171"
"NR-ER-LBD","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.8234023575748318","0.8142879083230005","0.83619829939115","0.8197208650103452"
"NR-ER-LBD","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.8278796671627425","0.8216752318506757","0.8445774138614857","0.817386355776066"
"NR-ER-LBD","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.8284069195985796","0.8246949022387565","0.8427622063592138","0.8177636501977683"
"NR-ER-LBD","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.8413563257423408","0.8291074487565735","0.8607509856066631","0.8342105428637856"
"NR-ER-LBD","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.8459598820230018","0.832948195404333","0.8661776541395578","0.8387537965251143"
"NR-ER-LBD","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.8456816708582325","0.8341532281883176","0.8663876058506688","0.8365041785357112"
"NR-ER-LBD","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.8515744209696626","0.8438691003603289","0.8695237595353342","0.841330403013325"
