"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.6231209724526412","0.6108046638880759","0.6217211322577267","0.6368371212121212"
"NR-ER","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.7545666700136917","0.7658900628838891","0.7569517870196301","0.740858160137556"
"NR-ER","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.755315141860352","0.7640102490981816","0.7762635756056824","0.7256716008771923"
"NR-ER","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.7429099690051971","0.7510229294628046","0.7748358526524652","0.7028711249003218"
"NR-ER","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6242599861359016","0.5968347835624452","0.6308096086570615","0.6451355661881979"
"NR-ER","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.7515229931741393","0.7614365494296667","0.7520624477861318","0.741069982306619"
"NR-ER","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.7522475666484153","0.7546614507165867","0.7730181573725945","0.7290630918560643"
"NR-ER","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7406241573453792","0.7429354648045207","0.7718115275167041","0.7071254797149127"
"NR-ER","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6228351194890683","0.6099828166130442","0.6213809262740174","0.6371416155801436"
"NR-ER","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.7381940256396392","0.7422111119235655","0.7258029513888892","0.7465680136064631"
"NR-ER","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.7200063229678063","0.7224883006727087","0.7097104741019239","0.7278201941287863"
"NR-ER","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.6790378733714652","0.6784962403724275","0.6652813674812041","0.693336012260764"
"NR-ER","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.6239543853123727","0.5959245819927855","0.6303046026524667","0.645633971291866"
"NR-ER","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.73424126105061","0.73725565467486","0.7206819131161207","0.7447862153608498"
"NR-ER","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.7173243041415303","0.71740412035683","0.7074775154030881","0.7270912766646729"
"NR-ER","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.6783664819259599","0.6739993114458418","0.6676301756996643","0.6934699586323737"
