"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.7550692951151993","0.7624221568197364","0.75711250783208","0.7456732206937817"
"NR-ER","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.754313014838469","0.763572285999804","0.7571418781328304","0.7422248803827726"
"NR-ER","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.7559276639833402","0.7621388137369622","0.7595885873538029","0.7460555908592558"
"NR-ER","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.7567472508511387","0.7634549880569435","0.7636865601503746","0.7431002043460978"
"NR-ER","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.7625775808291758","0.7706055925221812","0.7655548376148692","0.7515723123504771"
"NR-ER","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.7607004471579297","0.761467778102763","0.7665925882414371","0.754040975129589"
"NR-ER","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.7650952746654687","0.7686503729160589","0.7717666562238927","0.7548687948564548"
"NR-ER","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.7633259226134879","0.7697418531246979","0.7699913847117804","0.750244530003985"
"NR-ER","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.7556191124213782","0.7540026018816435","0.7645578790726795","0.7482968563098117"
"NR-ER","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.7586246721715307","0.75179374451594","0.7716279631370089","0.752452308861643"
"NR-ER","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.7561496574299772","0.7559204994150379","0.7614062826336678","0.7511221902412255"
"NR-ER","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.7526246987439338","0.7509391452179013","0.7589457041040082","0.747989246909892"
"NR-ER","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.7539528649974208","0.7490524763576077","0.7581600485588955","0.7546460700757591"
"NR-ER","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.7513195922148529","0.7523802342302843","0.7501884594298234","0.751390082984451"
"NR-ER","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.7484288308958904","0.7514905978843731","0.7503997624269052","0.743396132376393"
"NR-ER","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.7479874042141509","0.7452646668129119","0.7612137439954058","0.7374838018341351"
"NR-ER","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.7502311537528578","0.7584492602612892","0.7557361829051777","0.7365080180921063"
"NR-ER","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.7504002312826116","0.7582855001462466","0.7548044916979946","0.7381107020035932"
"NR-ER","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.7537314633717024","0.7533612715706395","0.7700191233291542","0.7378139952153133"
"NR-ER","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.7539905682727891","0.763247050794579","0.7608335617690014","0.7378910922547868"
"NR-ER","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.7523380392448514","0.7533749817197999","0.7656592653508769","0.7379798706638777"
"NR-ER","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.7579544631928398","0.7555480403626751","0.7723352978801151","0.745980051335729"
"NR-ER","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.7547966509530001","0.7449310531831957","0.771417475981623","0.7480414236941815"
"NR-ER","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.7459914111613156","0.7453819647557777","0.7568832563178806","0.7357090124102886"
"NR-ER","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.7546144273174624","0.7490060141854308","0.7724348305659988","0.7424024372009574"
"NR-ER","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.7472052634508514","0.7382138417665983","0.765495281171679","0.7379066674142766"
"NR-ER","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.7353668879256129","0.7317281795359286","0.74807787698413","0.72629460725678"
