"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6517558475252611","0.6390148191478976","0.6653450031328288","0.6509077202950568"
"NR-ER","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.6545681578533328","0.6409784171785129","0.6761793807435262","0.6465466756379592"
"NR-ER","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.671214130972212","0.6860185422150732","0.677708268065994","0.6499155826355686"
"NR-ER","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.6930166198174273","0.6939818538559079","0.7218387766290726","0.6632292289673014"
"NR-ER","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.7279970952771321","0.7312666045139912","0.7341685920530493","0.7185560892643555"
"NR-ER","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.5644092796139896","0.5640972323778912","0.5772014672096915","0.5519291392543861"
"NR-ER","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.6897175555879588","0.6912352539728971","0.7138541340330017","0.6640632787579775"
"NR-ER","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.6924481011589512","0.6897987350102334","0.7063924459586447","0.6811531225079752"
"NR-ER","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.6667382748574425","0.6651654053329428","0.6710118394945671","0.6640375797448174"
"NR-ER","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.6536875491300895","0.65407617968217","0.6580676952798664","0.648918772428232"
"NR-ER","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.6290481904950194","0.6530593436189924","0.6269686259920638","0.6071166018740017"
"NR-ER","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6257950310540091","0.6529770827239987","0.6169549851190477","0.6074530253189808"
"NR-ER","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6229569030644213","0.6332664582723986","0.6287944796888063","0.606809771232059"
"NR-ER","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7032044383171888","0.671892518523935","0.7324651146094439","0.7052556818181881"
"NR-ER","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.7310924072914863","0.7308057911670036","0.7438102091165444","0.718661221590911"
"NR-ER","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.5669020429163627","0.5745078056449261","0.6088569405284041","0.5173413825757579"
"NR-ER","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.697803485507647","0.6946612679145929","0.7077720342522908","0.6909771543560574"
"NR-ER","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.6839258620520717","0.6928964670468943","0.6877194614139482","0.6711616576953724"
"NR-ER","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.6635824760350851","0.6600545663936848","0.6713846791457806","0.6593081825657903"
"NR-ER","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.651840836124942","0.6498557387637713","0.6571319248642447","0.6485348447468102"
"NR-ER","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.595921090028102","0.5339402359364337","0.6199483082706745","0.6338747258771978"
"NR-ER","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.6803338217491398","0.7115506483377196","0.708649879908102","0.6208009370015976"
"NR-ER","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.6970072643726851","0.7177940979331223","0.6721866515246449","0.7010410436602879"
"NR-ER","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.7362808739863476","0.7410061421468255","0.7316500887635715","0.7361863910486457"
"NR-ER","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.7493753839840785","0.7556881885541542","0.7499592079156261","0.7424787554824555"
"NR-ER","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.6667839108115777","0.7013015501608655","0.6924880560776937","0.6065621261961738"
"NR-ER","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.715031527866104","0.7257756897728376","0.6817727913533834","0.7375461024720913"
"NR-ER","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.7456745351065909","0.7458823852003558","0.7338006474519575","0.7573405726674591"
"NR-ER","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.7638362631411204","0.7737604501803719","0.769301182644109","0.7484471565988804"
"NR-ER","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.7341326915588072","0.7435470897923395","0.7327082354323263","0.7261427494517556"
"NR-ER","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.6828077465650436","0.711079933216339","0.6863382414369232","0.6510050650418686"
"NR-ER","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.7065623537015139","0.7228005874037234","0.6902640716374246","0.7066224020633936"
"NR-ER","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.7144518080317793","0.6814622026420948","0.7282284487259757","0.7336647727272677"
"NR-ER","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.7398278218355259","0.7436133555133132","0.7467088946324139","0.7291612153608504"
"NR-ER","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.7547069653288476","0.7638883811055895","0.7647096256265695","0.7355228892543839"
"NR-ER","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.709315528837417","0.6928477198498567","0.7203213110902245","0.71477755557217"
