"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.7651235597659735","0.7703679499366347","0.7640128968253955","0.7609898325358898"
"NR-ER","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.7572760254658459","0.7623094289265896","0.7580327772556441","0.751485870215304"
"NR-ER","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.76042691748424","0.7650590755094138","0.760351399331661","0.755870277611645"
"NR-ER","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.7732437709011571","0.7674294079652916","0.7776292945906478","0.7746726101475324"
"NR-ER","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.7706618958592797","0.7700693733547803","0.7821506892230583","0.7597656250000006"
"NR-ER","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.7651228339635492","0.7757560385590295","0.766589324874684","0.7530231384569341"
"NR-ER","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.7597596193112856","0.7652891013454199","0.7522990418755172","0.7616907147129192"
"NR-ER","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.757127141585161","0.76168180876475","0.7519400715329987","0.7577595444577345"
"NR-ER","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.7728331285459715","0.7761003156381018","0.7817036079782833","0.7606954620215295"
"NR-ER","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.7666968499051746","0.7619087879009474","0.778355393692566","0.7598263681220103"
"NR-ER","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.7679553204997394","0.7706954701667171","0.7741587040517979","0.7590117872807027"
"NR-ER","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.7561854323884222","0.7611699631958658","0.757482899958232","0.7499034340111684"
"NR-ER","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.759257699031723","0.7620291325436358","0.752822812238934","0.7629211523125994"
"NR-ER","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.7727521985791791","0.7710260370966183","0.7802660949248069","0.7669644637161123"
"NR-ER","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.7676284273990976","0.7627374902505684","0.7850126618629907","0.7551351300837339"
"NR-ER","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.7591461113081914","0.7624312969191832","0.7565871057852954","0.7584199312200958"
