"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Weka RF classification","30","rdkit_fp","15","0.7183091908956731","0.7271802183874444","0.7131076388888887","0.7146397154106863"
"NR-ER","Weka RF classification","40","rdkit_fp","15","0.7243327997039017","0.7391011930876485","0.7079507035818716","0.7259465024421853"
"NR-ER","Weka RF classification","50","rdkit_fp","15","0.731823977125064","0.7417853356244515","0.7112140703320804","0.7424725254186602"
"NR-ER","Weka RF classification","60","rdkit_fp","15","0.7379872771169058","0.7551534927366662","0.7159051600355045","0.7429031785785467"
"NR-ER","Weka RF classification","70","rdkit_fp","15","0.741532192122762","0.7621083467388151","0.7159451362781927","0.7465430933512783"
"NR-ER","Weka RF classification","30","cdk_fp","15","0.7151488009201851","0.7188375926196736","0.7139128746345016","0.7126959355063799"
"NR-ER","Weka RF classification","40","cdk_fp","15","0.7270398100785015","0.7287591705664452","0.7322334155701754","0.7201268440988837"
"NR-ER","Weka RF classification","50","cdk_fp","15","0.7364611866482912","0.7318081554060653","0.7401258680555536","0.7374495364832546"
"NR-ER","Weka RF classification","60","cdk_fp","15","0.7435462229655174","0.7325363166617949","0.7450013379803703","0.7531010142543871"
"NR-ER","Weka RF classification","70","cdk_fp","15","0.7488061483991281","0.7431601589158644","0.751181338763576","0.7520769475179441"
"NR-ER","Weka RF classification","30","rdkit_desc","15","0.7637969626159623","0.7933674868382575","0.7530300360275692","0.7449933649820603"
"NR-ER","Weka RF classification","40","rdkit_desc","15","0.7691232836955039","0.7908113056936729","0.7624171104845447","0.7541414349082941"
"NR-ER","Weka RF classification","50","rdkit_desc","15","0.7689940746462153","0.7897510541581337","0.7655303623642435","0.7517008074162683"
"NR-ER","Weka RF classification","60","rdkit_desc","15","0.7724545447443866","0.7953326082187828","0.7663780218776106","0.755653004136766"
"NR-ER","Weka RF classification","70","rdkit_desc","15","0.7738567293082258","0.7975978295310516","0.7698706401420293","0.7541017182515964"
"NR-ER","Weka RF classification","30","cdk_desc","15","0.7708864065477852","0.7931191808033562","0.7712151472431086","0.7483248915968909"
"NR-ER","Weka RF classification","40","cdk_desc","15","0.7717661130742203","0.7886473871502407","0.7727929850668359","0.7538579670055845"
"NR-ER","Weka RF classification","50","cdk_desc","15","0.7710827190404581","0.7849639270741898","0.7723010325292411","0.7559831975179436"
"NR-ER","Weka RF classification","60","cdk_desc","15","0.7733956266381371","0.7889855708296776","0.7755872428466991","0.7556140662380345"
"NR-ER","Weka RF classification","70","cdk_desc","15","0.771642806369505","0.7878773337720629","0.7730124464807888","0.7540386388556634"
"NR-ER","Weka RF classification","30","rdkit_fp","20","0.7225172323357213","0.7370225821390272","0.7077801926691722","0.7227489221989644"
"NR-ER","Weka RF classification","40","rdkit_fp","20","0.7328772649777741","0.7436621027103438","0.7214700161862971","0.7334996760366809"
