"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.7771787600412342","0.7848054986838319","0.7778373342209676","0.7688934472189031"
"NR-ER","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.7803016211978605","0.7900694342887851","0.7840866815476204","0.7667487477571759"
"NR-ER","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.779548359908492","0.7908851881641829","0.7856579926378467","0.7621018989234465"
"NR-ER","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.778494388189014","0.7897959929804026","0.7833866893796981","0.7623004822069411"
"NR-ER","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.7775388453102706","0.788313773520523","0.7809930098684195","0.7633097525418694"
"NR-ER","Weka RF on folded fp classification","30","cdk_fp","500","15","0.7730031807840806","0.7816841547236082","0.7740779357247273","0.7632474519039062"
"NR-ER","Weka RF on folded fp classification","40","cdk_fp","500","15","0.774827378143665","0.7813551111436128","0.779318086883874","0.7638089364035079"
"NR-ER","Weka RF on folded fp classification","50","cdk_fp","500","15","0.7777107805817423","0.7852396534074279","0.7814523287385118","0.7664403595992872"
"NR-ER","Weka RF on folded fp classification","60","cdk_fp","500","15","0.7795917598090897","0.788987094179583","0.783542515142019","0.766245670105667"
"NR-ER","Weka RF on folded fp classification","70","cdk_fp","500","15","0.78046240830689","0.7941908574631968","0.7808845029239763","0.7663118645334965"
"NR-ER","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.7684865465152769","0.7877173820317807","0.7641646433792798","0.7535776141347704"
"NR-ER","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.7707107700599928","0.7874142354002192","0.7670535387949047","0.7576645359848545"
"NR-ER","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.769865533464905","0.7879565479672442","0.7612545360797814","0.7603855163476894"
"NR-ER","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.7710814200837123","0.7879634030418295","0.7619080252715072","0.7633728319378"
"NR-ER","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.7706876385579723","0.7866921675441186","0.7608874073203848","0.7644833408094135"
"NR-ER","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.7748186313333257","0.8019348067173653","0.7628878511382682","0.7596332361443437"
"NR-ER","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.7781267121944749","0.7975742176074839","0.7753963358918119","0.7614095830841288"
"NR-ER","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.7770673452267958","0.796882616749543","0.7739588228383404","0.760360596092504"
"NR-ER","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.7762675825303437","0.7907305681485833","0.7769725420321597","0.761099637410288"
