"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.5673183491123901","0.565001050560617","0.5805989583333336","0.5563550384432197"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.7551739173472161","0.7987189527502447","0.731777510683754","0.7350252886076498"
"NR-PPAR-gamma","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.7225433336591559","0.7655721735144204","0.6981103098290589","0.7039475176339886"
"NR-PPAR-gamma","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.6846978485692038","0.7254948777211182","0.6606704059829027","0.6679282620035907"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.5453855424969397","0.5472051904061535","0.528993055555556","0.5599583815291095"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.7495805828086834","0.8026123940684702","0.7254607371794798","0.7206686171781004"
"NR-PPAR-gamma","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.716749435392296","0.7685010091748905","0.6909855769230688","0.6907617200789287"
"NR-PPAR-gamma","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.6852446213013809","0.7368345653544258","0.6583166399572553","0.6605826585924612"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.5672191888623327","0.5647113505115908","0.5803218482905986","0.5566243677848086"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.6748266012121985","0.6707097332849457","0.7042100694444459","0.6495600009072038"
"NR-PPAR-gamma","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.5793973237802891","0.5749559082892384","0.5978599091880373","0.5653761538635919"
"NR-PPAR-gamma","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.48045866109342716","0.46782419345596177","0.4883847489316213","0.48516704089269835"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.5454082560151617","0.5470109958677952","0.529003071581197","0.5602107005964929"
"NR-PPAR-gamma","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.6536958064708626","0.6402975951712443","0.6928385416666749","0.6279512825746684"
"NR-PPAR-gamma","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.5513369191251873","0.541971488421542","0.5692073985042713","0.5428318704497488"
"NR-PPAR-gamma","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.4543896342049501","0.4400034381983795","0.46841279380341794","0.4547526706130529"
