"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8238386745402968","0.804684863649969","0.8233540331196507","0.8434771268512706"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.7993780600904817","0.7840047370733437","0.8087439903846143","0.8053854528134868"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.7952225123991012","0.7976079053094535","0.7775540865384529","0.8105055453493973"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8224283973846295","0.8083331741574785","0.8259815705128095","0.8329704474836005"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.7976654495980453","0.7974487294583497","0.7825387286324739","0.8130088907033122"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.7886917865175427","0.7979071559095584","0.7513688568376048","0.8167993468054647"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8121264660955506","0.8106985273050211","0.8153879540598197","0.810292916921811"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.79405627115255","0.8011416092041908","0.7720185630341786","0.8090086412192802"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.7893364983996856","0.775351937806818","0.7865718482906052","0.8060857091016336"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.7994880619004127","0.7742950101554171","0.7997095352564144","0.8244596402894063"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.7897315857550621","0.7576706842651466","0.8017528044871813","0.8097712685128583"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.7896067684758984","0.7583837920781313","0.8015157585470114","0.8089207548025524"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8077532963369659","0.786952673835946","0.8184929220085392","0.8178142931664121"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8032492409231621","0.7926002330334426","0.8044504540598338","0.81269703567621"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.7970581770427926","0.7834762732476209","0.7952223557692264","0.8124759021115305"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8111553362758945","0.7942652124360963","0.8156483707264883","0.8235524256650992"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.7998643722877103","0.7846764591650246","0.8091513087606816","0.8057653489374246"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.7876178772270795","0.77119426457574","0.7854801014957256","0.8061792656097732"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8129013897404747","0.7899738314900842","0.8244691506410196","0.8242611870903201"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.798597146656206","0.7750463201726729","0.7987179487179425","0.8220271710780027"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.7914606714586855","0.7748807772875205","0.7909688835470037","0.8085323535415326"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8129599231193166","0.7919253274247198","0.8313401442307595","0.8156142977024706"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.802881536377944","0.7770137336924421","0.8109475160256413","0.8206833594157483"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.7709328074245948","0.7453918591102682","0.7737780448717934","0.793628518291723"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.8015613197621368","0.7747820882598212","0.8109875801282093","0.8189142908983804"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.7754121149266234","0.7471746286427394","0.7807525373931663","0.7983091787439646"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.7620965416348021","0.7293851355223225","0.7614983974359005","0.7954060919461832"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0","cdk_fp","MaxMin","0.0","0.7946623961634173","0.7741899540936833","0.8054720886752027","0.8043251457213656"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0","cdk_fp","MaxMin","0.0","0.7869909972460393","0.7798566143933193","0.7667835202991565","0.8143328570456418"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0","cdk_fp","MaxMin","0.0","0.7786697285917207","0.7637607523287435","0.7671975160256352","0.8050509174207835"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0E-4","rdkit_desc","MaxMin","0.0","0.7120966525222311","0.6858441732087958","0.733984374999991","0.7164614093579064"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0E-4","rdkit_desc","MaxMin","0.0","0.6285351272007763","0.6783660917234962","0.594160657051281","0.6130786328275519"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0E-4","rdkit_desc","MaxMin","0.0","0.6748932077803048","0.6604015051668499","0.6510316506410203","0.7132464675330441"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.001","rdkit_desc","MaxMin","0.0","0.7187650526266224","0.7620989564431251","0.7235009348290564","0.6706952666076856"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.001","rdkit_desc","MaxMin","0.0","0.6898292297172127","0.7141106208495026","0.6567140758546997","0.6986629924474359"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.001","rdkit_desc","MaxMin","0.0","0.7015809361912574","0.6564921462634994","0.7171207264957256","0.7311299358145475"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.01","rdkit_desc","MaxMin","0.0","0.6775483179247912","0.6887698253522634","0.7008981036324746","0.6429770247896358"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.01","rdkit_desc","MaxMin","0.0","0.7318384846083553","0.6621651735971856","0.7444477831196528","0.7889024971082272"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.01","rdkit_desc","MaxMin","0.0","0.716418835948834","0.6522421510387777","0.7652210202991492","0.7317933365085751"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.1","rdkit_desc","MaxMin","0.0","0.7354245248481609","0.6654282785450124","0.790788595085456","0.7500567009140143"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.1","rdkit_desc","MaxMin","0.0","0.7260423439908053","0.6719290203044701","0.7452490651709424","0.7609489464970035"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.1","rdkit_desc","MaxMin","0.0","0.7603865144636325","0.7277074220515937","0.8057258279914534","0.7477262933478499"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0","rdkit_desc","MaxMin","0.0","0.7650637737782183","0.7257813942531396","0.7888254540598242","0.7805844730216912"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0","rdkit_desc","MaxMin","0.0","0.7651275745775804","0.7195958206788697","0.8120426014957256","0.7637443015581462"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0","rdkit_desc","MaxMin","0.0","0.6009894785584647","0.730833635767457","0.8081296741453082","0.264005125762629"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0E-4","cdk_desc","MaxMin","0.0","0.6558293855011461","0.64183523389299","0.6257311698717947","0.6999217527386536"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0E-4","cdk_desc","MaxMin","0.0","0.7307546430779813","0.7811109201000899","0.6599793002136752","0.7511737089201792"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0E-4","cdk_desc","MaxMin","0.0","0.7200435825069417","0.7056201809511189","0.7199218750000016","0.7345886915697043"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.001","cdk_desc","MaxMin","0.0","0.7207978744411552","0.7706466996479028","0.658944310897439","0.7328026127781238"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.001","cdk_desc","MaxMin","0.0","0.7533607209413109","0.7450416722378211","0.7460570245726488","0.7689834660134631"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.001","cdk_desc","MaxMin","0.0","0.7244386962057003","0.7434530972437128","0.7038361378205137","0.7260268535528749"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.01","cdk_desc","MaxMin","0.0","0.7425619435040963","0.7576070139247073","0.7170906784188005","0.752988138168781"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.01","cdk_desc","MaxMin","0.0","0.7204452478166784","0.7001986514621877","0.7214509882478584","0.7396861037399889"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.01","cdk_desc","MaxMin","0.0","0.7609330610995425","0.7639422127990166","0.7482405181624082","0.7706164523372029"
"NR-PPAR-gamma","Smile SVC Poly classification","2","0.1","cdk_desc","MaxMin","0.0","0.7503822070675751","0.7683673014599502","0.7398470886752176","0.7429322310675573"
"NR-PPAR-gamma","Smile SVC Poly classification","3","0.1","cdk_desc","MaxMin","0.0","0.7550367055398811","0.7709013810096745","0.7401943108974385","0.7540144247125301"
"NR-PPAR-gamma","Smile SVC Poly classification","4","0.1","cdk_desc","MaxMin","0.0","0.7628918733131411","0.7432589027053517","0.7546374198718","0.7907792973622719"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0","cdk_desc","MaxMin","0.0","0.7466131882129382","0.7633309775307234","0.7169771634615468","0.7595314236465447"
"NR-PPAR-gamma","Smile SVC Poly classification","3","1.0","cdk_desc","MaxMin","0.0","0.7672163280516932","0.7482952266345844","0.7575620993589653","0.7957916581615294"
"NR-PPAR-gamma","Smile SVC Poly classification","4","1.0","cdk_desc","MaxMin","0.0","0.7594548889239171","0.7606791078511971","0.7207598824786359","0.7969256764419181"
"NR-PPAR-gamma","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","Standard","0.0","0.7732179064506175","0.7054482710319041","0.8174045138888961","0.796800934431052"
