"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6356977253965258","0.6792733940748447","0.5768195779914497","0.6510002041232831"
"NR-PPAR-gamma","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.6377138907516499","0.6869838723027666","0.5775106837606783","0.6486471161915047"
"NR-PPAR-gamma","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.6544038613244086","0.7155782221967525","0.5911558493589731","0.6564775124175004"
"NR-PPAR-gamma","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7408691093465763","0.7822156005068139","0.7343349358974335","0.706056791635482"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.7871823221982809","0.811812758262821","0.7976929754273449","0.7520412329046767"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.672601986453978","0.7143366505580693","0.6763855502136762","0.6270837585901884"
"NR-PPAR-gamma","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7454433551684607","0.7881783278895124","0.7400140224358991","0.7081377151799705"
"NR-PPAR-gamma","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7286746577904891","0.7405720143385536","0.7266459668803341","0.7188059921525799"
"NR-PPAR-gamma","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.6980179850751168","0.701160073602914","0.7053952991452951","0.6874985824771415"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.6924111834336221","0.6954138253777272","0.7017461271367447","0.6800735977863942"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.62477494698294","0.664250377246776","0.6130308493589831","0.5970436143430609"
"NR-PPAR-gamma","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6560952823992099","0.6877319988030096","0.6094985309829084","0.6710553174117116"
"NR-PPAR-gamma","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.671199408576391","0.7097428354949367","0.6340645032051365","0.6697908870290998"
"NR-PPAR-gamma","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7348039206409932","0.7574892237948826","0.7415631677350475","0.7053593703930495"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.7834712438660455","0.8023990984279822","0.7934728899572506","0.7545417432129033"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.6525316969437255","0.6851947357362504","0.6464109241452982","0.6259894309496277"
"NR-PPAR-gamma","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7284717379356938","0.7460954163721948","0.7340511485042716","0.705268648930615"
"NR-PPAR-gamma","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7303951837695913","0.7385250128932497","0.7327290331196509","0.7199315052958736"
"NR-PPAR-gamma","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.6987636057936909","0.7073679317963288","0.7113214476495674","0.6776014379351765"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.6985794769081844","0.6962479068375546","0.718773370726494","0.6807171531605047"
"NR-PPAR-gamma","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.6357086320104336","0.7537676923958609","0.6116887019230762","0.5416695017123638"
"NR-PPAR-gamma","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.6354923971434535","0.5","0.7600527510683821","0.6464244403619784"
