"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-PPAR-gamma","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.7979513460468749","0.7959110907366106","0.8028345352564156","0.7951084121475983"
"NR-PPAR-gamma","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.8070086547302022","0.7951597807193459","0.831820913461527","0.7940452700097337"
"NR-PPAR-gamma","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.8061223839052752","0.8040226921093533","0.8226862980769122","0.7916581615295601"
"NR-PPAR-gamma","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.8117243099586119","0.8165784832451497","0.8254507211538407","0.7931437254768451"
"NR-PPAR-gamma","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8089159979443572","0.8102369173367949","0.8303585737179431","0.7861525027783336"
"NR-PPAR-gamma","Weka RF on folded fp classification","30","cdk_fp","500","15","0.7899797972842286","0.8228913975003065","0.8247095352564141","0.7223384590959655"
"NR-PPAR-gamma","Weka RF on folded fp classification","40","cdk_fp","500","15","0.8032017824677758","0.8236618086196922","0.8476862980769163","0.7382572407067188"
"NR-PPAR-gamma","Weka RF on folded fp classification","50","cdk_fp","500","15","0.80200677884684","0.8338044938526333","0.8412560096153741","0.7309598330725128"
"NR-PPAR-gamma","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8143256299580152","0.8321235968648806","0.8440471420940068","0.7668061509151581"
"NR-PPAR-gamma","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8125834061778603","0.8285007544935249","0.8358206463675112","0.7734288176725449"
"NR-PPAR-gamma","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.7842189112667227","0.815785787506625","0.7918436164529945","0.7450273298405488"
"NR-PPAR-gamma","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.7930033252704972","0.8141653773422699","0.7879173344017197","0.7769272640675017"
"NR-PPAR-gamma","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8022445069665988","0.8238432690899452","0.8044037126068289","0.778486539203022"
"NR-PPAR-gamma","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8083196250789202","0.8404739620142506","0.8134715544871639","0.7710133587353458"
"NR-PPAR-gamma","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8058080830503881","0.8405694675249282","0.8119424412393051","0.7649123403869308"
