"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.5501949595921825","0.5279919712173383","0.5664290791815149","0.5561638283776941"
"SR-ARE","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8168485773497477","0.8130083558583576","0.8122375047907039","0.8252998714001815"
"SR-ARE","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8039993846959917","0.802110718208855","0.7998691201470713","0.810018315732049"
"SR-ARE","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.7809972364835159","0.782375094111395","0.7748405349058033","0.7857760804333491"
"SR-ARE","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.5672021995562729","0.5633014897372283","0.5706616032225377","0.5676435057090531"
"SR-ARE","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8200769492682417","0.8201870502709169","0.8171125010138024","0.822931296520006"
"SR-ARE","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8061287598005284","0.8084362387529174","0.8015349360151771","0.8084151046334911"
"SR-ARE","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7812474106624144","0.7854429715752703","0.7753804341776094","0.7829188262343635"
"SR-ARE","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.549735336235136","0.5276093543649173","0.5661833812802045","0.5554132730602863"
"SR-ARE","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.7717231398165175","0.7680987028054427","0.761259563532384","0.7858111531117256"
"SR-ARE","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.7442644683363183","0.7357799212549857","0.7396548461326794","0.7573586376212897"
"SR-ARE","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.689537936100336","0.6725262586243085","0.6938023698317954","0.702285179844904"
"SR-ARE","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.5664429165493435","0.5628695029683659","0.5704516865689908","0.5660075601106741"
"SR-ARE","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.7726888206392913","0.7716479369546166","0.764416264723981","0.7820022602392763"
"SR-ARE","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.7456075745156601","0.740808710087508","0.7427495264948217","0.7532644869646505"
"SR-ARE","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.6869816765430702","0.6738993594253343","0.692299557425725","0.6947461127781509"
