"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8225919323573821","0.8239985621011784","0.8125150082455896","0.8312622267253784"
"SR-ARE","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.810661025477267","0.811973901827925","0.7997784743193985","0.8202307002844778"
"SR-ARE","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8142373389676615","0.8154189963096009","0.802751498439138","0.8245415221542457"
"SR-ARE","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8224573693510818","0.824283981930605","0.8129809596053565","0.8301071665172838"
"SR-ARE","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8213098840598411","0.8220237654435352","0.8097193000869811","0.8321865866490068"
"SR-ARE","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8133998839831471","0.8048723479097969","0.8059940746253668","0.8293332294142776"
"SR-ARE","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8364049958281253","0.8395038014835647","0.8220614451489389","0.8476497408518726"
"SR-ARE","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8217872621916137","0.8111778119253036","0.8159142267831321","0.8382697478664052"
"SR-ARE","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8053724680219657","0.8042012256081777","0.7983726688517043","0.8135435096060147"
"SR-ARE","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8372920613924683","0.8296313610051755","0.8316365070504971","0.8506083161217324"
"SR-ARE","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.8174839732095264","0.8210633662877501","0.807898432145238","0.823490121195591"
"SR-ARE","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8083824166348527","0.8121729243035746","0.7975719640406396","0.8154023615603435"
"SR-ARE","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8291838268043331","0.8265951111440267","0.8230505978648961","0.8379057714040767"
"SR-ARE","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8156234375046291","0.8158694967971288","0.8061475364213305","0.8248532792954278"
"SR-ARE","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8058608632713065","0.8058396897100759","0.796943009218841","0.8147998908850025"
"SR-ARE","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8220267588956193","0.8299399229829346","0.8074181682863614","0.8287221854175618"
"SR-ARE","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.8095635972958122","0.8145110526900441","0.7974383807156539","0.8167413584817386"
"SR-ARE","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.8103434083850728","0.8091667592352615","0.796989922410349","0.8248735435096077"
"SR-ARE","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8224988858550283","0.8301836869453577","0.808226029346979","0.8290869412727478"
"SR-ARE","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.8199931158857243","0.8256879389294186","0.8018967241870033","0.8323946845407509"
"SR-ARE","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.8134286300635313","0.8155115649029265","0.797296050863443","0.8274782744242244"
