"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6067249932700894","0.5971993372088719","0.6196827077976057","0.6032929348037906"
"SR-ARE","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.6355328320027276","0.6415335221732638","0.6467889908256838","0.6182759830092351"
"SR-ARE","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.657114386105177","0.6728872761382824","0.6494733795468017","0.648982502630447"
"SR-ARE","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.6924311948230039","0.7102687883388225","0.6787297179960579","0.6882950781341312"
"SR-ARE","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.7996968850727476","0.7998597585811007","0.7962138669032994","0.8030170297338427"
"SR-ARE","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.6346078349653497","0.6318045630145247","0.6336548874799001","0.6383640544016242"
"SR-ARE","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7514420042472176","0.7587361609952983","0.7441577173790286","0.7514321343673258"
"SR-ARE","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7562984356667761","0.7492864504264337","0.7611045114587458","0.7585043451151486"
"SR-ARE","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7084197780628724","0.69823332839634","0.712559695048353","0.7144663107439241"
"SR-ARE","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.6967877014410359","0.6920536033867776","0.6991894354673265","0.6991200654690032"
"SR-ARE","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.5723815431392588","0.5560934819367805","0.5722479052067267","0.5888032422742691"
"SR-ARE","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6094003084160743","0.5679839177497175","0.5807002310673461","0.6795167764311593"
"SR-ARE","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6421964518108805","0.6048385603732357","0.6703934824059627","0.6513573126534431"
"SR-ARE","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.6787646305070778","0.6637013860604004","0.6444353798616742","0.7281571255991588"
"SR-ARE","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.795977345437934","0.8023807099393991","0.7805663296868249","0.8049849966875778"
"SR-ARE","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.6304009250125125","0.6403139309561705","0.6408190884210285","0.6100697556603386"
"SR-ARE","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7318266790970259","0.71715666308735","0.719647562660917","0.7586758115428104"
"SR-ARE","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7469711081775046","0.7360622554646356","0.7430795091130814","0.7617715599547966"
"SR-ARE","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7145777630583533","0.7086310956418675","0.7136283616482307","0.721473831884962"
"SR-ARE","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7036819174707428","0.7029450697967151","0.6990940188066201","0.709006663808893"
"SR-ARE","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.5785012275437432","0.5","0.5","0.7355036826312298"
"SR-ARE","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.6604342865786851","0.7248506560027626","0.5","0.7564522037332928"
"SR-ARE","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.7586336994411371","0.761743868873506","0.7489937517989979","0.7651634776509075"
"SR-ARE","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.8028121095787353","0.8041202280890171","0.801116692985758","0.8031994076614305"
"SR-ARE","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8212461506856278","0.8231153034398452","0.810671081277498","0.8299520673395403"
"SR-ARE","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.7569469450363225","0.751278989397806","0.7387762177153748","0.7807856279957867"
"SR-ARE","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.8054500328602335","0.7956826008071896","0.795081589196291","0.8255859085772198"
"SR-ARE","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.8317615040324479","0.8261685242097693","0.8292375731726443","0.8398784147149297"
