"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8520875219309803","0.8460322015279984","0.850168012836717","0.8600623514282253"
"SR-ARE","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8549366015710148","0.8531352982560041","0.8479209504771599","0.8637535559798807"
"SR-ARE","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8545464747489712","0.8547074215326865","0.8463163602996694","0.8626156424145573"
"SR-ARE","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8579206532598985","0.8553638871403746","0.8524341585284129","0.8659639141109082"
"SR-ARE","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8525996278505544","0.8550738388812732","0.8471099088611843","0.8556151358092058"
"SR-ARE","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8557353943991705","0.8582288851038476","0.8417554439180682","0.8672218541755956"
"SR-ARE","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8536917919243026","0.8561800335715367","0.8417808883609149","0.8631144538404559"
"SR-ARE","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8527145346372045","0.8518401093543676","0.8441710757115226","0.8621324188457231"
"SR-ARE","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8653955979979808","0.864665487959904","0.8588795539589178","0.8726417520751206"
"SR-ARE","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8519707216218272","0.8527827661964145","0.8455673395131453","0.8575620591559214"
"SR-ARE","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8520253857362258","0.8512708125053922","0.8449503117739394","0.8598550329293454"
"SR-ARE","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8537056152422781","0.8541003258414401","0.8429449716214912","0.8640715482639026"
"SR-ARE","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8526252093376597","0.8540771836931129","0.8407821939788839","0.8630162503409823"
"SR-ARE","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.8642445973978606","0.8649092519223381","0.8552139639102284","0.872610576361015"
"SR-ARE","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.8494612026135843","0.8522288974463362","0.8408887425833383","0.8552659678110782"
"SR-ARE","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8550629326808455","0.8549889843373836","0.8446895062346772","0.8655103074704759"
"SR-ARE","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.853268202015795","0.8509190518507505","0.8464897005666043","0.8623958536300299"
"SR-ARE","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8530343947415323","0.8551170375581547","0.8437273882392553","0.8602587584271869"
"SR-ARE","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8615328253080916","0.8614225015736631","0.8560663527458464","0.8671096216047656"
"SR-ARE","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8456813655499748","0.8447647832043521","0.8364677706374217","0.8558115428081507"
"SR-ARE","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.850162382412203","0.8594484763209478","0.8380103399854595","0.8530283309302016"
"SR-ARE","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8516904717733347","0.8631111069969475","0.8396833121031205","0.852276996219936"
"SR-ARE","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8484075710630291","0.859051974179528","0.8361290414919309","0.850041697517628"
"SR-ARE","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8564845053754561","0.8614603004159365","0.8504288183759638","0.8575643973344677"
"SR-ARE","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8528261006484236","0.861708692808041","0.8467902630478272","0.8499793460894023"
"SR-ARE","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8502566967768413","0.8627038051863167","0.8358173470669721","0.8522489380772351"
"SR-ARE","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8506688884707069","0.8605886128287694","0.8361513053794258","0.8552667472039254"
"SR-ARE","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8519116600901127","0.8633348144308267","0.8356042498580659","0.8567959159814453"
"SR-ARE","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.8614124130563043","0.8696387356364266","0.8554238805637816","0.8591746229687047"
"SR-ARE","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.8505750257873742","0.8605068439046728","0.8415677911520084","0.8496504423054417"
"SR-ARE","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8466299375741096","0.856771701163893","0.8297265835587526","0.8533915279996833"
"SR-ARE","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.8505443997189306","0.8621807926340033","0.8343399791037485","0.8551124274190401"
"SR-ARE","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.849127595450183","0.8616238382641576","0.8316285556620915","0.8541303924242997"
"SR-ARE","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.8643229283089173","0.8691512077115704","0.8620569287603237","0.8617606484548578"
"SR-ARE","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.8470086811505896","0.8583762234482468","0.83614812482407","0.8465016951794521"
"SR-ARE","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8502882814594049","0.8631311635255077","0.8353943332045215","0.8523393476481856"
"SR-ARE","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8504980379495609","0.8613631033929446","0.8305885140604333","0.859542496395305"
"SR-ARE","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.8511268873187298","0.8616516088421512","0.8351685137741822","0.8565605393398558"
"SR-ARE","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.8617317734816079","0.8729310919391224","0.8538892626041421","0.858374965901559"
"SR-ARE","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","2","0.8486889973735775","0.8586847854259929","0.8452747284203196","0.8421074782744201"
"SR-ARE","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","3","0.8549437109865307","0.8517143703484229","0.8496718462010592","0.8634449164101099"
"SR-ARE","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","3","0.8540141301443313","0.851376494982773","0.850357255880451","0.86030863956977"
"SR-ARE","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","3","0.8544275556478221","0.851141987879685","0.849342658721634","0.8627980203421471"
"SR-ARE","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","3","0.8613156639455535","0.8584078510509568","0.8561474569074496","0.8693916838782539"
"SR-ARE","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","3","0.8538470785799666","0.8509421939990899","0.8513893460937172","0.8592096956470925"
"SR-ARE","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","3","0.8534182932114162","0.8526801693388091","0.846966783870128","0.8606079264253113"
"SR-ARE","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","3","0.8542914360293635","0.8534747164315404","0.8468650060987062","0.8625345855578439"
"SR-ARE","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","3","0.8559429437066903","0.8554302279655805","0.8495366725984","0.8628619305560906"
"SR-ARE","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","3","0.8577909812888519","0.8547313350859688","0.8564671027208057","0.8621745060597811"
"SR-ARE","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","3","0.8508110753471897","0.8498174855901498","0.846785492214793","0.8558302482366262"
"SR-ARE","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","3","0.8539248842964237","0.8553739154046398","0.8440438534972589","0.8623568839873723"
"SR-ARE","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","3","0.8552221479063533","0.8545006850075871","0.8467107491639096","0.8644550095475633"
"SR-ARE","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","3","0.864403279773131","0.865111360017775","0.8577122901429786","0.8703861891586392"
"SR-ARE","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","3","0.8545010138202288","0.8545832253366309","0.8466455477790943","0.862274268344961"
"SR-ARE","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","3","0.8537437267034238","0.8523770071956708","0.845456020075662","0.8633981528389384"
"SR-ARE","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","3","0.8521509356545934","0.848595580158222","0.8450966173203448","0.8627606094852138"
"SR-ARE","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","3","0.8558084420851318","0.8585698460892816","0.845915610324716","0.8629398698413981"
"SR-ARE","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","3","0.8638216435325886","0.8599290616013119","0.8571747762876728","0.8743610927087812"
"SR-ARE","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","3","0.8513649474353829","0.8489843682502063","0.8461112144791495","0.8589992595767934"
"SR-ARE","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","3","0.8485775128273647","0.8474909282778529","0.8416600272573554","0.8565815829468858"
"SR-ARE","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","3","0.8494498600788208","0.8514281791140585","0.845993533930958","0.8509278671914459"
"SR-ARE","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","3","0.8488302661385946","0.8554757408573131","0.8434300063133908","0.84758505124508"
"SR-ARE","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","3","0.8497777734596553","0.8573386837980274","0.843778277124961","0.8482163594559775"
"SR-ARE","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","3","0.8576549228002195","0.859474704089062","0.8543933806281928","0.8590966836834035"
"SR-ARE","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","3","0.8557914036170443","0.8583746806383534","0.8507102975250427","0.858289232687737"
"SR-ARE","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","3","0.8518092853772622","0.8640630206983334","0.8385017357880792","0.8528630996453739"
"SR-ARE","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","3","0.8512525463028108","0.8596675553251539","0.8415964161502166","0.852493667433062"
"SR-ARE","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","3","0.8527351034721403","0.8638794263215744","0.8401222287423626","0.8542036553524838"
"SR-ARE","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","3","0.857823609530524","0.8643900963947566","0.8547321097736815","0.8543486224231336"
"SR-ARE","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","3","0.8536631564112209","0.8583885659273568","0.8500900892304707","0.8525108140758353"
"SR-ARE","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","3","0.8496853808221504","0.8590519741795313","0.832999375020875","0.8570047932660454"
"SR-ARE","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","3","0.8503908818241689","0.8579072092420444","0.8386814371657387","0.8545839990647235"
"SR-ARE","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","3","0.8610433795741979","0.8684677429308463","0.8528253668373005","0.8618370289544469"
"SR-ARE","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","3","0.8528234022947832","0.8650673899359417","0.8420766800090859","0.851326136939322"
"SR-ARE","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","3","0.850396537190207","0.8624214709766568","0.8455196311827943","0.84324850941117"
"SR-ARE","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","3","0.8526404905749577","0.8615436121499342","0.8394447704513666","0.8569330891235724"
"SR-ARE","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","3","0.8501061379813807","0.859382135495734","0.8371690830935915","0.8537671953548167"
"SR-ARE","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","3","0.8605452437212664","0.8649532220041648","0.8596699219650604","0.8570125871945737"
"SR-ARE","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","3","0.848333685166503","0.8567285024870165","0.8408807911949476","0.8473917618175448"
"SR-ARE","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","3","0.8511638428704305","0.8603078214290218","0.8443937145865007","0.8487899925957687"
"SR-ARE","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","4","0.8538054301371805","0.8520283321607968","0.8496623045349921","0.8597256537157523"
"SR-ARE","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","4","0.8561706641843219","0.8514189222547196","0.8529700821060455","0.8641229881922007"
