"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Weka RF classification","30","rdkit_fp","15","0.765372662069638","0.7865121388282034","0.7265342601471639","0.7830715872335469"
"SR-ARE","Weka RF classification","40","rdkit_fp","15","0.7710143879380841","0.7879716369830031","0.7335887319284785","0.7914827949027706"
"SR-ARE","Weka RF classification","50","rdkit_fp","15","0.7771669530890132","0.7943133570308938","0.7412005960360739","0.7959869062000718"
"SR-ARE","Weka RF classification","60","rdkit_fp","15","0.7860402222787491","0.7983910035669762","0.7620491363997054","0.797680526869566"
"SR-ARE","Weka RF classification","70","rdkit_fp","15","0.7894240297365527","0.8006805334419469","0.7612699003372975","0.8063216554304136"
"SR-ARE","Weka RF classification","30","cdk_fp","15","0.7629359433823186","0.7753722800261666","0.757182091565007","0.7562534585557825"
"SR-ARE","Weka RF classification","40","cdk_fp","15","0.784741537990314","0.7896116438947927","0.781984857375945","0.7826281127002043"
"SR-ARE","Weka RF classification","50","cdk_fp","15","0.796511636513558","0.7991462090075405","0.7962933807872176","0.7940953197459159"
"SR-ARE","Weka RF classification","60","cdk_fp","15","0.799904686947904","0.7960991594771722","0.7946355163075022","0.8089793850590373"
"SR-ARE","Weka RF classification","70","cdk_fp","15","0.8079939232852036","0.8125755976845521","0.798437075097681","0.8129690970733777"
"SR-ARE","Weka RF classification","30","rdkit_desc","15","0.85724915633812","0.8566436479431198","0.8500455614554834","0.8650582596157566"
"SR-ARE","Weka RF classification","40","rdkit_desc","15","0.860140336875292","0.8577282432949453","0.8570117728256481","0.8656809945052826"
"SR-ARE","Weka RF classification","50","rdkit_desc","15","0.8620070967409469","0.8611849088507837","0.8573409603050705","0.8674954210669864"
"SR-ARE","Weka RF classification","60","rdkit_desc","15","0.8646904595693227","0.8656212586860224","0.8585455956464425","0.8699045243755031"
"SR-ARE","Weka RF classification","70","rdkit_desc","15","0.864712497916794","0.8660918157021019","0.8584700574567303","0.86957562059155"
"SR-ARE","Weka RF classification","30","cdk_desc","15","0.8572098693747646","0.8502024166574094","0.8578069116648473","0.8636202798020371"
"SR-ARE","Weka RF classification","40","cdk_desc","15","0.8597635487331807","0.8528938485084124","0.858485960233511","0.8679108374576188"
"SR-ARE","Weka RF classification","50","cdk_desc","15","0.8608979560061815","0.8542831488132653","0.8606884948180773","0.8677222243872018"
"SR-ARE","Weka RF classification","60","cdk_desc","15","0.8639407295099932","0.8571211476037097","0.86005079346904","0.87465024745723"
"SR-ARE","Weka RF classification","70","cdk_desc","15","0.8654421160558002","0.8595479875587795","0.8618732516884745","0.8749051089201467"
"SR-ARE","Weka RF classification","30","rdkit_fp","20","0.7858422241652847","0.7987196220732878","0.752022435637485","0.8067846147850811"
"SR-ARE","Weka RF classification","40","rdkit_fp","20","0.7940305505264491","0.7983046062132041","0.7674735735606802","0.8163134718054631"
"SR-ARE","Weka RF classification","50","rdkit_fp","20","0.804100635109072","0.8046964675824785","0.7827124094138063","0.8248930283309315"
"SR-ARE","Weka RF classification","60","rdkit_fp","20","0.8093684600263579","0.8042266819713377","0.794417648265564","0.8294610498421715"
"SR-ARE","Weka RF classification","70","rdkit_fp","20","0.8099801039522522","0.80603176954123","0.7932090372299905","0.8306995050855364"
"SR-ARE","Weka RF classification","30","cdk_fp","20","0.7777759301063769","0.7905041594154576","0.7694765282966052","0.7733471026070682"
"SR-ARE","Weka RF classification","40","cdk_fp","20","0.7985559076208363","0.8049263462559065","0.7926134782394345","0.7981278983671679"
"SR-ARE","Weka RF classification","50","cdk_fp","20","0.8024248974869579","0.8001960911368646","0.8031800782734665","0.8038985230505424"
"SR-ARE","Weka RF classification","60","cdk_fp","20","0.8098257169296512","0.8134187432887752","0.8077274772948102","0.8083309302053682"
"SR-ARE","Weka RF classification","70","cdk_fp","20","0.8171984247101808","0.8262765209019839","0.8093209355285484","0.8159978177000105"
"SR-ARE","Weka RF classification","30","rdkit_desc","20","0.8581923845686782","0.8619324002419118","0.8540952035634949","0.8585495499006282"
"SR-ARE","Weka RF classification","40","rdkit_desc","20","0.8635672276282625","0.868218579133805","0.8581527970598939","0.8643303066910888"
"SR-ARE","Weka RF classification","50","rdkit_desc","20","0.8659534702305346","0.8720408906332935","0.8591284324155837","0.8666910876427265"
"SR-ARE","Weka RF classification","60","rdkit_desc","20","0.8656792472810508","0.8675636563360123","0.8594035504539446","0.8700705350531954"
"SR-ARE","Weka RF classification","70","rdkit_desc","20","0.8658764116579237","0.868111353846533","0.8594504636454547","0.8700674174817834"
"SR-ARE","Weka RF classification","30","cdk_desc","20","0.8585135078194246","0.8641216474741116","0.8508733009870844","0.8605455749970778"
"SR-ARE","Weka RF classification","40","cdk_desc","20","0.8632085881083253","0.8679725009565423","0.8586752032772453","0.8629780600911885"
"SR-ARE","Weka RF classification","50","cdk_desc","20","0.864550931776054","0.8664551474309141","0.8636233522735393","0.8635742956237088"
"SR-ARE","Weka RF classification","60","cdk_desc","20","0.8652964707755005","0.8648020266350698","0.8643604459774701","0.8667269397139615"
"SR-ARE","Weka RF classification","70","cdk_desc","20","0.8656183711503683","0.8629467977437965","0.8646514667926153","0.8692568489146933"
"SR-ARE","Weka RF classification","30","rdkit_fp","30","0.8017743142403501","0.8047959788203071","0.7961319676028598","0.804394996297883"
"SR-ARE","Weka RF classification","40","rdkit_fp","30","0.8078390398647294","0.8022935411806791","0.8084820640532001","0.812741514360309"
"SR-ARE","Weka RF classification","50","rdkit_fp","30","0.8139985853886468","0.809681286333173","0.8145497685350809","0.8177647012976864"
"SR-ARE","Weka RF classification","60","rdkit_fp","30","0.8183537213942662","0.8125948828081612","0.822865330515357","0.8196009508592804"
"SR-ARE","Weka RF classification","70","rdkit_fp","30","0.8245623549831943","0.81807340072327","0.8247840005343299","0.8308296636919832"
"SR-ARE","Weka RF classification","30","cdk_fp","30","0.8025415539341569","0.8129003591661416","0.7929005233603835","0.8018237792759455"
"SR-ARE","Weka RF classification","40","cdk_fp","30","0.8144984242500394","0.825387862406043","0.8015866200397231","0.8165207903043519"
"SR-ARE","Weka RF classification","50","cdk_fp","30","0.8217338763875905","0.8251294417496646","0.8183886988507025","0.8216834885624046"
"SR-ARE","Weka RF classification","60","cdk_fp","30","0.827662029803264","0.8351584774317794","0.8197897334853597","0.8280378784926532"
"SR-ARE","Weka RF classification","70","cdk_fp","30","0.8318163303345134","0.8445349045309217","0.8198724279246311","0.8310416585479876"
"SR-ARE","Weka RF classification","30","rdkit_desc","30","0.8587341744213095","0.8590535169894224","0.8538662035778066","0.8632828026966992"
"SR-ARE","Weka RF classification","40","rdkit_desc","30","0.8632851675542089","0.8611370817442396","0.8594997622534866","0.8692186586649003"
"SR-ARE","Weka RF classification","50","rdkit_desc","30","0.8637312044007869","0.8651144456375512","0.8585042484268176","0.8675749191379916"
"SR-ARE","Weka RF classification","60","rdkit_desc","30","0.8645955105186923","0.8632484170770546","0.8597263768226567","0.8708117376563658"
"SR-ARE","Weka RF classification","70","rdkit_desc","30","0.8650383136103637","0.8634050122807668","0.8607298420377176","0.8709800865126067"
"SR-ARE","Weka RF classification","30","cdk_desc","30","0.8572008601937559","0.8640776773922813","0.8507095023862115","0.8568154008027746"
"SR-ARE","Weka RF classification","40","cdk_desc","30","0.8617859995188898","0.8641123906147788","0.8569418006078041","0.8643038073340867"
"SR-ARE","Weka RF classification","50","cdk_desc","30","0.8635435339655714","0.863916453758902","0.8628616092655936","0.8638525388722185"
"SR-ARE","Weka RF classification","60","cdk_desc","30","0.8647201710743375","0.8643816109403735","0.8633037064601847","0.8664751958224544"
"SR-ARE","Weka RF classification","70","cdk_desc","30","0.8663674336971748","0.8644687796990906","0.8650243869081975","0.8696091344842365"
"SR-ARE","Weka RF classification","30","rdkit_fp","40","0.8096264650291894","0.8123812036385595","0.8004567277492312","0.8160414636997777"
"SR-ARE","Weka RF classification","40","rdkit_fp","40","0.8146872649903548","0.814577393515258","0.8071064738613996","0.8223779275944068"
"SR-ARE","Weka RF classification","50","rdkit_fp","40","0.8243076593413217","0.8222621295713449","0.8218435771069974","0.8288172713456228"
"SR-ARE","Weka RF classification","60","rdkit_fp","40","0.8289125348758927","0.8253084076967653","0.8276027677192723","0.8338264292116402"
"SR-ARE","Weka RF classification","70","rdkit_fp","40","0.8354292945471345","0.8303796238012339","0.8350556040590181","0.8408526557811514"
"SR-ARE","Weka RF classification","30","cdk_fp","40","0.8016870464662048","0.7923100183902935","0.798658918833816","0.8140922021745046"
"SR-ARE","Weka RF classification","40","cdk_fp","40","0.8200806535022972","0.8150471791264061","0.8172293864231567","0.8279653949573288"
"SR-ARE","Weka RF classification","50","cdk_fp","40","0.8285192220460345","0.8232040150084527","0.82737138231706","0.8349822688125906"
"SR-ARE","Weka RF classification","60","cdk_fp","40","0.8310737160083516","0.8252158391034369","0.823607195052326","0.844398113869292"
"SR-ARE","Weka RF classification","70","cdk_fp","40","0.8335925796641006","0.8299568938917098","0.8226418965015511","0.8481789485990409"
"SR-ARE","Weka RF classification","30","rdkit_desc","40","0.8585904117958981","0.8590535169894224","0.853615734843461","0.8631019835548108"
"SR-ARE","Weka RF classification","40","rdkit_desc","40","0.8632013657364754","0.8611370817442396","0.8593987796209093","0.8690682358442775"
"SR-ARE","Weka RF classification","50","rdkit_desc","40","0.863698102494617","0.8651144456375512","0.8584485887080741","0.8675312731382253"
"SR-ARE","Weka RF classification","60","rdkit_desc","40","0.8645320201530948","0.8632484170770546","0.8596325504396322","0.8707150929425977"
"SR-ARE","Weka RF classification","70","rdkit_desc","40","0.8649695039600095","0.8634050122807668","0.860656689264512","0.8708468103347493"
"SR-ARE","Weka RF classification","30","cdk_desc","40","0.8571293606821734","0.8640776773922813","0.8505043565656996","0.8568060480885391"
"SR-ARE","Weka RF classification","40","cdk_desc","40","0.8617086532431671","0.8641123906147788","0.8567167763163126","0.86429679279841"
"SR-ARE","Weka RF classification","50","cdk_desc","40","0.8634535694017278","0.8638323706199628","0.8626882689986497","0.8638400685865708"
"SR-ARE","Weka RF classification","60","cdk_desc","40","0.8648336131616471","0.8643885535848732","0.8636480015775552","0.8664642843225128"
"SR-ARE","Weka RF classification","70","cdk_desc","40","0.8666244244856102","0.8648706816751217","0.8653996924402962","0.8696028993414128"
"SR-ARE","Weka RF classification","30","rdkit_fp","50","0.8274081626226266","0.8248262796065218","0.8179617092940533","0.8394364989673049"
"SR-ARE","Weka RF classification","40","rdkit_fp","50","0.8317196711469643","0.8295943335678442","0.8193388897635383","0.8462257901095106"
"SR-ARE","Weka RF classification","50","rdkit_fp","50","0.837537573602637","0.8305138482615626","0.8322559202062191","0.8498429523401292"
"SR-ARE","Weka RF classification","60","rdkit_fp","50","0.8427713646632777","0.831638556670493","0.8450703777386502","0.8516051595806898"
"SR-ARE","Weka RF classification","70","rdkit_fp","50","0.8468420845093098","0.836581719554191","0.8462702422469905","0.8576742917267473"
"SR-ARE","Weka RF classification","30","cdk_fp","50","0.8127915897487744","0.8100554177312029","0.8171498725392439","0.8111694789758764"
"SR-ARE","Weka RF classification","40","cdk_fp","50","0.8236592897796133","0.8208851717455926","0.8252690352262356","0.8248236623670118"
"SR-ARE","Weka RF classification","50","cdk_fp","50","0.8311162104413806","0.8263613754458717","0.8321000729937444","0.8348871828845259"
"SR-ARE","Weka RF classification","60","cdk_fp","50","0.8345213187363741","0.8353875847002671","0.8301201772841542","0.8380561942247013"
"SR-ARE","Weka RF classification","70","cdk_fp","50","0.8356395731444605","0.8398200775107646","0.8272163302434173","0.8398823116791997"
"SR-ARE","Weka RF classification","30","rdkit_desc","50","0.8585904117958981","0.8590535169894224","0.853615734843461","0.8631019835548108"
"SR-ARE","Weka RF classification","40","rdkit_desc","50","0.8632013657364754","0.8611370817442396","0.8593987796209093","0.8690682358442775"
"SR-ARE","Weka RF classification","50","rdkit_desc","50","0.863698102494617","0.8651144456375512","0.8584485887080741","0.8675312731382253"
"SR-ARE","Weka RF classification","60","rdkit_desc","50","0.8645320201530948","0.8632484170770546","0.8596325504396322","0.8707150929425977"
"SR-ARE","Weka RF classification","70","rdkit_desc","50","0.8649695039600095","0.8634050122807668","0.860656689264512","0.8708468103347493"
"SR-ARE","Weka RF classification","30","cdk_desc","50","0.8571293606821734","0.8640776773922813","0.8505043565656996","0.8568060480885391"
"SR-ARE","Weka RF classification","40","cdk_desc","50","0.8617086532431671","0.8641123906147788","0.8567167763163126","0.86429679279841"
"SR-ARE","Weka RF classification","50","cdk_desc","50","0.8634535694017278","0.8638323706199628","0.8626882689986497","0.8638400685865708"
"SR-ARE","Weka RF classification","60","cdk_desc","50","0.8648336131616471","0.8643885535848732","0.8636480015775552","0.8664642843225128"
"SR-ARE","Weka RF classification","70","cdk_desc","50","0.8666244244856102","0.8648706816751217","0.8653996924402962","0.8696028993414128"
