"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.8287910961700008","0.8181057997309336","0.829132614845869","0.8391348739332001"
"SR-ARE","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.83200198555059","0.8259594734698348","0.832263076455778","0.8377834067261573"
"SR-ARE","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.8345743962422009","0.8290281223386505","0.8332220138958428","0.8414730524921096"
"SR-ARE","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.8368242849518808","0.8332646782932793","0.8346564443617418","0.8425517322006214"
"SR-ARE","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8374933515350058","0.8356128349440239","0.8345594374233606","0.8423077822376328"
"SR-ARE","Weka RF on folded fp classification","30","cdk_fp","500","15","0.8309878065121046","0.8336449809308694","0.8216909104498729","0.8376275281555715"
"SR-ARE","Weka RF on folded fp classification","40","cdk_fp","500","15","0.8307699866145075","0.8360463645227887","0.8202930563705741","0.8359705389501595"
"SR-ARE","Weka RF on folded fp classification","50","cdk_fp","500","15","0.8338070272178687","0.8391458695893659","0.8228987263466073","0.8393764857176328"
"SR-ARE","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8353939232325862","0.8406393095617152","0.8249470039963659","0.8405954561396777"
"SR-ARE","Weka RF on folded fp classification","70","cdk_fp","500","15","0.8361917698250204","0.8397529652806076","0.8274365837018777","0.8413857604925757"
"SR-ARE","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8243017120045195","0.8280484380592699","0.8170806954602315","0.8277760024940568"
"SR-ARE","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8318924190645168","0.8337676343170288","0.8242735213995709","0.8376361014769508"
"SR-ARE","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8337177473385678","0.8355009812270852","0.8258081393592142","0.8398441214294041"
"SR-ARE","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8339342331721404","0.8371656730970904","0.8253517296655074","0.8392852967538238"
"SR-ARE","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8354525297023194","0.8371386739240416","0.8294761148244013","0.839742800358515"
"SR-ARE","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.8221548050952556","0.8198291183767171","0.8088168175045035","0.8378184794045463"
"SR-ARE","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8296282540199108","0.8284403117710207","0.814281011607438","0.8461634386812736"
"SR-ARE","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.8302342917329066","0.8276719924464006","0.8207168653718577","0.8423140173804614"
"SR-ARE","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8316160112950571","0.8288229286234338","0.82054909107679","0.8454760141849473"
"SR-ARE","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.833130716601198","0.8294523950580727","0.8243546255611635","0.8455851291843579"
"SR-ARE","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.8051890558324698","0.802979320176246","0.7954910856984697","0.8170967616226938"
"SR-ARE","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.812521840951498","0.808715487342791","0.8034098733979941","0.8254401621137091"
"SR-ARE","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.818639234428367","0.8140219819552978","0.8075923036921457","0.834303417637657"
"SR-ARE","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8200645516484716","0.817007319090108","0.8110527479203149","0.8321335879349915"
"SR-ARE","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8223185551733846","0.8207062057984926","0.8107434389118718","0.835506020809789"
"SR-ARE","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.812911201755112","0.8168584379358407","0.8000997104104363","0.8217754569190593"
"SR-ARE","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.8176475429848472","0.8190769985559264","0.8093630778870237","0.8245025525115915"
