"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ATAD5","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.643643330627336","0.635341784963538","0.6405870102690892","0.655001196649381"
"SR-ATAD5","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8194038998860361","0.83387615809827","0.7835728770205603","0.8407626645392782"
"SR-ATAD5","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.7753295111679938","0.7966077777489474","0.732128262735488","0.7972524930195459"
"SR-ATAD5","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.72877869240593","0.7531628733812594","0.6836159641077791","0.7495572397287513"
"SR-ATAD5","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6531948375884411","0.6347708457685624","0.6595675561072532","0.6652461108895078"
"SR-ATAD5","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8182900396789425","0.8335987984325265","0.7842055048883163","0.8370658157159849"
"SR-ATAD5","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.7719683584718987","0.7925236161212437","0.7316016427806948","0.7917798165137577"
"SR-ATAD5","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7230238883955509","0.7457974333688063","0.6813675704696209","0.7419066613482254"
"SR-ATAD5","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6431425316060528","0.6346216230244209","0.6401270727111695","0.654678899082568"
"SR-ATAD5","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.798344633148463","0.769145926867889","0.7910925996217768","0.8347953729557236"
"SR-ATAD5","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.7406898387419393","0.7013322995873685","0.7431257288043893","0.77761148783406"
"SR-ATAD5","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.6549174501174361","0.6280963719409414","0.6687150131142013","0.6679409652971656"
"SR-ATAD5","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.652662097252699","0.634058793761192","0.6591281362099098","0.6647993617869948"
"SR-ATAD5","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.8024021255168544","0.7727645784133033","0.7901641754807005","0.8442776226565594"
"SR-ATAD5","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.7409766281704186","0.6964436327303943","0.7417937906719729","0.7846924611088884"
"SR-ATAD5","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.6386669158500988","0.6115456232320386","0.6512664525990723","0.6531886717191855"
