"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ATAD5","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8509777372608087","0.8805228635195824","0.7889177276006986","0.8834926206621451"
"SR-ATAD5","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8403958664793113","0.871311603041548","0.7954970574255128","0.8543789389708731"
"SR-ATAD5","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8437675665387024","0.8715273272260151","0.8006401510099795","0.8591352213801124"
"SR-ATAD5","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8493470552447026","0.8862257675239396","0.7886698058687397","0.8731455923414285"
"SR-ATAD5","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8436189460104714","0.8749626943139559","0.7943720057039128","0.8615221380135454"
"SR-ATAD5","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8384043700965497","0.8622674071575063","0.7873070912454444","0.8656386118866983"
"SR-ATAD5","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8440660185740706","0.8744193288869399","0.7869035772541165","0.8708751495811555"
"SR-ATAD5","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.846681514994763","0.8676053642332593","0.7882748409026404","0.8841643398483893"
"SR-ATAD5","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8476275357714345","0.8632227571172792","0.8123283783183065","0.8673314718787176"
"SR-ATAD5","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8535646607011267","0.8788976331975134","0.8204225954156693","0.8613737534901973"
"SR-ATAD5","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.854447524005069","0.8637288168582823","0.8311430730667984","0.868470682090126"
"SR-ATAD5","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8464795739598957","0.8466979601899773","0.8240849978285365","0.8686557638611733"
"SR-ATAD5","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8583779121574646","0.8733893675550719","0.8381943090848737","0.8635500598324483"
"SR-ATAD5","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8552920696022209","0.8684325772714276","0.8249330611323714","0.8725105704028637"
"SR-ATAD5","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8460904995870479","0.85867308540731","0.8231069893410782","0.8564914240127551"
"SR-ATAD5","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8628326299928721","0.8848357252225361","0.8220793965071947","0.8815827682488855"
"SR-ATAD5","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.846740284962788","0.867318272649423","0.8195591438663957","0.8533434383725452"
"SR-ATAD5","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.8392853579676789","0.8589277372641667","0.8252801515571088","0.8336481850817612"
"SR-ATAD5","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8583501766517715","0.8905272753224541","0.812928519890153","0.871594734742707"
"SR-ATAD5","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.8437642264888985","0.8586130719124064","0.820520054303414","0.8521595532508749"
"SR-ATAD5","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.8426056655862144","0.8601377390807887","0.8156984040679656","0.8519808536098887"
"SR-ATAD5","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8543797842596127","0.8686499234422406","0.8270686076373605","0.8674208216992372"
"SR-ATAD5","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.8445487636721976","0.8594532608413619","0.8278619571796284","0.8463310729956024"
"SR-ATAD5","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.8466423718522025","0.8673863960760858","0.8162694789539932","0.8562712405265283"
"SR-ATAD5","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.8501745669553579","0.8562871434874013","0.8354603308130655","0.8587762265656071"
"SR-ATAD5","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.8486840793309831","0.8724567254041996","0.827277203853215","0.8463183087355344"
"SR-ATAD5","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.8462175302991825","0.8682979524044182","0.8011308650587591","0.86922377343437"
"SR-ATAD5","Smile SVC Poly classification","2","1.0","cdk_fp","MaxMin","0.0","0.8589051669877538","0.8702135182830378","0.8373547948062989","0.8691471878739245"
"SR-ATAD5","Smile SVC Poly classification","3","1.0","cdk_fp","MaxMin","0.0","0.8424387283833074","0.8624588015467154","0.8140843481026259","0.8507730355005805"
"SR-ATAD5","Smile SVC Poly classification","4","1.0","cdk_fp","MaxMin","0.0","0.834343370961678","0.862578828536578","0.8119710290632666","0.8284802552851896"
"SR-ATAD5","Smile SVC Poly classification","2","1.0E-4","rdkit_desc","MaxMin","0.0","0.737560273559898","0.7494485246412288","0.6718354073268575","0.7913968887116076"
"SR-ATAD5","Smile SVC Poly classification","3","1.0E-4","rdkit_desc","MaxMin","0.0","0.7339470405607562","0.7797958892378003","0.7215873146143938","0.7004579178300743"
"SR-ATAD5","Smile SVC Poly classification","4","1.0E-4","rdkit_desc","MaxMin","0.0","0.7721362035893428","0.7863600679936698","0.8076041869706094","0.7224443558037489"
"SR-ATAD5","Smile SVC Poly classification","2","0.001","rdkit_desc","MaxMin","0.0","0.7667207975065585","0.7812378351023777","0.7277255147368168","0.7911990426804812"
"SR-ATAD5","Smile SVC Poly classification","3","0.001","rdkit_desc","MaxMin","0.0","0.7881519959237641","0.7983481691018108","0.8255126850436394","0.7405951336258422"
"SR-ATAD5","Smile SVC Poly classification","4","0.001","rdkit_desc","MaxMin","0.0","0.8062760543898263","0.7849505618560824","0.8178424995982022","0.8160351017151942"
"SR-ATAD5","Smile SVC Poly classification","2","0.01","rdkit_desc","MaxMin","0.0","0.7984933369332143","0.8158931954428734","0.7844021324688643","0.7951846828879051"
"SR-ATAD5","Smile SVC Poly classification","3","0.01","rdkit_desc","MaxMin","0.0","0.818616371059904","0.8008703578750503","0.8395467648778813","0.8154319904267803"
"SR-ATAD5","Smile SVC Poly classification","4","0.01","rdkit_desc","MaxMin","0.0","0.8148591621410465","0.7927977318142839","0.8334119843655433","0.8183677702433122"
"SR-ATAD5","Smile SVC Poly classification","2","0.1","rdkit_desc","MaxMin","0.0","0.8217632088991813","0.8171129291775839","0.8225684007509262","0.8256082967690335"
"SR-ATAD5","Smile SVC Poly classification","3","0.1","rdkit_desc","MaxMin","0.0","0.8277294212930458","0.7989856097370986","0.8427953944691402","0.8414072596728988"
"SR-ATAD5","Smile SVC Poly classification","4","0.1","rdkit_desc","MaxMin","0.0","0.8406120629685949","0.8207915942179465","0.8501885914967959","0.8508560031910424"
"SR-ATAD5","Smile SVC Poly classification","2","1.0","rdkit_desc","MaxMin","0.0","0.8271465724185293","0.8152216930942274","0.8312439515646481","0.834974072596712"
"SR-ATAD5","Smile SVC Poly classification","3","1.0","rdkit_desc","MaxMin","0.0","0.8385251980779488","0.8064467469441878","0.857369772698538","0.8517590745911201"
"SR-ATAD5","Smile SVC Poly classification","4","1.0","rdkit_desc","MaxMin","0.0","0.8376221887259705","0.8087013079697948","0.8605465904777643","0.8436186677303525"
"SR-ATAD5","Smile SVC Poly classification","2","1.0E-4","cdk_desc","MaxMin","0.0","0.7865584669828928","0.8054346274621683","0.8259025205946152","0.7283382528918948"
"SR-ATAD5","Smile SVC Poly classification","3","1.0E-4","cdk_desc","MaxMin","0.0","0.799592140753346","0.8287068876028156","0.8077272929340602","0.7623422417231619"
"SR-ATAD5","Smile SVC Poly classification","4","1.0E-4","cdk_desc","MaxMin","0.0","0.8093664784966239","0.7900922585835489","0.8452062195868253","0.7928009573194975"
"SR-ATAD5","Smile SVC Poly classification","2","0.001","cdk_desc","MaxMin","0.0","0.8121288546283191","0.8344341214024095","0.8055455816927652","0.7964068607897823"
"SR-ATAD5","Smile SVC Poly classification","3","0.001","cdk_desc","MaxMin","0.0","0.8156402084601891","0.8142793190252405","0.8344857419356922","0.7981555644196346"
"SR-ATAD5","Smile SVC Poly classification","4","0.001","cdk_desc","MaxMin","0.0","0.8324208361569645","0.8218085796589768","0.8340753887241857","0.8413785400877309"
"SR-ATAD5","Smile SVC Poly classification","2","0.01","cdk_desc","MaxMin","0.0","0.8238783386116775","0.8412756598240382","0.8224008398562266","0.8079585161547675"
