"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6488840774567829","0.648139257260016","0.6408280927808602","0.6576848823294722"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.6951038484920814","0.7225024654192512","0.6708744968898617","0.6919345831671314"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.6984504724974623","0.7255615316741416","0.6747472053236461","0.6950426804945992"
"SR-ATAD5","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7434590578822092","0.766300962811098","0.7240203671977252","0.7400558436378045"
"SR-ATAD5","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8332630947708646","0.8589374691822681","0.7886954529444573","0.8521563621858683"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.6539500485918571","0.6881877222121304","0.6082392085654437","0.6654232149979972"
"SR-ATAD5","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.801914469780728","0.8110207484493729","0.7694191108329884","0.8253035500598226"
"SR-ATAD5","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7635983212821685","0.7906258920925064","0.7232612137564116","0.7769078579975878"
"SR-ATAD5","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7503236542916504","0.7593767030856725","0.7266449179464477","0.7649493418428309"
"SR-ATAD5","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7409854088226909","0.7455914411024375","0.7250377012013107","0.7523270841643248"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.6007719818253937","0.607231139542734","0.6067704860291843","0.5883143199042629"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6300419872830504","0.6185655801520854","0.6073689177959927","0.6641914639010733"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6250000727423101","0.6275481405548482","0.6300990661044769","0.6173530115676052"
"SR-ATAD5","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.6895525380273216","0.6970356577479192","0.6674241103029414","0.7041978460311044"
"SR-ATAD5","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.8325373617405235","0.8436826875664996","0.7933119265741116","0.8606174710809592"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.6493440789302259","0.6260040095502544","0.6278216057805162","0.6942066214599074"
"SR-ATAD5","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.792799275870009","0.8072853138868024","0.7839182576402592","0.7871942560829652"
"SR-ATAD5","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7783796222013833","0.7930329198349513","0.7392547301756601","0.8028512165935386"
"SR-ATAD5","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7560716212927723","0.7629223652453764","0.732502710040999","0.7727897885919415"
"SR-ATAD5","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7445255178864426","0.7477065113019953","0.7220934169086015","0.7637766254487309"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.6691904107305632","0.6330369423610857","0.7032650437197209","0.6712692461108831"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.6336712685599241","0.6920123660239201","0.7090014396558518","0.5"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.605148995712061","0.6223788700594328","0.513498910854184","0.6795692062225666"
"SR-ATAD5","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.7389973751615381","0.7662539252069908","0.8505339721164795","0.6002042281611438"
"SR-ATAD5","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8541457998927259","0.8461983883943773","0.860002872472486","0.8562361388113142"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.6603765838014285","0.518550657877663","0.7320102861871786","0.7305688073394438"
"SR-ATAD5","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.7525540934315385","0.7783701632367087","0.8048924361644161","0.6743996808934907"
"SR-ATAD5","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.8531448781337444","0.8254629149041155","0.8610526927719591","0.8729190267251585"
"SR-ATAD5","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.8658623917466791","0.8507253522954397","0.8548187435668629","0.8920430793777347"
"SR-ATAD5","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8242377371181947","0.8263566293825955","0.8075340849636279","0.838822497008361"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.5880958450733368","0.5342514857394967","0.5466981954717463","0.6833378540087675"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.5348844254534061","0.5791156281628693","0.5255376481973487","0.5"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.7606564952536985","0.7441770690057857","0.7863444710034263","0.7514479457518835"
"SR-ATAD5","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.8194599855853083","0.8211678950510102","0.8460098279594098","0.7912022337455049"
"SR-ATAD5","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.8619785061967958","0.852919899826142","0.8729597751264438","0.8600558436378019"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.778066746844714","0.7763637661225521","0.7727036463302335","0.7851328280813563"
"SR-ATAD5","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.8304042229770771","0.8306792230036724","0.8329434977823774","0.8275899481451816"
"SR-ATAD5","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.8600669258059762","0.8564039265045573","0.852527604802496","0.8712692461108758"
"SR-ATAD5","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.8519273353894662","0.8505566657151058","0.8431527437241437","0.8620725967291489"
"SR-ATAD5","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.001","0.8157116326691223","0.8218669711675812","0.7983592710759234","0.8269086557638622"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.01","0.6561470304974829","0.6607112734539184","0.6237505599611516","0.6839792580773784"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.01","0.654833216345817","0.6626122414553713","0.6745591267683664","0.6273282808137133"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.01","0.6860184570451867","0.6808011963771413","0.6820104571676794","0.6952437175907394"
"SR-ATAD5","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.01","0.7405515368243932","0.74509997923857","0.7328737377364181","0.7436808934981918"
"SR-ATAD5","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.01","0.8299311172693761","0.8530610126385239","0.7840191361380996","0.8527132030315044"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.01","0.6540419697068377","0.6857742065242727","0.6114741597163129","0.6648775428799274"
"SR-ATAD5","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.01","0.8095394449322829","0.839658539433746","0.7609709640906732","0.8279888312724294"
"SR-ATAD5","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.01","0.7646671070664007","0.7890639192380581","0.7167092408123652","0.7882281611487788"
"SR-ATAD5","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.01","0.748714403645553","0.7555812550281615","0.727313451720232","0.7632485041882654"
"SR-ATAD5","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.01","0.7396304168663778","0.7438737575584676","0.7222883346840748","0.7527291583565907"
"SR-ATAD5","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.01","0.6006744349198387","0.6070754288531975","0.6058198344224782","0.5891280414838405"
"SR-ATAD5","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.01","0.6058949098527674","0.6161196247372415","0.6063772308681351","0.5951878739529256"
"SR-ATAD5","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.01","0.6737485699983412","0.6264451898372855","0.6179389326029038","0.7768615875548345"
