"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8890474741100288","0.8851195728336957","0.875473188547062","0.906549660949329"
"SR-ATAD5","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8895310306653695","0.8883505696416188","0.8751671334434419","0.905075388911048"
"SR-ATAD5","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.892058093424998","0.8872735707056264","0.8823414754249839","0.9065592341443837"
"SR-ATAD5","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8895261303554309","0.8801335867957407","0.8833981349446602","0.9050466693258918"
"SR-ATAD5","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8882538377549046","0.889726014065891","0.8668711593504085","0.9081643398484142"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8866175527021115","0.8784629408559","0.8764802637203385","0.9049094535300963"
"SR-ATAD5","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8903239256109825","0.8829720629071208","0.8792928930243527","0.9087068209014739"
"SR-ATAD5","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8901783122162269","0.8888631173279998","0.8773112289736812","0.9043605903469998"
"SR-ATAD5","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8923544965260576","0.8883440816962088","0.8767162168169552","0.9120031910650086"
"SR-ATAD5","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8840886941037827","0.8887138945838818","0.8641217928331755","0.8994303948942909"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8900339128611328","0.8861122284794843","0.8713098132550986","0.9126796968488154"
"SR-ATAD5","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8878031494206531","0.8847497599460225","0.8760733301188972","0.9025863581970395"
"SR-ATAD5","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8911955813289323","0.8807726494173828","0.8887087894238301","0.9041053051455838"
"SR-ATAD5","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.8858201084559515","0.8917178133028835","0.8685809643984416","0.8971615476665292"
"SR-ATAD5","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.8865222278335327","0.8883700334777893","0.875799761311209","0.8953968887116001"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8874139919145495","0.8892588819972528","0.8746217056331252","0.8983613881132703"
"SR-ATAD5","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8920319956134538","0.8841301611605702","0.8867117371277453","0.9052540885520459"
"SR-ATAD5","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8893461518281103","0.888697674720365","0.8755928749003977","0.9037479058635681"
"SR-ATAD5","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8941174099811166","0.8919092076921028","0.8842667159090347","0.9061763063422119"
"SR-ATAD5","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8793965340758576","0.8881786390885703","0.8504433524489525","0.89956761069005"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.8984052975021551","0.9025234863623339","0.8824953578792935","0.910197048264838"
"SR-ATAD5","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.898783169303449","0.8981992707549417","0.8829655542675104","0.915184682887895"
"SR-ATAD5","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.9003422413340636","0.8964507694703194","0.8889891974517071","0.9155867570801641"
"SR-ATAD5","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.902005726637285","0.896830314276071","0.896912434044264","0.91227443159152"
"SR-ATAD5","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8956735267021708","0.8937063685672126","0.8767828992138226","0.9165313123254776"
"SR-ATAD5","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8980377135448272","0.8825081748112059","0.8973073990103695","0.9142975668129065"
