"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ATAD5","Weka RF classification","30","rdkit_fp","15","0.8047135140560697","0.8022766200399661","0.8025380346132881","0.8093258875149549"
"SR-ATAD5","Weka RF classification","40","rdkit_fp","15","0.8195002624925367","0.8224135805673061","0.8001254996905229","0.8359617072197812"
"SR-ATAD5","Weka RF classification","50","rdkit_fp","15","0.8256371569794073","0.825745140528906","0.79997845645639","0.8511878739529257"
"SR-ATAD5","Weka RF classification","60","rdkit_fp","15","0.8418432733291863","0.8499257130252035","0.8077939753309348","0.8678101316314207"
"SR-ATAD5","Weka RF classification","70","rdkit_fp","15","0.8537019308984416","0.8549765785171205","0.8323501954307136","0.8737790187474908"
"SR-ATAD5","Weka RF classification","30","cdk_fp","15","0.7773709917346534","0.8286501180806114","0.7476686808170118","0.7557941763063369"
"SR-ATAD5","Weka RF classification","40","cdk_fp","15","0.8045725305993582","0.8200535904289851","0.7552738936706451","0.8383901076984445"
"SR-ATAD5","Weka RF classification","50","cdk_fp","15","0.8104033858368168","0.8445958658811972","0.7714024846886887","0.8152118069405647"
"SR-ATAD5","Weka RF classification","60","cdk_fp","15","0.8191495267878567","0.8447921262294633","0.793029808741207","0.8196266453928993"
"SR-ATAD5","Weka RF classification","70","cdk_fp","15","0.8309124792401196","0.8480652946824849","0.8010949591527565","0.8435771838851174"
"SR-ATAD5","Weka RF classification","30","rdkit_desc","15","0.8706676711932243","0.8684341992577791","0.8494020811747047","0.8941667331471891"
"SR-ATAD5","Weka RF classification","40","rdkit_desc","15","0.8726666625212295","0.8755676952222775","0.8497765284802202","0.8926557638611907"
"SR-ATAD5","Weka RF classification","50","rdkit_desc","15","0.8827258472068052","0.8758807385877025","0.8626103251707241","0.9096864778619889"
"SR-ATAD5","Weka RF classification","60","rdkit_desc","15","0.8887656439001166","0.8838365816313276","0.870918267899095","0.9115420821699273"
"SR-ATAD5","Weka RF classification","70","rdkit_desc","15","0.8920482075298377","0.8838884851945075","0.8811959060427893","0.9110602313522166"
"SR-ATAD5","Weka RF classification","30","cdk_desc","15","0.877775373880651","0.8777963044662966","0.8824081578218446","0.8731216593538114"
"SR-ATAD5","Weka RF classification","40","cdk_desc","15","0.8807252108152985","0.8823086704902312","0.8787628534594497","0.8811041084962146"
"SR-ATAD5","Weka RF classification","50","cdk_desc","15","0.886987586621964","0.8827985103677364","0.8867561920589809","0.8914080574391746"
"SR-ATAD5","Weka RF classification","60","cdk_desc","15","0.8888106497421281","0.887687177224715","0.8859884895924104","0.8927562824092589"
"SR-ATAD5","Weka RF classification","70","cdk_desc","15","0.8870066835602085","0.88639932006332","0.8838221665965585","0.8907985640207474"
"SR-ATAD5","Weka RF classification","30","rdkit_fp","20","0.8199594060819061","0.8051605117691343","0.8238952094682139","0.8308224970083697"
"SR-ATAD5","Weka RF classification","40","rdkit_fp","20","0.8334411554634743","0.8244053798043258","0.8269113055729433","0.8490067810131537"
"SR-ATAD5","Weka RF classification","50","rdkit_fp","20","0.8416477941768505","0.8466622764902814","0.8258375480027796","0.8524435580374903"
"SR-ATAD5","Weka RF classification","60","rdkit_fp","20","0.8472629781323014","0.8477052137129334","0.8335077334482414","0.8605759872357296"
"SR-ATAD5","Weka RF classification","70","rdkit_fp","20","0.8559148923582333","0.8494423610930967","0.8469245736601068","0.8713777423214963"
"SR-ATAD5","Weka RF classification","30","cdk_fp","20","0.8032294783265086","0.8409399086497247","0.7636587776261755","0.8050897487036256"
"SR-ATAD5","Weka RF classification","40","cdk_fp","20","0.8287814001753141","0.842303999169545","0.7788196189870382","0.8652205823693595"
"SR-ATAD5","Weka RF classification","50","cdk_fp","20","0.8435178031681513","0.8594029792645268","0.8060191976910732","0.8651312325488539"
"SR-ATAD5","Weka RF classification","60","cdk_fp","20","0.8525715040610434","0.8672874549087836","0.8179707349767901","0.8724563222975567"
"SR-ATAD5","Weka RF classification","70","cdk_fp","20","0.8532658759343935","0.8627507590896197","0.8189487434642637","0.8780981252492972"
"SR-ATAD5","Weka RF classification","30","rdkit_desc","20","0.8626508617707921","0.8719555316222459","0.838310575828144","0.8776864778619865"
"SR-ATAD5","Weka RF classification","40","rdkit_desc","20","0.8625942794536412","0.8798513611709442","0.8348704480715108","0.8730610291184684"
"SR-ATAD5","Weka RF classification","50","rdkit_desc","20","0.8699848094376627","0.8749221446552304","0.8533585700558423","0.8816737136019148"
"SR-ATAD5","Weka RF classification","60","rdkit_desc","20","0.8796896131859091","0.8796826745906106","0.8668181553939218","0.8925680095731952"
"SR-ATAD5","Weka RF classification","70","rdkit_desc","20","0.8849320138533248","0.8809607998339085","0.8817379142430177","0.8920973274830477"
"SR-ATAD5","Weka RF classification","30","cdk_desc","20","0.8623494133103559","0.8749935120546025","0.8612800968433576","0.8507746310331075"
"SR-ATAD5","Weka RF classification","40","cdk_desc","20","0.8650426557640033","0.8723464303324424","0.8640739182918367","0.8587076186677305"
"SR-ATAD5","Weka RF classification","50","cdk_desc","20","0.8787572042772341","0.8782780344120624","0.8768495816107047","0.8811439968089352"
"SR-ATAD5","Weka RF classification","60","cdk_desc","20","0.881509403283352","0.88352840422495","0.8801238582776791","0.880875947347427"
"SR-ATAD5","Weka RF classification","70","cdk_desc","20","0.8826252445521471","0.8894681182363167","0.8781028687109094","0.8803047467092151"
"SR-ATAD5","Weka RF classification","30","rdkit_fp","30","0.8300895833243359","0.8497408065813679","0.8206619681223982","0.8198659752692417"
"SR-ATAD5","Weka RF classification","40","rdkit_fp","30","0.8398320945767788","0.8622706511301992","0.8193078025243581","0.8379178300757791"
"SR-ATAD5","Weka RF classification","50","rdkit_fp","30","0.8501778969306736","0.8612812394570876","0.8309772219771504","0.8582752293577826"
"SR-ATAD5","Weka RF classification","60","rdkit_fp","30","0.8555853951768974","0.8661098928191485","0.8368760493928585","0.8637702433186851"
"SR-ATAD5","Weka RF classification","70","rdkit_fp","30","0.861455034808959","0.864818791685049","0.8478478683860446","0.871698444355783"
"SR-ATAD5","Weka RF classification","30","cdk_fp","30","0.8392651571559165","0.8577858588742207","0.8034049057726356","0.8566047068208933"
"SR-ATAD5","Weka RF classification","40","cdk_fp","30","0.8604705086979932","0.8683255261723792","0.8350995619479405","0.8779864379736598"
"SR-ATAD5","Weka RF classification","50","cdk_fp","30","0.8661628755451688","0.8737689123608371","0.8376642695199876","0.8870554447546817"
"SR-ATAD5","Weka RF classification","60","cdk_fp","30","0.8743545261910611","0.8861933277969617","0.8445958191846958","0.8922744315915259"
"SR-ATAD5","Weka RF classification","70","cdk_fp","30","0.8740959351307583","0.884555121584103","0.8461363535329618","0.8915963302752103"
"SR-ATAD5","Weka RF classification","30","rdkit_desc","30","0.8652665493325902","0.8640872758414866","0.8504519014741938","0.8812604706820902"
"SR-ATAD5","Weka RF classification","40","rdkit_desc","30","0.8691573552329258","0.8766041444995198","0.8506844349607259","0.880183486238532"
"SR-ATAD5","Weka RF classification","50","rdkit_desc","30","0.874966233024904","0.8735742739989101","0.8644381067670663","0.8868863183087357"
"SR-ATAD5","Weka RF classification","60","rdkit_desc","30","0.8841256153324344","0.883032076402045","0.8755928749004038","0.8937518946948545"
"SR-ATAD5","Weka RF classification","70","rdkit_desc","30","0.8896018756904281","0.8832786183271482","0.8921899525016157","0.8933370562425209"
"SR-ATAD5","Weka RF classification","30","cdk_desc","30","0.8698737121741805","0.8786721770949575","0.8628308900219197","0.8681180694056643"
"SR-ATAD5","Weka RF classification","40","cdk_desc","30","0.8741240348161092","0.8769382736874886","0.8612407713272532","0.8841930594335861"
"SR-ATAD5","Weka RF classification","50","cdk_desc","30","0.8837115746055225","0.8822340591181583","0.8731735007574435","0.8957271639409654"
"SR-ATAD5","Weka RF classification","60","cdk_desc","30","0.8868002306837005","0.887273570705629","0.8776600292034701","0.8954670921420025"
"SR-ATAD5","Weka RF classification","70","cdk_desc","30","0.8882122178629671","0.8912085095891832","0.8797767678529294","0.8936513761467891"
"SR-ATAD5","Weka RF classification","30","rdkit_fp","40","0.8297682347418437","0.8362637220045138","0.8191710181205044","0.8338699641005128"
"SR-ATAD5","Weka RF classification","40","rdkit_fp","40","0.8352606828719704","0.8353294578672834","0.8262786777051615","0.8441739130434662"
"SR-ATAD5","Weka RF classification","50","rdkit_fp","40","0.8588945826956986","0.8619138141333379","0.848907947515812","0.865861986437946"
"SR-ATAD5","Weka RF classification","60","rdkit_fp","40","0.8647519779744511","0.8692711442140577","0.8541638882334542","0.8708209014758411"
"SR-ATAD5","Weka RF classification","70","rdkit_fp","40","0.86835743820719","0.8713635066047276","0.8611056967284655","0.8726031112883771"
"SR-ATAD5","Weka RF classification","30","cdk_fp","40","0.8642927887699642","0.8697950458048904","0.839869918031933","0.8832134024730691"
"SR-ATAD5","Weka RF classification","40","cdk_fp","40","0.8749197087866101","0.8712499675602816","0.8669515201876645","0.886557638611884"
"SR-ATAD5","Weka RF classification","50","cdk_fp","40","0.8754623534947307","0.8745442218358207","0.8668711593504163","0.8849716792979551"
"SR-ATAD5","Weka RF classification","60","cdk_fp","40","0.8773076115186734","0.8842420782186913","0.8597429821051852","0.8879377742321437"
"SR-ATAD5","Weka RF classification","70","cdk_fp","40","0.879248412513951","0.8921151999585026","0.8546272454014785","0.8910027921818718"
"SR-ATAD5","Weka RF classification","30","rdkit_desc","40","0.8652665493325902","0.8640872758414866","0.8504519014741938","0.8812604706820902"
"SR-ATAD5","Weka RF classification","40","rdkit_desc","40","0.8691573552329258","0.8766041444995198","0.8506844349607259","0.880183486238532"
"SR-ATAD5","Weka RF classification","50","rdkit_desc","40","0.874966233024904","0.8735742739989101","0.8644381067670663","0.8868863183087357"
"SR-ATAD5","Weka RF classification","60","rdkit_desc","40","0.8841256153324344","0.883032076402045","0.8755928749004038","0.8937518946948545"
"SR-ATAD5","Weka RF classification","70","rdkit_desc","40","0.8896018756904281","0.8832786183271482","0.8921899525016157","0.8933370562425209"
"SR-ATAD5","Weka RF classification","30","cdk_desc","40","0.8693966765657805","0.8786721770949575","0.8613997831967198","0.8681180694056643"
"SR-ATAD5","Weka RF classification","40","cdk_desc","40","0.8739889602173149","0.8769382736874886","0.8608355475308704","0.8841930594335861"
"SR-ATAD5","Weka RF classification","50","cdk_desc","40","0.8836084163676247","0.8822340591181583","0.8728640260437504","0.8957271639409654"
"SR-ATAD5","Weka RF classification","60","cdk_desc","40","0.8867210097164753","0.887273570705629","0.8774223663017942","0.8954670921420025"
"SR-ATAD5","Weka RF classification","70","cdk_desc","40","0.8881215981954217","0.8912085095891832","0.8795049088502929","0.8936513761467891"
"SR-ATAD5","Weka RF classification","30","rdkit_fp","50","0.8428521910013411","0.8516142008148793","0.8330221488145926","0.8439202233745514"
"SR-ATAD5","Weka RF classification","40","rdkit_fp","50","0.8535886559036158","0.8645252121558207","0.8423628137919716","0.8538779417630553"
"SR-ATAD5","Weka RF classification","50","rdkit_fp","50","0.86342034719683","0.8623160667479799","0.8593514367491816","0.8685935380933285"
"SR-ATAD5","Weka RF classification","60","rdkit_fp","50","0.8636680058630845","0.8634125295201335","0.8582879380093065","0.8693035500598135"
"SR-ATAD5","Weka RF classification","70","rdkit_fp","50","0.8663421045760732","0.8717868450419161","0.8526866166719651","0.8745528520143385"
"SR-ATAD5","Weka RF classification","30","cdk_fp","50","0.8526998386424985","0.8506053253055827","0.8266086700794373","0.8808855205424757"
"SR-ATAD5","Weka RF classification","40","cdk_fp","50","0.86360173774661","0.8601977525757113","0.8529704443099358","0.8776370163541828"
"SR-ATAD5","Weka RF classification","50","cdk_fp","50","0.8702288136245603","0.865475696156538","0.8615793127267484","0.8836314319903945"
"SR-ATAD5","Weka RF classification","60","cdk_fp","50","0.8746676275388245","0.8713716165364915","0.8656332604956507","0.8869980055843315"
"SR-ATAD5","Weka RF classification","70","cdk_fp","50","0.8757563562336562","0.8745474658085326","0.8660538725374534","0.8866677303549827"
"SR-ATAD5","Weka RF classification","30","rdkit_desc","50","0.8652665493325902","0.8640872758414866","0.8504519014741938","0.8812604706820902"
"SR-ATAD5","Weka RF classification","40","rdkit_desc","50","0.8691573552329258","0.8766041444995198","0.8506844349607259","0.880183486238532"
"SR-ATAD5","Weka RF classification","50","rdkit_desc","50","0.874966233024904","0.8735742739989101","0.8644381067670663","0.8868863183087357"
"SR-ATAD5","Weka RF classification","60","rdkit_desc","50","0.8841256153324344","0.883032076402045","0.8755928749004038","0.8937518946948545"
