"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.5240773320028219","0.5117311641130953","0.5008386197941326","0.5596622121012381"
"SR-HSE","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.7369774308380054","0.7359485073448159","0.7761696717209389","0.6988141134482617"
"SR-HSE","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.7025727076081729","0.6910661822776801","0.7433383830869347","0.6733135574599037"
"SR-HSE","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.6695723842633776","0.6537766545569405","0.7054195804195875","0.649520917813605"
"SR-HSE","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.5402389497017496","0.5163481282577802","0.5287193464176057","0.5756493744298627"
"SR-HSE","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.727397942469192","0.7266687727057365","0.7553292935304675","0.7001957611713723"
"SR-HSE","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.6954494833146497","0.6850813457589683","0.7226400292164341","0.678627074968547"
"SR-HSE","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.6624126095363332","0.6469941557415901","0.6854009143661084","0.6548427585013011"
"SR-HSE","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.5240869443819437","0.5118369925762133","0.500811567542709","0.5596122730269087"
"SR-HSE","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.6745589401158368","0.713018480492819","0.6704444008602608","0.6402139389944305"
"SR-HSE","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.6129841845453368","0.650314326330755","0.6093299833628653","0.5793082439423899"
"SR-HSE","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.5501461685521246","0.578578423629759","0.5497254196480477","0.5221346623785675"
"SR-HSE","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.5403839780342843","0.5168346232822628","0.5285164545319285","0.5758008562886616"
"SR-HSE","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.6651193103489671","0.7059895751066204","0.6547642396288438","0.6346041163114371"
"SR-HSE","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.6017828169733908","0.6419428210393318","0.5888615736294659","0.5745440562513747"
"SR-HSE","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.5347831575456946","0.5682388248302046","0.5255085823267646","0.5106020654801148"
