"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.7677472796378426","0.7620060022113438","0.7580446632671037","0.7831911734350802"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.7551233397816218","0.7462770494392628","0.7520204650282142","0.7670725048773884"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.7425550313031318","0.7339946296003816","0.7515774844111486","0.7420929798978652"
"SR-HSE","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.7696980122378907","0.767082609382398","0.7661146880199097","0.7758967393113646"
"SR-HSE","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.7623007910434799","0.7562912652029647","0.7711193545332858","0.7594917533941892"
"SR-HSE","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.7481932146508651","0.7377475912178159","0.7495942162286485","0.7572378365061306"
"SR-HSE","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.7711104649208398","0.7653482862107034","0.7764959895037193","0.771487119048097"
"SR-HSE","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.7609498181713029","0.7416585057652777","0.7757131649781589","0.7654777837704723"
"SR-HSE","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.7474609955542645","0.7364523771915896","0.7599856623067452","0.7459449471644584"
"SR-HSE","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.7852528495795913","0.7756089085452461","0.8112293895659574","0.7689202506275702"
"SR-HSE","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.7611776276014156","0.7565471489496198","0.7736098524299684","0.7533758814246584"
"SR-HSE","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.7423383054909225","0.7304406886747766","0.7631440126604521","0.7334302151375385"
"SR-HSE","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.7855012486816889","0.781718527878696","0.8137520120112157","0.7610332061551549"
"SR-HSE","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.7612293157014837","0.7490127941873318","0.7658847438828085","0.7687904090343104"
"SR-HSE","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.7460975180812874","0.7410930342757833","0.750502157417059","0.7466973625510201"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.7593459267137854","0.7476591375770081","0.7775121396978376","0.7528665028665108"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.7508673304620017","0.7338208813773429","0.7472440518862263","0.7715370581224359"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.7497119456027633","0.7368567366924614","0.7594192557925692","0.7528598443232593"
"SR-HSE","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.767947317909655","0.7628415732111868","0.782770421068302","0.7582299594494762"
"SR-HSE","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.7665003000485315","0.763784552203443","0.7672289026254291","0.7684874453167225"
"SR-HSE","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.7626409095213473","0.738594218922754","0.77188865293314","0.777439856708148"
"SR-HSE","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.7680222932693411","0.7605165060811868","0.7802782324059068","0.7632721413209298"
"SR-HSE","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.7774837310618815","0.7434654872847863","0.8034856825959448","0.7855000233049134"
"SR-HSE","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.7685779397079654","0.7380603380192727","0.7822733359483872","0.7854001451562366"
"SR-HSE","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.784324434248659","0.7728036645079748","0.7979822401969381","0.7821873980410645"
"SR-HSE","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.7740801955133616","0.7500331701153058","0.7941949249976524","0.7780124914271263"
"SR-HSE","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.761843123403322","0.733217501184643","0.7718024238817306","0.7805094451435923"
"SR-HSE","Smile SVC Poly classification","2","1.0","cdk_fp","MaxMin","0.0","0.7739165977673886","0.7585310377507505","0.7862483261419573","0.7769704294094584"
"SR-HSE","Smile SVC Poly classification","3","1.0","cdk_fp","MaxMin","0.0","0.7730268865908712","0.7420944558521505","0.7822141591484062","0.7947720447720567"
"SR-HSE","Smile SVC Poly classification","4","1.0","cdk_fp","MaxMin","0.0","0.7541923409010515","0.7283335965882175","0.7733866713557378","0.7608567547591993"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","rdkit_desc","MaxMin","0.0","0.6871200886507974","0.7084978676354414","0.6770502225047718","0.6758121758121791"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","rdkit_desc","MaxMin","0.0","0.7085365133665604","0.7170936660875102","0.719469843502728","0.689046030509443"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","rdkit_desc","MaxMin","0.0","0.6755226298491891","0.6816774601168822","0.6590604753080562","0.6858299541226285"
"SR-HSE","Smile SVC Poly classification","2","0.001","rdkit_desc","MaxMin","0.0","0.7080334104923999","0.6965566261254126","0.7155455762805848","0.7119980290712022"
"SR-HSE","Smile SVC Poly classification","3","0.001","rdkit_desc","MaxMin","0.0","0.698653540585724","0.6880524403727728","0.6835951765835776","0.7243130048008221"
"SR-HSE","Smile SVC Poly classification","4","0.001","rdkit_desc","MaxMin","0.0","0.681655209231713","0.6695940609698289","0.6790943582529677","0.6962772084723421"
"SR-HSE","Smile SVC Poly classification","2","0.01","rdkit_desc","MaxMin","0.0","0.7154708203211877","0.7230516506081177","0.7183742273200736","0.7049865830353721"
"SR-HSE","Smile SVC Poly classification","3","0.01","rdkit_desc","MaxMin","0.0","0.6970779571700384","0.6953403885642115","0.7010861478946651","0.6948073350512384"
"SR-HSE","Smile SVC Poly classification","4","0.01","rdkit_desc","MaxMin","0.0","0.703270952407158","0.6908734797030448","0.7223492175136281","0.6965901600048011"
"SR-HSE","Smile SVC Poly classification","2","0.1","rdkit_desc","MaxMin","0.0","0.7039658768085806","0.7119917864476337","0.7005856812433162","0.6993201627347919"
"SR-HSE","Smile SVC Poly classification","3","0.1","rdkit_desc","MaxMin","0.0","0.7036443052557512","0.6965503080082153","0.7086269629789931","0.7057556447800454"
"SR-HSE","Smile SVC Poly classification","4","0.1","rdkit_desc","MaxMin","0.0","0.7230737044631806","0.7346359184962837","0.734945422082748","0.6996397728105103"
"SR-HSE","Smile SVC Poly classification","2","1.0","rdkit_desc","MaxMin","0.0","0.7192403671305292","0.7130974569578222","0.7451153778523305","0.699508266581435"
"SR-HSE","Smile SVC Poly classification","3","1.0","rdkit_desc","MaxMin","0.0","0.7385081393789816","0.7285357763386497","0.7589035722498072","0.7280850695484878"
"SR-HSE","Smile SVC Poly classification","4","1.0","rdkit_desc","MaxMin","0.0","0.6910809457498619","0.7163007423787758","0.6537633063261585","0.703178788544651"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","cdk_desc","MaxMin","0.0","0.7557335604266778","0.773400726583477","0.7400295545846876","0.7537704001118691"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","cdk_desc","MaxMin","0.0","0.7504292357866932","0.755479387142627","0.7386820143106569","0.7571263059067954"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","cdk_desc","MaxMin","0.0","0.7531064587230153","0.7592007581740671","0.72708505227848","0.7730335657164987"
"SR-HSE","Smile SVC Poly classification","2","0.001","cdk_desc","MaxMin","0.0","0.7542096769749946","0.7669246564523802","0.7466049424463428","0.7490994320262612"
"SR-HSE","Smile SVC Poly classification","3","0.001","cdk_desc","MaxMin","0.0","0.7479384458318418","0.7441194124151025","0.7486355520688273","0.7510603730115955"
"SR-HSE","Smile SVC Poly classification","4","0.001","cdk_desc","MaxMin","0.0","0.7455849537879479","0.7489748854841203","0.7538819980792959","0.7338979778004278"
"SR-HSE","Smile SVC Poly classification","2","0.01","cdk_desc","MaxMin","0.0","0.7605180274243185","0.7668914863370653","0.7568171673587571","0.757845428577133"
"SR-HSE","Smile SVC Poly classification","3","0.01","cdk_desc","MaxMin","0.0","0.7460158893487594","0.752743642394561","0.7375762535336998","0.7477277721180172"
