"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.5847640292975939","0.6021260464381584","0.5618279206286968","0.5903381208259261"
"SR-HSE","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.5982823652773703","0.6110503869846803","0.582891479893419","0.6009052289540119"
"SR-HSE","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.641920347379337","0.6366387616490249","0.6753560752593637","0.6137662052296222"
"SR-HSE","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.684880883509965","0.6562122887379581","0.723811729856227","0.6746186319357099"
"SR-HSE","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.7382662828790506","0.7222982151318907","0.7390015690305917","0.7534990644746692"
"SR-HSE","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.6356187861123694","0.6620849786763541","0.6481043134814933","0.5966670661792607"
"SR-HSE","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7146014489354952","0.7197788658979666","0.7218521323937163","0.7021733485148027"
"SR-HSE","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.6951932541251152","0.6896224924972365","0.6711765024144141","0.7247807674636951"
"SR-HSE","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.669566180575345","0.661348918022429","0.6367981631521356","0.7105514605514704"
"SR-HSE","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.6641756841065461","0.6583509714105216","0.6257287200227246","0.7084473608863924"
"SR-HSE","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.549305902917459","0.5803980413836686","0.511872556843545","0.5556471105251631"
"SR-HSE","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.5546311859793877","0.5881756436581904","0.5106822577808988","0.5650356564990735"
"SR-HSE","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.5686734907248522","0.6015416205970635","0.5229200200186616","0.5815588315588313"
"SR-HSE","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.6231116596002892","0.6307281630074215","0.6161944921616114","0.6224123236318349"
"SR-HSE","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.7352285052652997","0.7018622650450185","0.7444796499438662","0.7593436008070145"
"SR-HSE","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.6158929399266057","0.6040214815984863","0.6325678673357582","0.6110894708455724"
"SR-HSE","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7131072751016664","0.699676196493447","0.7201850373997423","0.7194605914118101"
"SR-HSE","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.6912091390350067","0.6790743958300415","0.6704680715802631","0.724084949694715"
"SR-HSE","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.6689640911804897","0.6623029537197912","0.6302058676333353","0.7143834521883424"
"SR-HSE","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.655665101406429","0.6424624861791184","0.6249729477485816","0.699559870291587"
"SR-HSE","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.5445370232604266","0.5","0.6336110697812798","0.5"
"SR-HSE","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.53281382271171","0.6400410677618094","0.45840040037332064","0.5"
"SR-HSE","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.6253767716204206","0.7363986731953888","0.6397316416658729","0.5"
"SR-HSE","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.6824375068073444","0.6678281472121309","0.7221463256279484","0.657338047581954"
"SR-HSE","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.7740336755307841","0.7502590428052544","0.7675332404539489","0.8043087433331488"
"SR-HSE","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.6926357795684814","0.7043057968725301","0.6648428940498624","0.7087586477830516"
"SR-HSE","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.7067362627930543","0.7103016900963486","0.7096414224073767","0.7002656758754379"
"SR-HSE","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.7866352679393637","0.7576780919286037","0.7995969214538055","0.802630790435682"
"SR-HSE","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.8160791343077834","0.8009571947559615","0.8060032327440526","0.8412769754233365"
"SR-HSE","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.7702769905562595","0.7715842678881726","0.7459878129607428","0.7932588908198631"
"SR-HSE","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.5829692551162579","0.5","0.7489077653487735","0.5"
"SR-HSE","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.6453099470971109","0.7444100458063482","0.6915197954849844","0.5"
"SR-HSE","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.6696485432116349","0.6341778549992141","0.6963587669583903","0.6784090076773005"
"SR-HSE","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.7668458290242485","0.7657558047701826","0.7602832370724055","0.7744984452301577"
"SR-HSE","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.7926694732376424","0.7786100142157625","0.8051274161042199","0.7942709893929445"
"SR-HSE","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.6897537946899743","0.7718591059864195","0.5513857515791742","0.7460165265043293"
"SR-HSE","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.7598754986901413","0.7579339756752456","0.758443683975606","0.7632488364195721"
"SR-HSE","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.78411182803693","0.7930658663718111","0.7738211981442149","0.7854484195947643"
"SR-HSE","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.8027705410656244","0.7910014215763748","0.7868367126104164","0.8304734890100817"
