"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8045377870740221","0.8084157321118253","0.8080118624122639","0.7971857666979769"
"SR-HSE","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8176862110016271","0.8189322381930138","0.8215227712326336","0.8126036235792339"
"SR-HSE","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8025274495861808","0.8120865582056624","0.8054047016813078","0.7900910888715722"
"SR-HSE","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8085898676366976","0.8171378929079086","0.8045610095900312","0.8040707004121529"
"SR-HSE","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8031777509751866","0.8057052598325752","0.7914474307124232","0.8123805623805613"
"SR-HSE","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8015453197740308","0.816771442110249","0.7861942216391039","0.8016702955727393"
"SR-HSE","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8097246439892257","0.8088390459642949","0.8152753919194976","0.805059494083885"
"SR-HSE","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8191217658613889","0.8197220028431527","0.8302166885339181","0.8074266062070958"
"SR-HSE","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8132022991128172","0.8181203601326886","0.8168731655192151","0.8046133716865479"
"SR-HSE","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.7931160405696894","0.8101848049281506","0.7754866023724954","0.7936767144084221"
"SR-HSE","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8059615140860359","0.8092718369925661","0.8123791102514504","0.7962335950140915"
"SR-HSE","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8061042156872138","0.8017185278786928","0.8106224046746408","0.8059717145083078"
"SR-HSE","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8100059720130443","0.808668456799872","0.815327805656626","0.806021653582635"
"SR-HSE","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.809179661582915","0.8143800347496498","0.8148645358510169","0.7982944141480781"
"SR-HSE","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.7984966266698544","0.8157984520612911","0.8013992777048958","0.7782921502433766"
"SR-HSE","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8100348471334119","0.8120454904438466","0.8106257862060482","0.8074332647503412"
"SR-HSE","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8120890097031911","0.8123108513662894","0.81133590780594","0.8126202699373439"
"SR-HSE","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8019768840356175","0.8060369609856135","0.7996916043337772","0.8002020867874619"
"SR-HSE","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.805224665572522","0.8175169799399774","0.7939531455005443","0.8042038712770447"
"SR-HSE","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8017162413422149","0.8159879955773278","0.7943454031461866","0.7948153253031301"
"SR-HSE","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.8065166533697985","0.802031274680143","0.8082976018179223","0.8092210836113302"
"SR-HSE","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8108760790958592","0.8083683462328325","0.8186011280788994","0.8056587629758457"
"SR-HSE","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.809156230416999","0.8074427420628778","0.816504578593571","0.8035213705945485"
"SR-HSE","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8096952375976699","0.8142599905228288","0.8156490511422801","0.7991766711279008"
"SR-HSE","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8028082595069987","0.8054114673827196","0.7954968145973964","0.8075164965408799"
"SR-HSE","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8185034758678861","0.8134449534038893","0.8319987555964521","0.8100667186033167"
"SR-HSE","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.812424017893381","0.8153372295056107","0.8110890560116892","0.8108457681628434"
"SR-HSE","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8134604281763974","0.8205370399620902","0.8099173553719134","0.8099268891951886"
"SR-HSE","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.8080868619493758","0.8181014057810765","0.8060336665269053","0.8001255135401462"
"SR-HSE","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.7968494224318065","0.8124403727689257","0.7871511950332067","0.790956699493287"
"SR-HSE","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8191731842671844","0.8117264255251887","0.8299867443968","0.8158063828795648"
"SR-HSE","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.8172950028222532","0.8210424893381731","0.8154123439423262","0.8154301751862605"
"SR-HSE","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.8109186865165422","0.8098467856578859","0.812746006411395","0.8101632674803455"
"SR-HSE","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.8152023731349752","0.8157921339440877","0.8145213104110712","0.8152936750497669"
"SR-HSE","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.8035114366570278","0.8055315116095441","0.7960513857515852","0.8089514126099542"
"SR-HSE","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8161509830992063","0.8176938872216082","0.8280000946829","0.8027589673931107"
"SR-HSE","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8126411164193406","0.8158900647607085","0.820799123507057","0.8012341609902561"
"SR-HSE","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.8108865357618362","0.8097993997788621","0.8180803722389983","0.8047798352676482"
"SR-HSE","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.8110274079336625","0.8173242773653498","0.8090804263434902","0.8066775200921473"
