"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Weka RF classification","30","rdkit_fp","15","0.7019887576843175","0.6897093666087493","0.7507371738512975","0.6655197325929058"
"SR-HSE","Weka RF classification","40","rdkit_fp","15","0.7264360957498637","0.7060195861633255","0.7631051250490327","0.7101835760372326"
"SR-HSE","Weka RF classification","50","rdkit_fp","15","0.7390602311237503","0.7321923866687766","0.7707879644533453","0.7142003422491292"
"SR-HSE","Weka RF classification","60","rdkit_fp","15","0.7373066772592681","0.735315116095404","0.7587057526612786","0.717899163021122"
"SR-HSE","Weka RF classification","70","rdkit_fp","15","0.7446651968240593","0.7373527088927467","0.7710331254818654","0.7256097560975658"
"SR-HSE","Weka RF classification","30","cdk_fp","15","0.6912581096779721","0.7233612383509725","0.718047909537275","0.6323651811456689"
"SR-HSE","Weka RF classification","40","cdk_fp","15","0.7006150080312802","0.7342078660559149","0.7305477404607031","0.6370894175772225"
"SR-HSE","Weka RF classification","50","cdk_fp","15","0.7038808238446744","0.739298688990679","0.7121741894469195","0.6601695930964246"
"SR-HSE","Weka RF classification","60","cdk_fp","15","0.7277960259946795","0.7596145948507357","0.7429224547212945","0.6808510284120083"
"SR-HSE","Weka RF classification","70","cdk_fp","15","0.7338079261708669","0.7691407360606574","0.750889342765558","0.6813936996863853"
"SR-HSE","Weka RF classification","30","rdkit_desc","15","0.7965454367676367","0.8042047069973162","0.7899071431469863","0.7955244601586073"
"SR-HSE","Weka RF classification","40","rdkit_desc","15","0.8050342560452614","0.8256278628968539","0.7910856068496321","0.7983892983892978"
"SR-HSE","Weka RF classification","50","rdkit_desc","15","0.8060074181088903","0.8229552993208077","0.7895047409070619","0.8055622140988016"
"SR-HSE","Weka RF classification","60","rdkit_desc","15","0.8078174619879973","0.8262960037908662","0.7854316863020928","0.8117246958710332"
"SR-HSE","Weka RF classification","70","rdkit_desc","15","0.8095248510559854","0.8218859579845218","0.791496462918128","0.8151921322653066"
"SR-HSE","Weka RF classification","30","cdk_desc","15","0.803353112762613","0.8065392513031127","0.8024374078532699","0.8010826791314564"
"SR-HSE","Weka RF classification","40","cdk_desc","15","0.8086430666743308","0.8103743484441644","0.8100492350976005","0.8055056164812276"
"SR-HSE","Weka RF classification","50","cdk_desc","15","0.8119406099478531","0.8160780287474394","0.8052491512356191","0.8144946498605009"
"SR-HSE","Weka RF classification","60","cdk_desc","15","0.8111498028892807","0.8121418417311711","0.811432281451628","0.8098752854850433"
"SR-HSE","Weka RF classification","70","cdk_desc","15","0.8142655920859599","0.8131558995419359","0.8119800895429622","0.8176607871729815"
"SR-HSE","Weka RF classification","30","rdkit_fp","20","0.6943286503915922","0.7441020375927945","0.697696162638135","0.6411877509438472"
"SR-HSE","Weka RF classification","40","rdkit_fp","20","0.7282832268601181","0.7421276259674654","0.757895875884271","0.6848261787286183"
"SR-HSE","Weka RF classification","50","rdkit_fp","20","0.7427035234733305","0.7560180066340215","0.7690769095508009","0.703015654235169"
"SR-HSE","Weka RF classification","60","rdkit_fp","20","0.7425514512663595","0.7587158426788841","0.764904099768708","0.7040344113514864"
"SR-HSE","Weka RF classification","70","rdkit_fp","20","0.7500381931746009","0.7605117674932825","0.7767208613436858","0.7128819506868345"
"SR-HSE","Weka RF classification","30","cdk_fp","20","0.6852315761240706","0.7196335492023377","0.7104377730586632","0.6256234061112109"
"SR-HSE","Weka RF classification","40","cdk_fp","20","0.708839703318774","0.7400900331701159","0.725798379570139","0.660630697216067"
