"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.7595477922033962","0.7648996998894326","0.7610153386265648","0.752728338094191"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.7730725525160488","0.7839314484283657","0.7718176407731646","0.7634685683466161"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.7768835254589869","0.7833707155267688","0.7733224222585969","0.773957438591595"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.7824875825578075","0.797175801611117","0.7766025077437064","0.773684438318599"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.7887506053891151","0.8031306270731245","0.7869364677875382","0.7761847213066824"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","500","15","0.7706087471463121","0.7790649186542433","0.7890752864157217","0.7436860363689712"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","500","15","0.7770556278383077","0.7906539251303134","0.7897921710784515","0.7507207873061582"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","500","15","0.7808742897612081","0.7965424103617148","0.8007331160135855","0.7453473429083238"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","500","15","0.7895458713256955","0.8012051808561089","0.8066372698867891","0.7607951632341889"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","500","15","0.7956240606884802","0.8042631495814245","0.8155848020451492","0.7670242304388674"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.7515665896239457","0.7403317011530546","0.7551010401590746","0.7592670275597082"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.7576345599492282","0.7436771442110275","0.7643596732088163","0.764866862427841"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.7672294285328753","0.7511846469751979","0.7854536662563804","0.7650499723670474"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.7765484216241418","0.7641873321750168","0.799189446916724","0.7662684857806846"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.7806400564500865","0.7693871426314953","0.8010459076706629","0.7714871190481013"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.7627348677553917","0.7707866055915326","0.770201268750597","0.7472167289240454"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.7706711970545448","0.7711656926236052","0.7752735658925243","0.7655743326475047"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.777531669718632","0.7874806507660779","0.7781816829205614","0.7669326754692568"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.7813625097059669","0.785247196335493","0.7893441181642358","0.7694962146181716"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.7858501297573937","0.7873132206602473","0.7931618671463919","0.7770753014655417"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.7467896253601095","0.772201863844574","0.7327558804831572","0.7354111317525974"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.750345680472687","0.7690886115937473","0.7452438760465862","0.7367045537777278"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.7544886277973654","0.767131574790714","0.7561290257131652","0.740205282888217"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.7608317998921047","0.7724940767651288","0.7673540192882669","0.7426473036229186"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.7657458511110308","0.7793587111040926","0.7672762440654274","0.7506025981635721"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.7465724477581087","0.7631606381298349","0.7456767120693716","0.7308799930751197"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.7584949204153425","0.768695308797975","0.7595477539868327","0.7472416984612199"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.7693285644661204","0.7852408782182851","0.7728929677672454","0.7498518474128308"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.77312259226394","0.7925841099352425","0.7810001893657729","0.7457834774908048"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.7807867011277949","0.8050086874111577","0.7805031042458626","0.7568483117263646"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.7572909699298713","0.7802969515084519","0.7390573642991467","0.7525185939820155"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.7766616841024342","0.7935934291581095","0.7863649889762091","0.750026634172984"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.779362968547565","0.7872595166640322","0.7895131947356372","0.7613161942430253"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.786290380742686","0.7900931922287203","0.7944975720604213","0.7742803779389162"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","500","20","0.7913458552736845","0.7884883904596394","0.8006384331336018","0.7849107422278121"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","500","20","0.7857607588582862","0.811854367398518","0.7811286875600446","0.7642992216162962"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","500","20","0.7856691105821804","0.8069546675090838","0.7779229957663281","0.7721296684711291"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","500","20","0.7930830277824811","0.8078707945032436","0.7805064857772762","0.7908718030669237"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","500","20","0.7964297787174286","0.805675248775863","0.7830307989882501","0.8005832883881726"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","500","20","0.7975138535326977","0.806085926393936","0.787986433295918","0.7984692009082386"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","1000","20","0.7785938537319795","0.771663244353181","0.7848906412736186","0.7792276755691389"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","1000","20","0.7835049545293468","0.783677144211039","0.7942219772490623","0.7726157421279389"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","1000","20","0.7879272446695449","0.786583478123528","0.7942118326547769","0.7829864232303296"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","1000","20","0.7903972434720347","0.7895909019112279","0.7975257334541705","0.7840750950507054"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","1000","20","0.788842780825649","0.7949170747117412","0.7941813988719213","0.7774298688932844"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","1000","20","0.7665060295446455","0.7560954035697323","0.7875265450217152","0.755896140042489"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","1000","20","0.7723298251832964","0.7657257937134709","0.7943487846776104","0.7569148971588078"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","1000","20","0.7749321961234422","0.7714642236613448","0.7922725243808523","0.7610598403281298"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","1000","20","0.7824730351377188","0.7658221450007894","0.8100931950061584","0.7715037654062086"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","1000","20","0.7898244004391217","0.7786700363291676","0.8099274999661894","0.780875665022008"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","2000","20","0.7610111082475868","0.755918496288114","0.7733460929785954","0.7537687354760509"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","2000","20","0.7742922673640481","0.767828147212135","0.7933529236720804","0.761695731207929"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","2000","20","0.7809682010983644","0.7733880903490754","0.801248799556349","0.768267713389669"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","2000","20","0.7887708410908547","0.7920328542094357","0.8043057039672149","0.7699739650959135"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","2000","20","0.790829249688386","0.7925067129995287","0.8026893319446557","0.7772917041209733"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","2000","20","0.7609651891594034","0.7588753751382097","0.7469515494177021","0.7770686429222986"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","2000","20","0.7700150116599053","0.7811356815668972","0.7520221557939112","0.7768871976189071"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","2000","20","0.7735520525485552","0.7890443847733347","0.7628396748319419","0.7687720980403889"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","2000","20","0.7764722732115312","0.7978218290949347","0.7733866713557334","0.7582083191839258"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","2000","20","0.7796903980127997","0.8026836202811446","0.775116324681129","0.761271249076126"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","500","30","0.7762430485918368","0.7584236297583312","0.7857360241306127","0.7845694918865664"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","500","30","0.7853302177137925","0.7623187490127922","0.789391459604234","0.8042804445243514"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","500","30","0.7911883656220975","0.7730500710788114","0.8034890641273654","0.7970259616601156"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","500","30","0.8011020284102536","0.7827673353340725","0.8068164910524726","0.8137222588442159"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","500","30","0.8048916843270519","0.7820375927973483","0.8234130473008638","0.8092244128829439"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","500","30","0.7731964948271849","0.7843673985152462","0.7958890722430424","0.739333013723266"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","500","30","0.7812892460531323","0.7953672405623141","0.8091125508920595","0.7393879467050235"
"SR-HSE","Weka RF on folded fp classification","50","cdk_fp","500","30","0.7957939765133618","0.7943595008687387","0.8127476971770996","0.7802747314942469"
"SR-HSE","Weka RF on folded fp classification","60","cdk_fp","500","30","0.8013334699924323","0.8025493602906387","0.8178470465704614","0.7836040031161968"
"SR-HSE","Weka RF on folded fp classification","70","cdk_fp","500","30","0.8035871987099492","0.804195229821521","0.8192402375187844","0.7873261287895422"
"SR-HSE","Weka RF on folded fp classification","30","rdkit_fp","1000","30","0.7718781215989647","0.755728952772078","0.7702604455505886","0.7896449664742278"
"SR-HSE","Weka RF on folded fp classification","40","rdkit_fp","1000","30","0.7840194037835864","0.7791975991154596","0.7836817437881379","0.7891788684471616"
"SR-HSE","Weka RF on folded fp classification","50","rdkit_fp","1000","30","0.7836299985752923","0.7771663244353171","0.7843783392623014","0.7893453320282583"
"SR-HSE","Weka RF on folded fp classification","60","rdkit_fp","1000","30","0.7913120387971163","0.7959816774601276","0.789393150369939","0.7885612885612825"
"SR-HSE","Weka RF on folded fp classification","70","rdkit_fp","1000","30","0.7930373405709776","0.7922445111356905","0.792879509272169","0.7939880013050737"
"SR-HSE","Weka RF on folded fp classification","30","cdk_fp","1000","30","0.7415964797098145","0.7432427736534488","0.7446673249381169","0.7368793405378774"
"SR-HSE","Weka RF on folded fp classification","40","cdk_fp","1000","30","0.7654116256430695","0.7576875691044024","0.7674064330253955","0.7711408747994108"
