"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-MMP","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.657834513912653","0.6405794198648036","0.6729963711767771","0.6599277506963782"
"SR-MMP","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8950689229186786","0.8890532565542292","0.9023491076057152","0.8938044045960913"
"SR-MMP","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8871312987190617","0.8834493365284797","0.8917640524327877","0.8861805071959179"
"SR-MMP","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.8688583695178173","0.8689767159054275","0.869697104347187","0.8679012883008372"
"SR-MMP","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6584592511100192","0.649007475231587","0.6471695178849155","0.6792007602135556"
"SR-MMP","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8959697864131685","0.8882213240816811","0.903076353402954","0.8966116817548705"
"SR-MMP","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8868544985196971","0.8828176973425297","0.8905961638154505","0.887149634401111"
"SR-MMP","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.8664865262719162","0.8651625594620612","0.8671443382951983","0.8671526810584893"
"SR-MMP","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6574271877790178","0.6399606566758481","0.6734362734207228","0.6588846332404824"
"SR-MMP","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.8620834456691583","0.8654715833899451","0.8686751092349856","0.8521036443825442"
"SR-MMP","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.8417270462020046","0.8459873386029421","0.8476434866325998","0.8315503133704717"
"SR-MMP","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.8004382068146662","0.8098251010408039","0.8038850625786866","0.787604456824508"
"SR-MMP","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.6577884255530081","0.6477642261883451","0.6475790565059629","0.6780219939647163"
"SR-MMP","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.8598748244747889","0.8637369004613723","0.8653210397689387","0.8505665331940557"
"SR-MMP","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.8393226111554101","0.8444386422976341","0.8447063615492865","0.82882282961931"
"SR-MMP","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.7965682958607506","0.8058571479666702","0.8009249796341549","0.7829227599814267"
