"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-MMP","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.8850098090817037","0.8862427125433592","0.8846996963637787","0.8840870183379737"
"SR-MMP","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.87172660024414","0.8733087735612779","0.8700185144042007","0.8718525127669413"
"SR-MMP","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8751312531849705","0.877293894631411","0.8728786195660198","0.8752212453574809"
"SR-MMP","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8887539028899262","0.8907986694803043","0.892509812634229","0.8829532265552452"
"SR-MMP","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8857268074291905","0.8882034407525226","0.8863378508479559","0.8826391306870931"
"SR-MMP","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8811353928176499","0.8853893200758122","0.8780863511812201","0.879930507195917"
"SR-MMP","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.9020062115014137","0.9032340212453931","0.9063608087091788","0.8964238045496691"
"SR-MMP","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8911203205232768","0.8917228799313175","0.8907287269495581","0.8909093546889552"
"SR-MMP","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8815601367175967","0.8810300797596297","0.8769214248685528","0.8867289055246074"
"SR-MMP","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.898709976503703","0.8929568296433904","0.9036910316225973","0.8994820682451213"
"SR-MMP","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.8873443104245071","0.88357523516576","0.8845945345478826","0.8938631615598788"
"SR-MMP","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8777070906337419","0.8729868736363731","0.8747656076427512","0.8853687906221013"
"SR-MMP","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8944055832407951","0.8867284237633475","0.8932748278160566","0.9032134981429811"
"SR-MMP","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8842659149148696","0.8813534103508498","0.8803362215803942","0.8911081128133647"
"SR-MMP","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8763050528277071","0.8734475481955551","0.8717773828038181","0.8836902274837481"
"SR-MMP","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.8775419295671906","0.882090918845446","0.8760208842479501","0.8745139856081754"
"SR-MMP","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.860237739306378","0.8640123037304529","0.8574738946900762","0.8592270194986051"
"SR-MMP","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.866881995106563","0.8665946564612321","0.8655980152558649","0.8684533136025923"
"SR-MMP","Smile SVC Poly classification","2","0.001","cdk_fp","MaxMin","0.0","0.8827515752783723","0.8868435924031547","0.880216988817301","0.8811941446146616"
"SR-MMP","Smile SVC Poly classification","3","0.001","cdk_fp","MaxMin","0.0","0.8720425723569937","0.8724360670982344","0.8708620306598474","0.8728296193128988"
"SR-MMP","Smile SVC Poly classification","4","0.001","cdk_fp","MaxMin","0.0","0.8727105066948727","0.8685496620050625","0.8694467896023113","0.8801350684772443"
"SR-MMP","Smile SVC Poly classification","2","0.01","cdk_fp","MaxMin","0.0","0.8924422609086947","0.8968332200722471","0.8905946826631141","0.8898988799907231"
"SR-MMP","Smile SVC Poly classification","3","0.01","cdk_fp","MaxMin","0.0","0.8787776453426707","0.8770635573518164","0.8758809153521456","0.8833884633240497"
"SR-MMP","Smile SVC Poly classification","4","0.01","cdk_fp","MaxMin","0.0","0.8670124864076744","0.867377946278456","0.861099015033699","0.872560497910868"
"SR-MMP","Smile SVC Poly classification","2","0.1","cdk_fp","MaxMin","0.0","0.8866584648640979","0.8838728137629949","0.883615492853445","0.8924870879758537"
"SR-MMP","Smile SVC Poly classification","3","0.1","cdk_fp","MaxMin","0.0","0.8700543471668492","0.8644629636252916","0.8714189439383925","0.8742811339368632"
"SR-MMP","Smile SVC Poly classification","4","0.1","cdk_fp","MaxMin","0.0","0.8569536457149981","0.849471726456591","0.8595297341331574","0.8618594765552459"
