"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.7003838094692969","0.6722744018026408","0.7100747981929936","0.7188022284122564"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.7112115897643284","0.6874509102614528","0.7256624453825075","0.720521413649025"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.7302527678767797","0.7094373904645992","0.7489298674368668","0.7323910457288734"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7709372690947142","0.753463285525225","0.7886588165592848","0.7706897051996331"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8514279615763186","0.8536850388068158","0.8440391024216837","0.8565597435004564"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.6128801045952917","0.6190364462248241","0.6063378508479607","0.6132660167130906"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.7837459238080974","0.7907178368324917","0.7830630230319172","0.7774569115598834"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7846328145800135","0.7828563253335175","0.7835747611641783","0.787467357242345"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.7502857543930764","0.7467391537608609","0.747560542101755","0.7565575673166134"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7407231146579499","0.7357480596587794","0.7432740872398643","0.743147197075206"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.6268773337880434","0.6231918165885709","0.5970184403465907","0.6604217444289686"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6423382654948937","0.6371021853428182","0.6204858179663787","0.6694267931754843"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6729034943170844","0.6665109624807678","0.6605509886691858","0.6916485318012998"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7139651767368195","0.7037326084623821","0.7074620454713805","0.730700876276696"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.8383174832808779","0.83860796165813","0.8380204399022388","0.8383240482822647"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.6227961780266575","0.7104080975714351","0.5894023550322149","0.5685780814763227"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.7833883476173625","0.779258914839575","0.784124268681034","0.7867818593314788"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7656908505876737","0.7574698665903586","0.764001333037101","0.7756013521355611"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7384648049091903","0.7352215744482957","0.7317788639561593","0.7483939763231159"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7291326352386901","0.7255323867091051","0.7268340368806933","0.7350314821262721"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.8661260534174727","0.8766465181158072","0.8719877064356018","0.8497439357010094"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.8715480010303361","0.8756064236918265","0.868281863289638","0.8707557161095443"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.8723570968556555","0.8796866840730988","0.8756165296600686","0.8617680768337992"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.8854980531624178","0.8848156228763469","0.8852499444567832","0.8864285921541234"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8919152956625301","0.8885725526663907","0.8979360142190641","0.8892373201021357"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.8801512739012599","0.8794177188025234","0.8834370139968831","0.8775990889043731"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.8883775649850542","0.8895926177617154","0.8906768866177822","0.8848631905756651"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.9016078385215867","0.8995371794413183","0.9049374213137807","0.900348914809661"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.910637471170658","0.8972903179655766","0.9250048137450874","0.90961728180131"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8899543601483205","0.8817761722522179","0.9034355328445527","0.884651375348191"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.871017710348838","0.8749554705103832","0.8703436273420723","0.8677540331940585"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.8793874876245958","0.8828756393290104","0.8816774050211","0.8736094185236771"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.8716182585378537","0.868172681426363","0.8731800340665002","0.8735020601206982"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.8880876168866544","0.8893093458278145","0.8893808783233305","0.8855726265088183"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.8984839447857933","0.8957373296612836","0.9034829297193099","0.8962315749767863"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.8830246475093594","0.8902120962838383","0.8807709397911375","0.8780909064531023"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.8894970785869375","0.8894080618047827","0.8909731170850919","0.888110056870938"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.9099979746784427","0.9111828033906758","0.9131726283048126","0.9056384923398398"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.909900529923895","0.9086834293071934","0.9166948085610583","0.9043233519034334"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.001","0.8727219507888044","0.8697993490468072","0.8849655632081797","0.8634009401114267"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.01","0.7032662660460266","0.6730641296183713","0.7108968377397635","0.7258378307799449"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.01","0.7338425515648868","0.7514531993275754","0.726986595571354","0.723087859795731"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.01","0.7460808333325998","0.7137894774491126","0.7508124120565762","0.7736406104921104"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.01","0.7696961101317136","0.749066847884395","0.7895334370139981","0.7704880454967478"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.01","0.8524427850697411","0.8565141814800177","0.8460505072946782","0.8547636664345276"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.01","0.6072679814271287","0.6079301834829504","0.5988609938532159","0.6150127669452198"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.01","0.7829679566014475","0.793492614185044","0.7784055395097407","0.7770057161095578"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.01","0.7889592371713589","0.7850609821524301","0.7919062430571006","0.7899104863045461"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.01","0.7498451555484974","0.7451747201258923","0.7490994593793995","0.7552612871402005"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.01","0.739400039750517","0.7348159805429313","0.7417210990150284","0.7416630396935915"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.01","0.627599091546368","0.624037340391283","0.5968540324372386","0.6619059018105825"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.01","0.6448998042013075","0.6341078007081761","0.6109190550248077","0.6896725568709391"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.01","0.679793737514272","0.6860080832647788","0.6596978449233497","0.6936752843546876"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.01","0.7140325863042817","0.7051747201258906","0.7061438198918768","0.7307792188950778"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.01","0.8413991813319361","0.8395014127829911","0.8462030659853317","0.8384930652274856"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.01","0.5798431019478293","0.5812217890482452","0.5928312226912527","0.5654762941039903"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.01","0.7746234283185699","0.7716863979398397","0.7685640228097449","0.7836198642061251"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.01","0.7666092629511777","0.7588819342608745","0.7639531955861656","0.7769926590064934"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.01","0.7392243859200359","0.7354068457384015","0.7330519143893934","0.7492143976323126"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.01","0.7296744810338748","0.7255517007046003","0.7275161075316577","0.7359556348653665"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.01","0.8717277971508423","0.8736478414821621","0.8694001333037112","0.8721354166666534"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.01","0.8754895641531903","0.8767495260917674","0.8708723987262073","0.8788467676415962"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.01","0.8771821414341954","0.8743245466575984","0.8762134340516784","0.8810084435933092"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.01","0.8834967641906051","0.8845409349404392","0.8844708583277672","0.881478499303609"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.01","0.8922467318873247","0.8918516399012728","0.8966725912760247","0.8882159644846765"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.01","0.8805813141398217","0.880141635966942","0.8805546915500134","0.8810476149025096"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.01","0.8898973312445553","0.8891476805322015","0.8917610901281142","0.8887832230733501"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.01","0.9003764346638857","0.9000493579884791","0.9019380878323238","0.8991418581708541"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.01","0.9107717570860322","0.8979934904681746","0.9236954750796056","0.9106263057103166"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.01","0.8896704430120868","0.8835509138381111","0.9007894541953703","0.8846709610027791"
"SR-MMP","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.01","0.8719919299425426","0.864989448835786","0.8744419758572127","0.8765443651346294"
"SR-MMP","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.01","0.8726401253486405","0.8702500089416605","0.87850181441161","0.8691685526926513"
"SR-MMP","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.01","0.8735143862286009","0.8727121857004846","0.8784099829667449","0.869420990018573"
"SR-MMP","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.01","0.8909390170940349","0.8896798884080241","0.8945352884544001","0.8886018744196802"
"SR-MMP","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.01","0.9006763928079305","0.9008347938052088","0.905255869066122","0.8959385155524611"
"SR-MMP","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.01","0.8801060605683723","0.8825194034121342","0.8810716137154683","0.8767271645775145"
"SR-MMP","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.01","0.8923863159858382","0.8969777173718615","0.89443160779085","0.8857496227948032"
"SR-MMP","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.01","0.9077710663502657","0.9095575664365648","0.9112160260682688","0.9025396065459638"
"SR-MMP","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.01","0.9087533614731128","0.9075396115740832","0.9145893505147025","0.9041311223305529"
"SR-MMP","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.01","0.8749680780697143","0.8714067026717576","0.8871747019180841","0.8663228296193015"
