"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-MMP","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8935313849830253","0.8832619192388634","0.9038332222468972","0.8934990134633152"
"SR-MMP","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8971726072017899","0.8861003612432282","0.903902836406729","0.9015146239554126"
"SR-MMP","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.8930021596129479","0.8860889159125673","0.9007938976523715","0.892123665273905"
"SR-MMP","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.9248108525498915","0.9210830144139558","0.9278678812115772","0.9254816620241416"
"SR-MMP","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.9271417168375594","0.9262877785328422","0.9272532029919227","0.9278841689879135"
"SR-MMP","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.8923412142816213","0.8856683000107132","0.9008783233355504","0.8904770194986005"
"SR-MMP","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8900485571439951","0.8848485282019908","0.8946648892838576","0.8906322539461372"
"SR-MMP","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.9030554279770047","0.893501198183043","0.908820262163959","0.906844823584012"
"SR-MMP","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.9315127274456918","0.9298830430272803","0.9342175812782282","0.930437558031567"
"SR-MMP","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.9267347497860507","0.9284294860331157","0.9248626231207782","0.9269121402042582"
"SR-MMP","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8907177350937094","0.8855223720447626","0.8926327482781581","0.8939980849582077"
"SR-MMP","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8924036361540226","0.8898715976966152","0.894992223950234","0.8923470868152186"
"SR-MMP","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.9088726732272204","0.89939983547336","0.9144338295193641","0.9127843546889373"
"SR-MMP","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.9309570674393775","0.9293422511534689","0.9327838258164841","0.9307451253481794"
"SR-MMP","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.9263117247148416","0.9261833398905478","0.9260993853217717","0.9266524489322051"
"SR-MMP","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8885753008501999","0.8817468435923856","0.8958305561726976","0.8881485027855165"
"SR-MMP","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8891362453966748","0.8861990772202004","0.8926534844108744","0.8885561745589496"
"SR-MMP","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.9131904280898904","0.9052426767767016","0.9162082500185157","0.918120357474454"
"SR-MMP","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.9305687611215477","0.9293880324761187","0.9348707694586277","0.9274474814298972"
"SR-MMP","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.9228355438076247","0.9241818376908981","0.9214574538991206","0.9228673398328553"
"SR-MMP","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.880300682910549","0.8694853177867401","0.8812189883729544","0.8901977425719524"
"SR-MMP","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8785138151625435","0.8584749096891862","0.8858401836628871","0.891226352135557"
"SR-MMP","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8808749393680856","0.8638885510926664","0.887390950159228","0.8913453168523622"
"SR-MMP","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.9107991283420888","0.9036138631567511","0.9098659557135446","0.9189175661559705"
"SR-MMP","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.9099526849249647","0.9142737580027798","0.9001021995112167","0.9154820972608977"
"SR-MMP","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8771219014296214","0.8595278801101593","0.8812367622009967","0.8906010619777085"
"SR-MMP","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.87441876535788","0.860004291998992","0.8849144634525582","0.8783375406220896"
"SR-MMP","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.8884174181126206","0.8705039522157347","0.8929660075538824","0.9017822945682448"
"SR-MMP","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.9203182703885912","0.9185528810043223","0.9199081685551344","0.9224937616063169"
"SR-MMP","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.9099024989138381","0.912348081118776","0.9019106865141026","0.9154487291086358"
"SR-MMP","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8771871100863513","0.860064379984973","0.8851321928460384","0.8863647574280424"
"SR-MMP","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.8749362471305494","0.8564562394935409","0.8791587054728548","0.8891937964252523"
"SR-MMP","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.8957899525180723","0.8841568010300587","0.8975368436643637","0.9056762128597944"
"SR-MMP","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.9214555192721186","0.920654529847271","0.918989854106505","0.9247221738625794"
"SR-MMP","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.90983285753217","0.9116656532780107","0.9064667111012301","0.9113662082172695"
"SR-MMP","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8720719253480919","0.8563217568582506","0.8815463230393175","0.8783476961467076"
"SR-MMP","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8723839165140582","0.8552201437819624","0.8791024216840709","0.8828291840761413"
"SR-MMP","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.9012723037129052","0.8899638756750778","0.9028393690290998","0.9110136664345382"
"SR-MMP","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.9178422371323908","0.9170392360241744","0.9146204547137619","0.9218670206592358"
"SR-MMP","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","2","0.9100668696430262","0.911641331950351","0.9077168036732483","0.9108424733054792"
"SR-MMP","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","3","0.9008495456464197","0.8921277585035067","0.9059379397171036","0.9044829387186492"
"SR-MMP","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","3","0.9018507643727522","0.8943896419757363","0.9052506850329612","0.9059119661095589"
"SR-MMP","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","3","0.9016074000106188","0.8939060767552329","0.9041235281048645","0.9067925951717589"
"SR-MMP","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","3","0.9269641141057515","0.9217783182517216","0.9305813522920844","0.9285326717734487"
"SR-MMP","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","3","0.9253036264619013","0.9252519761078647","0.9275420276975361","0.9231168755803032"
"SR-MMP","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","3","0.8931603129557453","0.8869315783826128","0.8978360364363516","0.8947133240482714"
"SR-MMP","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","3","0.8940904756221338","0.8871261490038819","0.8978582537213988","0.8972870241411206"
"SR-MMP","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","3","0.9180646231409701","0.9110011087664011","0.9208709175738713","0.9223218430826381"
"SR-MMP","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","3","0.9292214840749758","0.9286841446403598","0.9312063985780875","0.9277739090064804"
