"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-MMP","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.9117163178998166","0.9129332236489087","0.9164089461601124","0.9058067838904289"
"SR-MMP","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.913150608554985","0.9130877356128551","0.9184529363845044","0.9079111536675956"
"SR-MMP","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.9143165437437949","0.9134582781930631","0.9190587276901339","0.9104326253481878"
"SR-MMP","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.913615418242867","0.9124711184233999","0.9188898763237753","0.9094852599814255"
"SR-MMP","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.9148906877633345","0.9119503558782416","0.9212256535584609","0.9114960538533011"
"SR-MMP","Weka RF on folded fp classification","30","cdk_fp","500","15","0.9011567906964902","0.8962566615401082","0.9054328667703475","0.9017808437790148"
"SR-MMP","Weka RF on folded fp classification","40","cdk_fp","500","15","0.905042946146712","0.9016910476054191","0.9062208398133631","0.9072169510213539"
"SR-MMP","Weka RF on folded fp classification","50","cdk_fp","500","15","0.9063037755839304","0.9019113702206744","0.9090750203658423","0.9079249361652744"
"SR-MMP","Weka RF on folded fp classification","60","cdk_fp","500","15","0.9059719419189146","0.9000557959869746","0.9080722802340171","0.9097877495357521"
"SR-MMP","Weka RF on folded fp classification","70","cdk_fp","500","15","0.9064605141149092","0.9011159197396115","0.9084662667555308","0.9097993558495852"
"SR-MMP","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8996671613051629","0.9022740441360539","0.9020728726949453","0.8946545670844891"
"SR-MMP","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.9018050255845601","0.9029035373225023","0.9062741612974792","0.8962373781336989"
"SR-MMP","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.9050057235977409","0.9080210307950867","0.9083722135821648","0.8986239264159712"
"SR-MMP","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.9049587416820497","0.907625451554056","0.9063208175960882","0.9009299558960048"
"SR-MMP","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.9070246684926507","0.9104882148860797","0.9084270162186154","0.9021587743732572"
"SR-MMP","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.8913408799670751","0.8890160592295805","0.895671332296527","0.8893352483751179"
"SR-MMP","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8953217690746268","0.8954147144032262","0.8968303339998558","0.8937202588207984"
"SR-MMP","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.8976286114203269","0.8948038198791018","0.9011656668888472","0.8969163474930317"
"SR-MMP","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8996359159325679","0.8960084409313563","0.9017292453528782","0.9011700615134691"
"SR-MMP","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.9005986296378737","0.897108623341312","0.902182477967852","0.9025047876044572"
"SR-MMP","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.8904269355436959","0.8862155298830369","0.9013300747981924","0.8837352019498581"
"SR-MMP","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8921277058002367","0.8881075861082213","0.8999333481448559","0.8883421831476328"
"SR-MMP","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.8945686611738878","0.8898601523659576","0.9057009553432593","0.8881448758124466"
"SR-MMP","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8974897942834968","0.8964383561643737","0.905751314522703","0.8902797121634137"
"SR-MMP","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8997374468205693","0.9009013197896801","0.9072413537732348","0.891069666898793"
"SR-MMP","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8882943169678045","0.8839321864158185","0.8845182552025446","0.8964325092850502"
