"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Smile Bernoulli NB classification","0.0","rdkit_fp","Bernoulli","0.6217412108603031","0.6225285019077436","0.6290653020125431","0.6136298286606228"
"SR-p53","Smile Bernoulli NB classification","0.5","rdkit_fp","Bernoulli","0.8347917235048685","0.8610454888162921","0.8218949832396767","0.8214346984586365"
"SR-p53","Smile Bernoulli NB classification","1.0","rdkit_fp","Bernoulli","0.8052831078013617","0.8281306404076021","0.7883133328393062","0.7994053501571766"
"SR-p53","Smile Bernoulli NB classification","2.0","rdkit_fp","Bernoulli","0.771435192740093","0.7900945874934322","0.752276481947244","0.771934508779603"
"SR-p53","Smile Bernoulli NB classification","0.0","cdk_fp","Bernoulli","0.6399315248898036","0.6623260755329108","0.6381821272737571","0.619286371862743"
"SR-p53","Smile Bernoulli NB classification","0.5","cdk_fp","Bernoulli","0.8349726009626277","0.8570186661792608","0.8265296781758447","0.8213694585327779"
"SR-p53","Smile Bernoulli NB classification","1.0","cdk_fp","Bernoulli","0.8069435971434576","0.8270374009001779","0.7945390587199342","0.7992543318102606"
"SR-p53","Smile Bernoulli NB classification","2.0","cdk_fp","Bernoulli","0.7731435765370143","0.7887968653613252","0.7586558621862044","0.7719780020635133"
"SR-p53","Smile Bernoulli NB classification","0.0","rdkit_fp","Multinomial","0.6218208233290268","0.622697571340447","0.6291459433069884","0.6136189553396448"
"SR-p53","Smile Bernoulli NB classification","0.5","rdkit_fp","Multinomial","0.7810829936718141","0.8203785784459339","0.7540625776444808","0.7688078249250276"
"SR-p53","Smile Bernoulli NB classification","1.0","rdkit_fp","Multinomial","0.732304394848172","0.7664545683017596","0.7104901247106667","0.7199684915320897"
"SR-p53","Smile Bernoulli NB classification","2.0","rdkit_fp","Multinomial","0.6370617563207868","0.6598163083460897","0.6240230416152655","0.6273459190010051"
"SR-p53","Smile Bernoulli NB classification","0.0","cdk_fp","Multinomial","0.6399240516511048","0.6623237908108471","0.6382006529765352","0.6192477111659322"
"SR-p53","Smile Bernoulli NB classification","0.5","cdk_fp","Multinomial","0.7794544137906185","0.8191014188124012","0.7632905571223646","0.7559712654370898"
"SR-p53","Smile Bernoulli NB classification","1.0","cdk_fp","Multinomial","0.7298625539164577","0.7613687769882771","0.7162374515607383","0.7119814332003576"
"SR-p53","Smile Bernoulli NB classification","2.0","cdk_fp","Multinomial","0.6343056353136695","0.655322260047063","0.6253024048541669","0.6222922410397785"
