"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","MaxMin","0.0","0.874533664018192","0.9104446069135701","0.8624205029401559","0.8507358822008498"
"SR-p53","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","MaxMin","0.0","0.8683243109282491","0.901142361031784","0.8605090863123398","0.8433214854406232"
"SR-p53","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","MaxMin","0.0","0.8559279496567638","0.8808962964655426","0.8495113573455539","0.8373761951591949"
"SR-p53","Smile SVC Poly classification","2","0.001","rdkit_fp","MaxMin","0.0","0.8774096405315891","0.9104103360826351","0.8685939209540842","0.8532246645580478"
"SR-p53","Smile SVC Poly classification","3","0.001","rdkit_fp","MaxMin","0.0","0.8644306388891984","0.8895051292010208","0.8592329923151087","0.8445537951514652"
"SR-p53","Smile SVC Poly classification","4","0.001","rdkit_fp","MaxMin","0.0","0.8605544392955178","0.8835682789188717","0.8613917815623591","0.8367032574053225"
"SR-p53","Smile SVC Poly classification","2","0.01","rdkit_fp","MaxMin","0.0","0.8795200095669395","0.9097900340423333","0.8723437411457989","0.8564262535126863"
"SR-p53","Smile SVC Poly classification","3","0.01","rdkit_fp","MaxMin","0.0","0.8688619438688056","0.8905046951038359","0.8650685886901693","0.8510125478124114"
"SR-p53","Smile SVC Poly classification","4","0.01","rdkit_fp","MaxMin","0.0","0.8528924766288327","0.8746647170371655","0.8596808784234418","0.824331834425891"
"SR-p53","Smile SVC Poly classification","2","0.1","rdkit_fp","MaxMin","0.0","0.8764437916084383","0.8990883958966214","0.8794358160680986","0.850807162860595"
"SR-p53","Smile SVC Poly classification","3","0.1","rdkit_fp","MaxMin","0.0","0.8597108947002634","0.8843450844204762","0.8679259059068708","0.8268616937734432"
"SR-p53","Smile SVC Poly classification","4","0.1","rdkit_fp","MaxMin","0.0","0.8478861534116442","0.8701912312367183","0.851370466106691","0.8220967628915237"
"SR-p53","Smile SVC Poly classification","2","1.0","rdkit_fp","MaxMin","0.0","0.8676675145423659","0.8945098128812526","0.8737200918874908","0.8347726388583544"
"SR-p53","Smile SVC Poly classification","3","1.0","rdkit_fp","MaxMin","0.0","0.8514699941966958","0.8778256300121139","0.8571962547567555","0.8193880978212178"
"SR-p53","Smile SVC Poly classification","4","1.0","rdkit_fp","MaxMin","0.0","0.8492751513237892","0.8770374009001575","0.8507209767622426","0.8200670763089677"
"SR-p53","Smile SVC Poly classification","2","1.0E-4","cdk_fp","MaxMin","0.0","0.867161084289061","0.902297288034928","0.8561991360484112","0.8429868287838438"
"SR-p53","Smile SVC Poly classification","3","1.0E-4","cdk_fp","MaxMin","0.0","0.8637792197019593","0.8904829902442332","0.8610561394178967","0.8397985294437476"
"SR-p53","Smile SVC Poly classification","4","1.0E-4","cdk_fp","MaxMin","0.0","0.85106484668764","0.8702380680390253","0.8476522485844191","0.8353042234394755"
