"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.001","0.6457918110807458","0.6866115287075369","0.6053175305456161","0.6454463739890841"
"SR-p53","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.001","0.6933533172723071","0.7110626242317591","0.7117062826106892","0.6572910449744728"
"SR-p53","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.001","0.6997701744523104","0.7219607484749443","0.6716591619408024","0.7056906129411844"
"SR-p53","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.001","0.7617307560011923","0.7786424181498309","0.740515929924891","0.7660339199288553"
"SR-p53","Smile SVC RBF classification","1.0","MaxMin","rdkit_fp","0.001","0.8424411013955165","0.8646187941236936","0.8233759497147143","0.8393285603481418"
"SR-p53","Smile SVC RBF classification","1.0E-4","Standard","rdkit_fp","0.001","0.699842237624897","0.7130411935388056","0.6811356037853497","0.7053499155505354"
"SR-p53","Smile SVC RBF classification","0.001","Standard","rdkit_fp","0.001","0.8181618951877425","0.8282494459549011","0.807622563870083","0.8186136757382432"
"SR-p53","Smile SVC RBF classification","0.01","Standard","rdkit_fp","0.001","0.7951431533682541","0.7977301286298545","0.7922832819699047","0.7954160495050033"
"SR-p53","Smile SVC RBF classification","0.1","Standard","rdkit_fp","0.001","0.765241830199468","0.7672530786629793","0.7612919607167791","0.7671804512186459"
"SR-p53","Smile SVC RBF classification","1.0","Standard","rdkit_fp","0.001","0.7567262417444497","0.757039228677837","0.7508423746027751","0.7622971219527369"
"SR-p53","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_fp","0.001","0.608345585930998","0.6126870616189478","0.6053840051261704","0.6069656910478759"
"SR-p53","Smile SVC RBF classification","0.001","MaxMin","cdk_fp","0.001","0.6315146372357264","0.6317028033539673","0.6315771693597929","0.6312639389934188"
"SR-p53","Smile SVC RBF classification","0.01","MaxMin","cdk_fp","0.001","0.6646859299601381","0.6585574264890689","0.6646575360379429","0.6708428273534023"
"SR-p53","Smile SVC RBF classification","0.1","MaxMin","cdk_fp","0.001","0.7278236746648085","0.7255180607279115","0.7218049701191328","0.7361479931473812"
"SR-p53","Smile SVC RBF classification","1.0","MaxMin","cdk_fp","0.001","0.8393885772510892","0.8591743014462211","0.8257374319452908","0.8332539983617556"
"SR-p53","Smile SVC RBF classification","1.0E-4","Standard","cdk_fp","0.001","0.7164946303233672","0.753075235897545","0.6942289166604936","0.7021797384120633"
"SR-p53","Smile SVC RBF classification","0.001","Standard","cdk_fp","0.001","0.8137881220336274","0.8289748452100921","0.7974159913866314","0.8149735295041585"
"SR-p53","Smile SVC RBF classification","0.01","Standard","cdk_fp","0.001","0.7963105956692561","0.7995476250314021","0.7947679056366124","0.7946162563397537"
"SR-p53","Smile SVC RBF classification","0.1","Standard","cdk_fp","0.001","0.7635844269687039","0.7621238776302819","0.7613704225167789","0.7672589807590509"
"SR-p53","Smile SVC RBF classification","1.0","Standard","cdk_fp","0.001","0.7529397077466093","0.7526479928716626","0.7488721116249728","0.7572990187431923"
"SR-p53","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_desc","0.001","0.5360575432254782","0.5","0.5","0.6081726296764345"
"SR-p53","Smile SVC RBF classification","0.001","MaxMin","rdkit_desc","0.001","0.5958430538256082","0.61156983252987","0.5","0.6759593289469548"
"SR-p53","Smile SVC RBF classification","0.01","MaxMin","rdkit_desc","0.001","0.7566497325682017","0.7990883958966294","0.741320163374895","0.7295406384330809"
"SR-p53","Smile SVC RBF classification","0.1","MaxMin","rdkit_desc","0.001","0.7475704929785336","0.8196531791907468","0.655951545479507","0.7671067542653471"
"SR-p53","Smile SVC RBF classification","1.0","MaxMin","rdkit_desc","0.001","0.8474478915408289","0.8762411752610435","0.8489228938455354","0.8171796055159075"
"SR-p53","Smile SVC RBF classification","1.0E-4","Standard","rdkit_desc","0.001","0.7508065353126395","0.7822340012337571","0.7008872721883432","0.7692983325158184"
"SR-p53","Smile SVC RBF classification","0.001","Standard","rdkit_desc","0.001","0.7751978778870315","0.8288057757773684","0.7511257088805687","0.7456621490031579"
"SR-p53","Smile SVC RBF classification","0.01","Standard","rdkit_desc","0.001","0.8475250093311572","0.8552183051931763","0.8440811469371406","0.8432755758631544"
"SR-p53","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.8836460989393728","0.8966083300966391","0.8805462684875552","0.8737836982339241"
"SR-p53","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8659856048491384","0.8775297585048879","0.8645662152207028","0.8558608408218243"
"SR-p53","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.5659825334193536","0.5","0.5","0.6979476002580607"
"SR-p53","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.5840129158944604","0.5","0.5","0.7520387476833811"
"SR-p53","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.7588383811197055","0.7675729397518729","0.7982921481533116","0.7106500554539317"
"SR-p53","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.8127219238624511","0.8365189974639515","0.8108144334840104","0.7908323406393913"
