"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","2","0.8824951700989185","0.9158856725079443","0.8647122413484909","0.8668875964403202"
"SR-p53","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","2","0.8806762014123312","0.9125317005186343","0.8669320564401883","0.862564847278171"
"SR-p53","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","2","0.877282617080008","0.903068381731349","0.8650620502068324","0.8637174193018426"
"SR-p53","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","2","0.8836771587780327","0.9122723845644248","0.8683727022679719","0.8703863895017012"
"SR-p53","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","2","0.8888116321805782","0.9179624848637243","0.8786490185736414","0.8698233931043688"
"SR-p53","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","2","0.881259285249615","0.9006488610660444","0.8798368430458774","0.8632921516369232"
"SR-p53","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","2","0.8837290917143937","0.9083575133085032","0.8744513122735988","0.8683784495610795"
"SR-p53","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","2","0.8832247090443534","0.910601110374917","0.872755665595798","0.8663173511623451"
"SR-p53","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","2","0.8890167368679407","0.9143594781694822","0.8796101756236525","0.8730805568106875"
"SR-p53","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","2","0.8917852000040889","0.915213964221251","0.8874694325904073","0.8726722032006086"
"SR-p53","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","2","0.8807759211185666","0.9063149717836823","0.8718882268069045","0.8641245647651131"
"SR-p53","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","2","0.8854688764882676","0.9096986451598182","0.8800438950181044","0.86666408928688"
"SR-p53","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","2","0.8835661013333782","0.9093170965752105","0.8775647200875172","0.8638164873374066"
"SR-p53","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","2","0.8905976835934055","0.9155680961411139","0.8782610685625246","0.8779638860765782"
"SR-p53","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","2","0.8920997363074146","0.9180378806918191","0.8884741795293016","0.8697871487011231"
"SR-p53","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","2","0.8827427766308542","0.9070734995087846","0.8746888771680426","0.8664659532157356"
"SR-p53","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.8817858017009903","0.9076355411364088","0.8773522193791845","0.8603696445873777"
"SR-p53","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.8823972619063613","0.9055701523909475","0.8754408027513831","0.8661808305767533"
"SR-p53","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.8939425451826324","0.9207132902282468","0.8860113508070582","0.8751029945125924"
"SR-p53","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.8909075380912794","0.9107587561973133","0.8887117444237529","0.8732521136527718"
"SR-p53","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.866324331380798","0.8894171674015842","0.8585867722123159","0.8509690545284937"
"SR-p53","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.8713983379415803","0.9000182777765234","0.859345236278985","0.8548314997692326"
"SR-p53","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.8704884692541043","0.8960542849962344","0.8602824188901083","0.8551287038759698"
"SR-p53","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.8710987608178654","0.8945760698211007","0.8602715214178902","0.8584486912146053"
"SR-p53","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.8766363922459938","0.9026205762069074","0.8708333514957785","0.8564552490352956"
"SR-p53","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.8698369529118963","0.9021659165162407","0.8496573834733233","0.8576875587461248"
"SR-p53","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.8769223188061255","0.8977609723777082","0.8726641268291246","0.8603418572115435"
"SR-p53","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.87318857096176","0.8929402088235843","0.8688412935735336","0.8577842104881621"
"SR-p53","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.8756936173361147","0.8916287783591167","0.8742246448513651","0.8612274287978623"
"SR-p53","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.8907212879236028","0.9166282071785907","0.8846164743626045","0.8709191822296135"
