"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Weka RF classification","30","rdkit_fp","15","0.7743320872849159","0.8228278004980705","0.7839826773781541","0.7161857839785228"
"SR-p53","Weka RF classification","40","rdkit_fp","15","0.7853525871427233","0.8260641093011044","0.7862874927531797","0.7437061593738856"
"SR-p53","Weka RF classification","50","rdkit_fp","15","0.7987878320370863","0.8344947337156462","0.8054081975145025","0.75646056488111"
"SR-p53","Weka RF classification","60","rdkit_fp","15","0.8067166204815309","0.8479745938906548","0.8047205670172748","0.7674547005366632"
"SR-p53","Weka RF classification","70","rdkit_fp","15","0.8181712626857469","0.8536178573876539","0.8149118830396086","0.7859840476299782"
"SR-p53","Weka RF classification","30","cdk_fp","15","0.7801597208652203","0.7867543238365051","0.8027154321283642","0.7510094066307921"
"SR-p53","Weka RF classification","40","cdk_fp","15","0.793456591120225","0.794890219104846","0.8110683445867889","0.7744112096690402"
"SR-p53","Weka RF classification","50","cdk_fp","15","0.805350887137173","0.8161187141584206","0.8229542175396967","0.7769797297134016"
"SR-p53","Weka RF classification","60","cdk_fp","15","0.8125789050034214","0.8261486440174526","0.8304124475286705","0.7811756234641412"
"SR-p53","Weka RF classification","70","cdk_fp","15","0.8196809171213911","0.8320809248554915","0.8341589984787111","0.7928028280299707"
"SR-p53","Weka RF classification","30","rdkit_desc","15","0.8874036472664416","0.898171079988118","0.8826810832959191","0.8813587785152877"
"SR-p53","Weka RF classification","40","rdkit_desc","15","0.892556727686629","0.902724531060791","0.8880644345737527","0.8868812174253431"
"SR-p53","Weka RF classification","50","rdkit_desc","15","0.895817858036391","0.9058283259841475","0.888934052857098","0.892691195267928"
"SR-p53","Weka RF classification","60","rdkit_desc","15","0.8966134017060995","0.9081553154058869","0.8909871366237858","0.8906977530886262"
"SR-p53","Weka RF classification","70","rdkit_desc","15","0.9009628414749312","0.9123729123352217","0.8926293856876927","0.8978862264018791"
"SR-p53","Weka RF classification","30","cdk_desc","15","0.8875744859074883","0.8989376042404427","0.8784583128097587","0.8853275406722637"
"SR-p53","Weka RF classification","40","cdk_desc","15","0.8893822193174853","0.9008807603555011","0.8793203028625453","0.8879455947344095"
"SR-p53","Weka RF classification","50","cdk_desc","15","0.8922260149737914","0.902646850510632","0.8828260196764749","0.8912051747342673"
"SR-p53","Weka RF classification","60","cdk_desc","15","0.8943268554280334","0.9027656560579392","0.887158854632073","0.8930560555940883"
"SR-p53","Weka RF classification","70","cdk_desc","15","0.8966861343804015","0.9059951106947793","0.889590080684878","0.8944732117615473"
"SR-p53","Weka RF classification","30","rdkit_fp","20","0.800836167724342","0.8412346638031472","0.8077925644367537","0.7534812749331248"
"SR-p53","Weka RF classification","40","rdkit_fp","20","0.8133517373089109","0.8445669309328524","0.8119205269145774","0.7835677540793029"
"SR-p53","Weka RF classification","50","rdkit_fp","20","0.8195844660556336","0.8510304096506635","0.824643325734164","0.7830796627820737"
"SR-p53","Weka RF classification","60","rdkit_fp","20","0.8264247319239884","0.8573568050446624","0.827535514861971","0.794381875865332"
