"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","500","15","0.8523592993302088","0.8513434165733711","0.852982202248353","0.8527522791689022"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","500","15","0.860550050636295","0.8624551623294942","0.8608054975567746","0.858389492022616"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","500","15","0.8628326460221896","0.8681395508236316","0.8647089721068166","0.8556494151361206"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","500","15","0.867811187634024","0.8771070849231108","0.8644212788401434","0.8619051991388176"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","500","15","0.8679975381616192","0.8785990084306123","0.8634666602734726","0.8619269457807724"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","500","15","0.8582153183850169","0.8724393977472714","0.8598443405067714","0.8423622169010077"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","500","15","0.8634081751007776","0.8791519111700031","0.8651644864457142","0.8459081276866155"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","500","15","0.870621480071636","0.8826201192624876","0.8695125778624228","0.8597317430899977"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","500","15","0.8723598192752781","0.8818684457035777","0.871973227090232","0.8632377850320244"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","500","15","0.874924594255992","0.8894103132353831","0.8729496406013519","0.8624138289312412"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","1000","15","0.8453773543115225","0.8587870410564555","0.836217530981505","0.8411274908966072"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","1000","15","0.8501290506960246","0.871568918641039","0.8341448317648147","0.84467340168222"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","1000","15","0.8537855891136709","0.8722737553976542","0.8399237612843244","0.8491592506590337"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","1000","15","0.8581389037450267","0.8760275537480846","0.8456078827955061","0.8527812746914895"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","1000","15","0.8595395720476532","0.8767266786995371","0.8514859793122352","0.8504060581311872"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","1000","15","0.8488446883060993","0.8703363110877611","0.8540381673067031","0.8221595865238337"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","1000","15","0.8579375773018798","0.8756894148826866","0.8612315887206621","0.836891728302291"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","1000","15","0.863969667098687","0.8822819803970873","0.8693959749096475","0.8402310459893265"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","1000","15","0.8669208492454463","0.8855262857273455","0.870075977176322","0.8451602848326715"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","1000","15","0.8673083229410468","0.8846900774520724","0.8683825099929681","0.8488523813780996"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","2000","15","0.833297822338133","0.8489798715986159","0.8223919079730218","0.8285216874427612"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","2000","15","0.8393419431956323","0.8565891384313068","0.8317757213036877","0.8296609698519021"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","2000","15","0.8392167011066678","0.8601178916584816","0.8254017898008345","0.8321304218606874"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","2000","15","0.8474148759287593","0.8710594256208629","0.8328545710536976","0.8383306311117172"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","2000","15","0.8492910996437791","0.8704699673284704","0.836470352337077","0.8409329792657902"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","2000","15","0.8426766472641023","0.8718396582055714","0.8486613545121993","0.8075289290745362"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","2000","15","0.8459562449709436","0.8734549567045102","0.8513334147011185","0.813080363507202"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","2000","15","0.8505817295052266","0.8779661404190012","0.8524591235816883","0.82131992451499"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","2000","15","0.8524803674361489","0.8783134181726663","0.8559158017706159","0.8232118823651643"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","2000","15","0.8557996073442594","0.8856862162717998","0.8561206742484009","0.8255919315125774"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","500","20","0.8675559359556608","0.8821346158239841","0.8552717611622771","0.8652614308807209"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","500","20","0.8704445625851948","0.8797436541844665","0.8614331919567763","0.8701568416143417"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","500","20","0.8716266657325967","0.8775823071123335","0.8668339791901758","0.8704637108952807"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","500","20","0.8758586488161283","0.886170577349253","0.8674791095457366","0.8739262595533954"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","500","20","0.8767718903315682","0.8867280495327645","0.8665419269346134","0.8770456945273266"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","500","20","0.8585735829596387","0.8683166167835592","0.8628455043568068","0.8445586277385502"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","500","20","0.8692503687342522","0.8732413351915858","0.8754473412347159","0.859062429776455"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","500","20","0.8758285601227529","0.8855605565583056","0.8762058053013928","0.8657193185085602"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","500","20","0.8790375724169218","0.8880371952751966","0.8799588947347692","0.8691166272407996"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","500","20","0.8839069426411275","0.900854486051788","0.8814235150014539","0.8694428268701405"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","1000","20","0.8632300451510767","0.8802165916516287","0.8639254438540315","0.8455480999475696"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","1000","20","0.8617434092518471","0.8835934108615627","0.8533123956566905","0.848324421237288"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","1000","20","0.8645928539208422","0.8870227786789706","0.8533341906011365","0.8534215924824194"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","1000","20","0.8647681929788028","0.885450889899249","0.8554417617289433","0.853411927308216"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","1000","20","0.8682302037425412","0.8859855148621246","0.8602104955734413","0.8584946007920575"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","1000","20","0.8627899686016351","0.8789371472960403","0.8780670935569691","0.8313656649518962"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","1000","20","0.8710213708151038","0.8920880074938995","0.8764259342402833","0.8445501707111285"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","1000","20","0.8747795729757811","0.8975416390596166","0.8826963397570192","0.8441007401107072"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","1000","20","0.8786693344218524","0.8982796042861404","0.8850981426348254","0.8526302563445912"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","1000","20","0.8779971337202356","0.8949347711850856","0.8812796683681149","0.8577769616075064"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","2000","20","0.8405647675711746","0.8576229751650677","0.8211594038646806","0.8429119236837754"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","2000","20","0.8456849089999495","0.8618017318193201","0.8247152490508319","0.8505377461296967"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","2000","20","0.8531649707588413","0.8723125956727341","0.8310750138397914","0.8561073027639986"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","2000","20","0.8535719080727652","0.8754666544814954","0.8350133603009424","0.8502357094358578"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","2000","20","0.8560396885541844","0.8785853000982498","0.8409568416509963","0.8485769239133075"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","2000","20","0.8437575310221371","0.8584089195549354","0.8663773751040605","0.8064862984074156"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","2000","20","0.8540652390175261","0.8720784116612317","0.8678888545013093","0.822228450890037"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","2000","20","0.8637524727558965","0.8853457926843281","0.8724570748569048","0.8334545507264567"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","2000","20","0.8671875651991324","0.8867531814754833","0.878184786256972","0.8366247278649422"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","2000","20","0.8674332527151769","0.8903904590006702","0.874287850190262","0.8376214489545983"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","500","30","0.8482245492506664","0.8778187758459276","0.8339584849898218","0.8328963869162493"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","500","30","0.8548412663622105","0.8797173798807476","0.8440691597177145","0.8407372594881694"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","500","30","0.8633913057610494","0.887545980031533","0.850839759209456","0.851788178042159"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","500","30","0.8683622479566847","0.8903995978889059","0.862219989451243","0.8524671565299052"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","500","30","0.8691668589350691","0.8871187370056347","0.8669505821429554","0.853431257656617"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","500","30","0.8649635643318666","0.8789577097945915","0.8521877765233503","0.8637452066776581"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","500","30","0.8716625064490858","0.8889350910461685","0.8585148488956439","0.8675375794054451"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","500","30","0.8775402713441713","0.8898763965363427","0.868487125726314","0.8742572917698573"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","500","30","0.8804903708584298","0.8903995978889169","0.8719514321457976","0.8791200825405752"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","500","30","0.8873837844640935","0.8959651808357507","0.8832978802236867","0.8828882923328433"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","1000","30","0.8619640625922166","0.8752873037994933","0.8593060053789934","0.8512988785981629"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","1000","30","0.8684631264732549","0.8797253764079619","0.8687061649179716","0.8569578380938314"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","1000","30","0.8719927649366713","0.8823231053942387","0.8677341103957367","0.8659210790200387"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","1000","30","0.8733724628089531","0.8830839178414082","0.8692880899346472","0.8677453806508038"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","1000","30","0.8750869818800001","0.8877538897393124","0.8724461773846836","0.8650608785160047"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","1000","30","0.8640707067825147","0.8956179030820772","0.8559125325289518","0.8406816847365151"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","1000","30","0.8760862542187171","0.8992825972720361","0.8696455270235361","0.859330638360579"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","1000","30","0.8806351790061058","0.9051383399209357","0.8763758058680604","0.8603913912293214"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","1000","30","0.8845719310076294","0.9078731522310236","0.8811031293181069","0.8647395114737578"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","1000","30","0.8855528333753346","0.9069341314629155","0.8805364607625453","0.8691879079005431"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","2000","30","0.8514722488650089","0.8743528524754988","0.8445301227927133","0.8355337713268147"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","2000","30","0.852988742353161","0.8748589184125704","0.8413633173648986","0.8427439912820144"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","2000","30","0.8589833606603557","0.8786172862071308","0.8471607725871895","0.851172023186747"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","2000","30","0.8650113167511607","0.8876647855788321","0.8527370091233584","0.8546321555512915"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","2000","30","0.8676094949241788","0.8929744796545401","0.8558645836511698","0.8539894214668265"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","2000","30","0.8520960487111022","0.8974491078160399","0.829097122631429","0.8297419156858379"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","2000","30","0.8606211922759917","0.8984509584409188","0.8445769819232689","0.8388356364637873"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","2000","30","0.8642975631330665","0.897185222417709","0.8554897106067141","0.8402177563747765"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","2000","30","0.8682267839425027","0.8967945349448299","0.8659512839401636","0.8419345329425147"
"SR-p53","Weka RF on folded fp classification","70","cdk_fp","2000","30","0.8711303922586038","0.9003929721949371","0.8717269442180141","0.84127126036286"
"SR-p53","Weka RF on folded fp classification","30","rdkit_fp","500","40","0.8626840946587927","0.8824613310790671","0.8558711221345187","0.8497198307627923"
"SR-p53","Weka RF on folded fp classification","40","rdkit_fp","500","40","0.8689248048267123","0.8937170143251921","0.8615857565679071","0.8514716435870379"
"SR-p53","Weka RF on folded fp classification","50","rdkit_fp","500","40","0.8752153111921478","0.8939614795859931","0.8624433876318027","0.8692410663586476"
"SR-p53","Weka RF on folded fp classification","60","rdkit_fp","500","40","0.8782935598313074","0.8899952020836556","0.8670617363596217","0.8778237410506452"
"SR-p53","Weka RF on folded fp classification","70","rdkit_fp","500","40","0.8800181436647936","0.8954488336493923","0.8677918669985291","0.8768137303464594"
"SR-p53","Weka RF on folded fp classification","30","cdk_fp","500","40","0.8633531063414092","0.8692921931047005","0.843622363356597","0.87714476256293"
"SR-p53","Weka RF on folded fp classification","40","cdk_fp","500","40","0.8732810799524134","0.8837819004318004","0.8609221005095667","0.8751392389158732"
"SR-p53","Weka RF on folded fp classification","50","cdk_fp","500","40","0.8776563487719887","0.8872638168566905","0.8690352685790859","0.87666996088019"
"SR-p53","Weka RF on folded fp classification","60","cdk_fp","500","40","0.8806540707903089","0.8951792364458753","0.8714697638735559","0.875313212051495"
