activity_string,activity_value,activity_string_2,activity_value_2
,,1.16667,1.16667
1.22222,1.22222,0.741602,0.741602
31.6541,31.6541,6.6,6.6
1.294,1.294,1.321,1.321
,,1.7047,1.7047
,,,
5.56373,5.56373,0.830508,0.830508
,,0.907051,0.907051
,,,
1.1386,1.1386,1.18939,1.18939
1.60839,1.60839,0.755906,0.755906
1.25556,1.25556,1.67808,1.67808
2.3277,2.3277,0.716795,0.716795
,,2.02804,2.02804
0.633411,0.633411,0.666667,0.666667
0.615752,0.615752,0.445565,0.445565
1.67606,1.67606,0.312564,0.312564
7.9661,7.9661,2.69725,2.69725
,,1.33728,1.33728
,,0.637931,0.637931
,,1.35865,1.35865
,,1.21405,1.21405
,,1.92748,1.92748
,,1.88235,1.88235
,,1.73607,1.73607
,,1.1205,1.1205
,,1.11965,1.11965
,,1.05025,1.05025
,,742.358,742.358
,,,
,,1.8155,1.8155
,,1.79083,1.79083
0.261,0.261,8.7931,8.7931
,,2.15068,2.15068
20.404,20.404,19.0811,19.0811
63.8462,63.8462,1.30769,1.30769
,,2.0431,2.0431
23.5146,23.5146,0.776,0.776
393.13,393.13,47.0968,47.0968
,,0.860051,0.860051
,,7.91339,7.91339
,,0.270053,0.270053
2.09701,2.09701,2.06579,2.06579
,,0.881081,0.881081
,,1.27848,1.27848
,,1.39429,1.39429
1.52227,1.52227,1.61161,1.61161
,,1.12615,1.12615
,,1.45633,1.45633
,,1.34033,1.34033
,,0.855234,0.855234
,,,
,,1.37815,1.37815
63.6267,63.6267,0.894737,0.894737
,,1.10959,1.10959
,,0.551546,0.551546
,,,
,,0.85,0.85
2.51729,2.51729,0.618321,0.618321
2.06723,2.06723,2.31405,2.31405
3.90764,3.90764,5.35897,5.35897
1.03774,1.03774,0.936047,0.936047
7.8453,7.8453,13.388,13.388
0.72956,0.72956,1.27358,1.27358
2.44762,2.44762,3.13054,3.13054
26.4117,26.4117,1.24757,1.24757
,,0.928058,0.928058
,,1.47879,1.47879
1.25581,1.25581,1.48515,1.48515
,,,
,,,
,,4.27072,4.27072
1.72222,1.72222,0.887624,0.887624
,,2.03604,2.03604
,,35.125,35.125
,,137.245,137.245
0.147666,0.147666,0.615152,0.615152
