activity_string,activity_value,activity_string_2,activity_value_2
NP,,NP,
NP,,1.21,1.21
55.4,55.4,338,338.0
5.59,5.59,26,26.0
1210,1210.0,NP,
0.476,0.476,ND,
NP,,30.7,30.7
16.4,16.4,207,207.0
84.8,84.8,1.56,1.56
5.64,5.64,84.1,84.1
69.6,69.6,162,162.0
131,131.0,758,758.0
1760,1760.0,2660,2660.0
8.67,8.67,45.8,45.8
NP,,2270,2270.0
NP,,372,372.0
53.9,53.9,3720,3720.0
NP,,614,614.0
201,201.0,340,340.0
NP,,277,277.0
NP,,NP,
303,303.0,71.1,71.1
0.523,0.523,0.616,0.616
NP,,NP,
NP,,62.2,62.2
211,211.0,NP,
0.351,0.351,0.558,0.558
NP,,NP,
106,106.0,NP,
0.306,0.306,5.02,5.02
NP,,ND,
2500,2500.0,NP,
26.1,26.1,42.2,42.2
NP,,NP,
NP,,38.30,38.3
101,101.0,126,126.0
ND,,228,228.0
3.71,3.71,33.2,33.2
NP,,55,55.0
405,405.0,1070,1070.0
NP,,330,330.0
33.6,33.6,6.13,6.13
25.8,25.8,NP,
3.83,3.83,128,128.0
ND,,106,106.0
16.9,16.9,ND,
3.57E-03,0.00357,0.182,0.182
5.5,5.5,ND,
ND,,ND,
21.3,21.3,63.7,63.7
NP,,ND,
0.0938,0.0938,0.15,0.15
ND,,2.1,2.1
ND,,ND,
ND,,ND,
NP,,ND,
2.29,2.29,150,150.0
NP,,NP,
8.04,8.04,101,101.0
19.1,19.1,20.9,20.9
111,111.0,NP,
NP,,NP,
NP,,NP,
72.5,72.5,47.7,47.7
39.4,39.4,51.5,51.5
644,644.0,398,398.0
724,724.0,1100,1100.0
NP,,NP,
31.8,31.8,14.9,14.9
220,220.0,NP,
NP,,732,732.0
NP,,NP,
NP,,NP,
204,204.0,NP,
122,122.0,14.1,14.1
344,344.0,NP,
839,839.0,NP,
NP,,NP,
NP,,NP,
163,163.0,1400,1400.0
6.98,6.98,30.8,30.8
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
648,648.0,NP,
NP,,ND,
3.81,3.81,ND,
0.948,0.948,ND,
ND,,ND,
ND,,ND,
ND,,ND,
ND,,ND,
ND,,31.8,31.8
0.164,0.164,0.223,0.223
0.00504,0.00504,ND,
ND,,335,335.0
0.0114,0.0114,ND,
0.764,0.764,ND,
NP,,8.92,8.92
NP,,NP,
ND,,163,163.0
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,1350,1350.0
111,111.0,137,137.0
64.6,64.6,21900,21900.0
2970,2970.0,723,723.0
ND,,NP,
NP,,NP,
NP,,NP,
NP,,60.2,60.2
NP,,59.1,59.1
24.8,24.8,68,68.0
NP,,NP,
NP,,NP,
287,287.0,NP,
86.7,86.7,NP,
NP,,NP,
NP,,143,143.0
13.9,13.9,103,103.0
NP,,NP,
15.6,15.6,178,178.0
153,153.0,ND,
ND,,2.51,2.51
180,180.0,3010,3010.0
NP,,NP,
6.05,6.05,ND,
12.1,12.1,ND,
25,25.0,NP,
ND,,241,241.0
1.18,1.18,ND,
ND,,330,330.0
ND,,51.2,51.2
0.00111,0.00111,ND,
0.0032,0.0032,NP,
42.3,42.3,16,16.0
ND,,34.2,34.2
4.04,4.04,NP,
NP,,667,667.0
ND,,23.6,23.6
ND,,228,228.0
73.4,73.4,178,178.0
ND,,223,223.0
46.6,46.6,ND,
ND,,165,165.0
2.96,2.96,0.982,0.982
ND,,164,164.0
ND,,1660,1660.0
0.491,0.491,ND,
ND,,90.5,90.5
5.96E-04,5.96E-4,1.43E-03,0.00143
ND,,4.62,4.62
1.46,1.46,ND,
ND,,3.11,3.11
0.739,0.739,5.06,5.06
NP,,11.7,11.7
150,150.0,27.1,27.1
ND,,ND,
0.699,0.699,ND,
9.81,9.81,NP,
ND,,119,119.0
0.803,0.803,ND,
ND,,76.1,76.1
3.23,3.23,ND,
ND,,4.24,4.24
0.0615,0.0615,ND,
0.00102,0.00102,ND,
16.7,16.7,ND,
606,606.0,5530,5530.0
0.812,0.812,19.6,19.6
ND,,36.4,36.4
6.7,6.7,22.2,22.2
5.06,5.06,10.8,10.8
ND,,0.397,0.397
ND,,46.2,46.2
ND,,9.95,9.95
ND,,12.1,12.1
3.67,3.67,ND,
ND,,18.3,18.3
ND,,7540,7540.0
ND,,19.3,19.3
ND,,18.6,18.6
0.457,0.457,ND,
3.21,3.21,10.6,10.6
ND,,3.6,3.6
0.55,0.55,ND,
0.71,0.71,0.966,0.966
14.4,14.4,ND,
NP,,1950,1950.0
2.19,2.19,43.9,43.9
NP,,3.96,3.96
ND,,55.8,55.8
ND,,39.5,39.5
157,157.0,ND,
1.74,1.74,ND,
6.33,6.33,ND,
4.28,4.28,ND,
ND,,9.85,9.85
10.2,10.2,ND,
ND,,1.14,1.14
0.41,0.41,ND,
4.31,4.31,ND,
0.0466,0.0466,ND,
1.01,1.01,ND,
0.547,0.547,ND,
2310,2310.0,ND,
0.896,0.896,0.133,0.133
11.2,11.2,6.62,6.62
ND,,2.72,2.72
4.2,4.2,ND,
1.62,1.62,ND,
ND,,865,865.0
612,612.0,NP,
NP,,61.5,61.5
65.8,65.8,ND,
8110,8110.0,NP,
1470,1470.0,ND,
29,29.0,ND,
5.34,5.34,ND,
521,521.0,ND,
ND,,6540,6540.0
415,415.0,716,716.0
5640,5640.0,NP,
ND,,27.4,27.4
542,542.0,506,506.0
10.7,10.7,23.7,23.7
ND,,1.52,1.52
6060,6060.0,NP,
18.4,18.4,71.2,71.2
33.9,33.9,ND,
0.575,0.575,40.7,40.7
0.0189,0.0189,ND,
0.022,0.022,ND,
5.85,5.85,7.87,7.87
169,169.0,ND,
ND,,57.8,57.8
